Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
285796335,4914,cuModuleGetLoadingMode,0,1,8484,8484,20,3DConvolution.e
296283536,1160169934,cudaMallocManaged,0,118,8484,8484,20,3DConvolution.e
1456454974,43586,cudaMallocManaged,0,119,8484,8484,20,3DConvolution.e
1560727648,5910741,cudaGetDeviceProperties_v2_v12000,0,120,8484,8484,20,3DConvolution.e
1566696388,411067,cudaLaunchKernel,0,122,8484,8484,20,3DConvolution.e
1567108591,19334,cudaLaunchKernel,0,123,8484,8484,20,3DConvolution.e
1567128457,12921,cudaLaunchKernel,0,124,8484,8484,20,3DConvolution.e
1567141683,11500,cudaLaunchKernel,0,125,8484,8484,20,3DConvolution.e
1567153485,14419,cudaLaunchKernel,0,126,8484,8484,20,3DConvolution.e
1567168211,12138,cudaLaunchKernel,0,127,8484,8484,20,3DConvolution.e
1567180660,12707,cudaLaunchKernel,0,128,8484,8484,20,3DConvolution.e
1567193669,12392,cudaLaunchKernel,0,129,8484,8484,20,3DConvolution.e
1567206376,12279,cudaLaunchKernel,0,130,8484,8484,20,3DConvolution.e
1567218985,12590,cudaLaunchKernel,0,131,8484,8484,20,3DConvolution.e
1567231884,12530,cudaLaunchKernel,0,132,8484,8484,20,3DConvolution.e
1567244736,15087,cudaLaunchKernel,0,133,8484,8484,20,3DConvolution.e
1567260155,12198,cudaLaunchKernel,0,134,8484,8484,20,3DConvolution.e
1567272666,12138,cudaLaunchKernel,0,135,8484,8484,20,3DConvolution.e
1567285112,12030,cudaLaunchKernel,0,136,8484,8484,20,3DConvolution.e
1567297433,12412,cudaLaunchKernel,0,137,8484,8484,20,3DConvolution.e
1567310153,11951,cudaLaunchKernel,0,138,8484,8484,20,3DConvolution.e
1567322406,11953,cudaLaunchKernel,0,139,8484,8484,20,3DConvolution.e
1567334671,11773,cudaLaunchKernel,0,140,8484,8484,20,3DConvolution.e
1567346741,12567,cudaLaunchKernel,0,141,8484,8484,20,3DConvolution.e
1567359612,11826,cudaLaunchKernel,0,142,8484,8484,20,3DConvolution.e
1567371744,11910,cudaLaunchKernel,0,143,8484,8484,20,3DConvolution.e
1567383944,14196,cudaLaunchKernel,0,144,8484,8484,20,3DConvolution.e
1567398472,11650,cudaLaunchKernel,0,145,8484,8484,20,3DConvolution.e
1567410439,12248,cudaLaunchKernel,0,146,8484,8484,20,3DConvolution.e
1567422993,11835,cudaLaunchKernel,0,147,8484,8484,20,3DConvolution.e
1567435136,12087,cudaLaunchKernel,0,148,8484,8484,20,3DConvolution.e
1567447519,11892,cudaLaunchKernel,0,149,8484,8484,20,3DConvolution.e
1567459717,11819,cudaLaunchKernel,0,150,8484,8484,20,3DConvolution.e
1567471844,51331,cudaLaunchKernel,0,151,8484,8484,20,3DConvolution.e
1567523696,10915,cudaLaunchKernel,0,152,8484,8484,20,3DConvolution.e
1567534910,10556,cudaLaunchKernel,0,153,8484,8484,20,3DConvolution.e
1567545772,11018,cudaLaunchKernel,0,154,8484,8484,20,3DConvolution.e
1567557088,12556,cudaLaunchKernel,0,155,8484,8484,20,3DConvolution.e
1567569958,10956,cudaLaunchKernel,0,156,8484,8484,20,3DConvolution.e
1567581210,11130,cudaLaunchKernel,0,157,8484,8484,20,3DConvolution.e
1567592664,10892,cudaLaunchKernel,0,158,8484,8484,20,3DConvolution.e
1567603849,10993,cudaLaunchKernel,0,159,8484,8484,20,3DConvolution.e
1567615141,11071,cudaLaunchKernel,0,160,8484,8484,20,3DConvolution.e
1567626517,11031,cudaLaunchKernel,0,161,8484,8484,20,3DConvolution.e
1567637836,11875,cudaLaunchKernel,0,162,8484,8484,20,3DConvolution.e
1567650035,10918,cudaLaunchKernel,0,163,8484,8484,20,3DConvolution.e
1567661244,11011,cudaLaunchKernel,0,164,8484,8484,20,3DConvolution.e
1567672541,12878,cudaLaunchKernel,0,165,8484,8484,20,3DConvolution.e
1567685712,10778,cudaLaunchKernel,0,166,8484,8484,20,3DConvolution.e
1567696785,11064,cudaLaunchKernel,0,167,8484,8484,20,3DConvolution.e
1567708151,11197,cudaLaunchKernel,0,168,8484,8484,20,3DConvolution.e
1567719640,11293,cudaLaunchKernel,0,169,8484,8484,20,3DConvolution.e
1567731234,11459,cudaLaunchKernel,0,170,8484,8484,20,3DConvolution.e
1567742985,11546,cudaLaunchKernel,0,171,8484,8484,20,3DConvolution.e
1567754825,11447,cudaLaunchKernel,0,172,8484,8484,20,3DConvolution.e
1567766572,11608,cudaLaunchKernel,0,173,8484,8484,20,3DConvolution.e
1567778466,11449,cudaLaunchKernel,0,174,8484,8484,20,3DConvolution.e
1567790207,11610,cudaLaunchKernel,0,175,8484,8484,20,3DConvolution.e
1567802115,12814,cudaLaunchKernel,0,176,8484,8484,20,3DConvolution.e
1567815264,27560,cudaLaunchKernel,0,177,8484,8484,20,3DConvolution.e
1567843275,13060,cudaLaunchKernel,0,178,8484,8484,20,3DConvolution.e
1567856647,11508,cudaLaunchKernel,0,179,8484,8484,20,3DConvolution.e
1567868467,11472,cudaLaunchKernel,0,180,8484,8484,20,3DConvolution.e
1567880252,11540,cudaLaunchKernel,0,181,8484,8484,20,3DConvolution.e
1567892105,11812,cudaLaunchKernel,0,182,8484,8484,20,3DConvolution.e
1567904362,15690,cudaLaunchKernel,0,183,8484,8484,20,3DConvolution.e
1567920554,10475,cudaLaunchKernel,0,184,8484,8484,20,3DConvolution.e
1567931326,11030,cudaLaunchKernel,0,185,8484,8484,20,3DConvolution.e
1567942684,11077,cudaLaunchKernel,0,186,8484,8484,20,3DConvolution.e
1567954061,12745,cudaLaunchKernel,0,187,8484,8484,20,3DConvolution.e
1567967091,10956,cudaLaunchKernel,0,188,8484,8484,20,3DConvolution.e
1567978345,10998,cudaLaunchKernel,0,189,8484,8484,20,3DConvolution.e
1567989631,11047,cudaLaunchKernel,0,190,8484,8484,20,3DConvolution.e
1568000969,11078,cudaLaunchKernel,0,191,8484,8484,20,3DConvolution.e
1568012338,10924,cudaLaunchKernel,0,192,8484,8484,20,3DConvolution.e
1568023543,11121,cudaLaunchKernel,0,193,8484,8484,20,3DConvolution.e
1568034955,10985,cudaLaunchKernel,0,194,8484,8484,20,3DConvolution.e
1568046218,11059,cudaLaunchKernel,0,195,8484,8484,20,3DConvolution.e
1568057556,11004,cudaLaunchKernel,0,196,8484,8484,20,3DConvolution.e
1568068842,13017,cudaLaunchKernel,0,197,8484,8484,20,3DConvolution.e
1568082153,11002,cudaLaunchKernel,0,198,8484,8484,20,3DConvolution.e
1568093546,11149,cudaLaunchKernel,0,199,8484,8484,20,3DConvolution.e
1568105090,11553,cudaLaunchKernel,0,200,8484,8484,20,3DConvolution.e
1568116923,10663,cudaLaunchKernel,0,201,8484,8484,20,3DConvolution.e
1568127870,11539,cudaLaunchKernel,0,202,8484,8484,20,3DConvolution.e
1568139687,11626,cudaLaunchKernel,0,203,8484,8484,20,3DConvolution.e
1568151600,11424,cudaLaunchKernel,0,204,8484,8484,20,3DConvolution.e
1568163300,11587,cudaLaunchKernel,0,205,8484,8484,20,3DConvolution.e
1568175182,11478,cudaLaunchKernel,0,206,8484,8484,20,3DConvolution.e
1568186945,11586,cudaLaunchKernel,0,207,8484,8484,20,3DConvolution.e
1568198815,12591,cudaLaunchKernel,0,208,8484,8484,20,3DConvolution.e
1568211706,11497,cudaLaunchKernel,0,209,8484,8484,20,3DConvolution.e
1568223491,11490,cudaLaunchKernel,0,210,8484,8484,20,3DConvolution.e
1568235268,11441,cudaLaunchKernel,0,211,8484,8484,20,3DConvolution.e
1568247002,11611,cudaLaunchKernel,0,212,8484,8484,20,3DConvolution.e
1568258911,12782,cudaLaunchKernel,0,213,8484,8484,20,3DConvolution.e
1568272000,11476,cudaLaunchKernel,0,214,8484,8484,20,3DConvolution.e
1568283773,11838,cudaLaunchKernel,0,215,8484,8484,20,3DConvolution.e
1568296136,11195,cudaLaunchKernel,0,216,8484,8484,20,3DConvolution.e
1568307735,11300,cudaLaunchKernel,0,217,8484,8484,20,3DConvolution.e
1568319327,11448,cudaLaunchKernel,0,218,8484,8484,20,3DConvolution.e
1568331068,12382,cudaLaunchKernel,0,219,8484,8484,20,3DConvolution.e
1568343792,11639,cudaLaunchKernel,0,220,8484,8484,20,3DConvolution.e
1568355711,11490,cudaLaunchKernel,0,221,8484,8484,20,3DConvolution.e
1568367490,11514,cudaLaunchKernel,0,222,8484,8484,20,3DConvolution.e
1568379286,11483,cudaLaunchKernel,0,223,8484,8484,20,3DConvolution.e
1568391053,11551,cudaLaunchKernel,0,224,8484,8484,20,3DConvolution.e
1568402884,11476,cudaLaunchKernel,0,225,8484,8484,20,3DConvolution.e
1568414640,11596,cudaLaunchKernel,0,226,8484,8484,20,3DConvolution.e
1568426521,11444,cudaLaunchKernel,0,227,8484,8484,20,3DConvolution.e
1568438242,11544,cudaLaunchKernel,0,228,8484,8484,20,3DConvolution.e
1568450064,13307,cudaLaunchKernel,0,229,8484,8484,20,3DConvolution.e
1568463653,11422,cudaLaunchKernel,0,230,8484,8484,20,3DConvolution.e
1568475356,11662,cudaLaunchKernel,0,231,8484,8484,20,3DConvolution.e
1568487302,11397,cudaLaunchKernel,0,232,8484,8484,20,3DConvolution.e
1568499011,11600,cudaLaunchKernel,0,233,8484,8484,20,3DConvolution.e
1568510892,11025,cudaLaunchKernel,0,234,8484,8484,20,3DConvolution.e
1568522198,13439,cudaLaunchKernel,0,235,8484,8484,20,3DConvolution.e
1568535916,10556,cudaLaunchKernel,0,236,8484,8484,20,3DConvolution.e
1568546749,11196,cudaLaunchKernel,0,237,8484,8484,20,3DConvolution.e
1568558228,10966,cudaLaunchKernel,0,238,8484,8484,20,3DConvolution.e
1568569470,11137,cudaLaunchKernel,0,239,8484,8484,20,3DConvolution.e
1568580883,12159,cudaLaunchKernel,0,240,8484,8484,20,3DConvolution.e
1568593336,10504,cudaLaunchKernel,0,241,8484,8484,20,3DConvolution.e
1568604116,11031,cudaLaunchKernel,0,242,8484,8484,20,3DConvolution.e
1568615429,10516,cudaLaunchKernel,0,243,8484,8484,20,3DConvolution.e
1568626233,10962,cudaLaunchKernel,0,244,8484,8484,20,3DConvolution.e
1568637475,11020,cudaLaunchKernel,0,245,8484,8484,20,3DConvolution.e
1568648780,11088,cudaLaunchKernel,0,246,8484,8484,20,3DConvolution.e
1568660145,12825,cudaLaunchKernel,0,247,8484,8484,20,3DConvolution.e
1568673261,11059,cudaLaunchKernel,0,248,8484,8484,20,3DConvolution.e
1568684598,10974,cudaLaunchKernel,0,249,8484,8484,20,3DConvolution.e
1568695852,12545,cudaLaunchKernel,0,250,8484,8484,20,3DConvolution.e
1568708687,12744,cudaLaunchKernel,0,251,8484,8484,20,3DConvolution.e
1568721720,11243,cudaLaunchKernel,0,252,8484,8484,20,3DConvolution.e
1568733245,11059,cudaLaunchKernel,0,253,8484,8484,20,3DConvolution.e
1568744576,10986,cudaLaunchKernel,0,254,8484,8484,20,3DConvolution.e
1568755848,10997,cudaLaunchKernel,0,255,8484,8484,20,3DConvolution.e
1568767127,10997,cudaLaunchKernel,0,256,8484,8484,20,3DConvolution.e
1568778400,11124,cudaLaunchKernel,0,257,8484,8484,20,3DConvolution.e
1568789817,10979,cudaLaunchKernel,0,258,8484,8484,20,3DConvolution.e
1568801062,11066,cudaLaunchKernel,0,259,8484,8484,20,3DConvolution.e
1568812395,11031,cudaLaunchKernel,0,260,8484,8484,20,3DConvolution.e
1568823702,12447,cudaLaunchKernel,0,261,8484,8484,20,3DConvolution.e
1568836431,10893,cudaLaunchKernel,0,262,8484,8484,20,3DConvolution.e
1568847603,11060,cudaLaunchKernel,0,263,8484,8484,20,3DConvolution.e
1568858932,11194,cudaLaunchKernel,0,264,8484,8484,20,3DConvolution.e
1568870439,11001,cudaLaunchKernel,0,265,8484,8484,20,3DConvolution.e
1568881720,10948,cudaLaunchKernel,0,266,8484,8484,20,3DConvolution.e
1568892946,11057,cudaLaunchKernel,0,267,8484,8484,20,3DConvolution.e
1568904277,11043,cudaLaunchKernel,0,268,8484,8484,20,3DConvolution.e
1568915599,11152,cudaLaunchKernel,0,269,8484,8484,20,3DConvolution.e
1568927044,11348,cudaLaunchKernel,0,270,8484,8484,20,3DConvolution.e
1568938659,11603,cudaLaunchKernel,0,271,8484,8484,20,3DConvolution.e
1568950537,12421,cudaLaunchKernel,0,272,8484,8484,20,3DConvolution.e
1568963243,11000,cudaLaunchKernel,0,273,8484,8484,20,3DConvolution.e
1568974516,11506,cudaLaunchKernel,0,274,8484,8484,20,3DConvolution.e
1568986301,11477,cudaLaunchKernel,0,275,8484,8484,20,3DConvolution.e
1568998055,11499,cudaLaunchKernel,0,276,8484,8484,20,3DConvolution.e
1569009832,11547,cudaLaunchKernel,0,277,8484,8484,20,3DConvolution.e
1569021660,11421,cudaLaunchKernel,0,278,8484,8484,20,3DConvolution.e
1569033389,11516,cudaLaunchKernel,0,279,8484,8484,20,3DConvolution.e
1569045178,11446,cudaLaunchKernel,0,280,8484,8484,20,3DConvolution.e
1569056900,11642,cudaLaunchKernel,0,281,8484,8484,20,3DConvolution.e
1569068812,11456,cudaLaunchKernel,0,282,8484,8484,20,3DConvolution.e
1569080539,12817,cudaLaunchKernel,0,283,8484,8484,20,3DConvolution.e
1569093629,11437,cudaLaunchKernel,0,284,8484,8484,20,3DConvolution.e
1569105340,11569,cudaLaunchKernel,0,285,8484,8484,20,3DConvolution.e
1569117178,11544,cudaLaunchKernel,0,286,8484,8484,20,3DConvolution.e
1569128996,11517,cudaLaunchKernel,0,287,8484,8484,20,3DConvolution.e
1569140797,11468,cudaLaunchKernel,0,288,8484,8484,20,3DConvolution.e
