Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
210519145,4324,cuModuleGetLoadingMode,0,1,2656,2656,20,3DConvolution.e
213189104,191849557,cudaMallocHost,0,118,2656,2656,20,3DConvolution.e
405040854,25786562,cudaMallocHost,0,119,2656,2656,20,3DConvolution.e
430828410,25753464,cudaMallocHost,0,120,2656,2656,20,3DConvolution.e
477743914,1471616,cudaGetDeviceProperties_v2_v12000,0,121,2656,2656,20,3DConvolution.e
479238005,118469,cudaMalloc,0,123,2656,2656,20,3DConvolution.e
479356861,63990,cudaMalloc,0,124,2656,2656,20,3DConvolution.e
479427187,1617288,cudaMemcpy,0,125,2656,2656,20,3DConvolution.e
481044950,1570984,cudaMemcpy,0,126,2656,2656,20,3DConvolution.e
482618181,31159549,cudaLaunchKernel,0,127,2656,2656,20,3DConvolution.e
513780042,6432,cudaLaunchKernel,0,128,2656,2656,20,3DConvolution.e
513786906,5945,cudaLaunchKernel,0,129,2656,2656,20,3DConvolution.e
513793125,3769,cudaLaunchKernel,0,130,2656,2656,20,3DConvolution.e
513797150,6315,cudaLaunchKernel,0,131,2656,2656,20,3DConvolution.e
513803717,5474,cudaLaunchKernel,0,132,2656,2656,20,3DConvolution.e
513809437,4339,cudaLaunchKernel,0,133,2656,2656,20,3DConvolution.e
513814024,5709,cudaLaunchKernel,0,134,2656,2656,20,3DConvolution.e
513819984,5491,cudaLaunchKernel,0,135,2656,2656,20,3DConvolution.e
513825786,5604,cudaLaunchKernel,0,136,2656,2656,20,3DConvolution.e
513831627,4945,cudaLaunchKernel,0,137,2656,2656,20,3DConvolution.e
513836806,5029,cudaLaunchKernel,0,138,2656,2656,20,3DConvolution.e
513842072,5375,cudaLaunchKernel,0,139,2656,2656,20,3DConvolution.e
513847679,4438,cudaLaunchKernel,0,140,2656,2656,20,3DConvolution.e
513852351,5950,cudaLaunchKernel,0,141,2656,2656,20,3DConvolution.e
513858533,5092,cudaLaunchKernel,0,142,2656,2656,20,3DConvolution.e
513863861,3817,cudaLaunchKernel,0,143,2656,2656,20,3DConvolution.e
513867950,6146,cudaLaunchKernel,0,144,2656,2656,20,3DConvolution.e
513874333,4913,cudaLaunchKernel,0,145,2656,2656,20,3DConvolution.e
513879478,4206,cudaLaunchKernel,0,146,2656,2656,20,3DConvolution.e
513883918,5316,cudaLaunchKernel,0,147,2656,2656,20,3DConvolution.e
513889465,4790,cudaLaunchKernel,0,148,2656,2656,20,3DConvolution.e
513894491,4810,cudaLaunchKernel,0,149,2656,2656,20,3DConvolution.e
513899533,5224,cudaLaunchKernel,0,150,2656,2656,20,3DConvolution.e
513904983,52250,cudaLaunchKernel,0,151,2656,2656,20,3DConvolution.e
513957693,6123,cudaLaunchKernel,0,152,2656,2656,20,3DConvolution.e
513964033,5220,cudaLaunchKernel,0,153,2656,2656,20,3DConvolution.e
513969511,6258,cudaLaunchKernel,0,154,2656,2656,20,3DConvolution.e
513976006,4499,cudaLaunchKernel,0,155,2656,2656,20,3DConvolution.e
513980736,4650,cudaLaunchKernel,0,156,2656,2656,20,3DConvolution.e
513985616,5553,cudaLaunchKernel,0,157,2656,2656,20,3DConvolution.e
513991394,3318,cudaLaunchKernel,0,158,2656,2656,20,3DConvolution.e
513994941,5813,cudaLaunchKernel,0,159,2656,2656,20,3DConvolution.e
514000984,4961,cudaLaunchKernel,0,160,2656,2656,20,3DConvolution.e
514006180,4108,cudaLaunchKernel,0,161,2656,2656,20,3DConvolution.e
514010514,5447,cudaLaunchKernel,0,162,2656,2656,20,3DConvolution.e
514016191,4883,cudaLaunchKernel,0,163,2656,2656,20,3DConvolution.e
514021306,5022,cudaLaunchKernel,0,164,2656,2656,20,3DConvolution.e
514026556,4671,cudaLaunchKernel,0,165,2656,2656,20,3DConvolution.e
514031454,4801,cudaLaunchKernel,0,166,2656,2656,20,3DConvolution.e
514036482,5539,cudaLaunchKernel,0,167,2656,2656,20,3DConvolution.e
514042251,3990,cudaLaunchKernel,0,168,2656,2656,20,3DConvolution.e
514046473,6090,cudaLaunchKernel,0,169,2656,2656,20,3DConvolution.e
514052780,5486,cudaLaunchKernel,0,170,2656,2656,20,3DConvolution.e
514058590,4290,cudaLaunchKernel,0,171,2656,2656,20,3DConvolution.e
514063118,5619,cudaLaunchKernel,0,172,2656,2656,20,3DConvolution.e
514068952,4812,cudaLaunchKernel,0,173,2656,2656,20,3DConvolution.e
514074019,6379,cudaLaunchKernel,0,174,2656,2656,20,3DConvolution.e
514080632,4412,cudaLaunchKernel,0,175,2656,2656,20,3DConvolution.e
514085280,4870,cudaLaunchKernel,0,176,2656,2656,20,3DConvolution.e
514090385,6307,cudaLaunchKernel,0,177,2656,2656,20,3DConvolution.e
514096941,4208,cudaLaunchKernel,0,178,2656,2656,20,3DConvolution.e
514101399,5135,cudaLaunchKernel,0,179,2656,2656,20,3DConvolution.e
514106743,4970,cudaLaunchKernel,0,180,2656,2656,20,3DConvolution.e
514111920,4208,cudaLaunchKernel,0,181,2656,2656,20,3DConvolution.e
514116336,4737,cudaLaunchKernel,0,182,2656,2656,20,3DConvolution.e
514121281,4785,cudaLaunchKernel,0,183,2656,2656,20,3DConvolution.e
514126266,4852,cudaLaunchKernel,0,184,2656,2656,20,3DConvolution.e
514131333,4381,cudaLaunchKernel,0,185,2656,2656,20,3DConvolution.e
514135927,5574,cudaLaunchKernel,0,186,2656,2656,20,3DConvolution.e
514141743,6089,cudaLaunchKernel,0,187,2656,2656,20,3DConvolution.e
514148144,3282,cudaLaunchKernel,0,188,2656,2656,20,3DConvolution.e
514151638,4817,cudaLaunchKernel,0,189,2656,2656,20,3DConvolution.e
514156675,5466,cudaLaunchKernel,0,190,2656,2656,20,3DConvolution.e
514162395,3745,cudaLaunchKernel,0,191,2656,2656,20,3DConvolution.e
514166336,5488,cudaLaunchKernel,0,192,2656,2656,20,3DConvolution.e
514172020,4907,cudaLaunchKernel,0,193,2656,2656,20,3DConvolution.e
514177164,4294,cudaLaunchKernel,0,194,2656,2656,20,3DConvolution.e
514181672,4898,cudaLaunchKernel,0,195,2656,2656,20,3DConvolution.e
514186780,4909,cudaLaunchKernel,0,196,2656,2656,20,3DConvolution.e
514191901,4959,cudaLaunchKernel,0,197,2656,2656,20,3DConvolution.e
514197078,3966,cudaLaunchKernel,0,198,2656,2656,20,3DConvolution.e
514201255,4678,cudaLaunchKernel,0,199,2656,2656,20,3DConvolution.e
514206141,5529,cudaLaunchKernel,0,200,2656,2656,20,3DConvolution.e
514211881,3800,cudaLaunchKernel,0,201,2656,2656,20,3DConvolution.e
514215893,6191,cudaLaunchKernel,0,202,2656,2656,20,3DConvolution.e
514222393,5154,cudaLaunchKernel,0,203,2656,2656,20,3DConvolution.e
514227848,3565,cudaLaunchKernel,0,204,2656,2656,20,3DConvolution.e
514231629,5626,cudaLaunchKernel,0,205,2656,2656,20,3DConvolution.e
514237471,4769,cudaLaunchKernel,0,206,2656,2656,20,3DConvolution.e
514242455,4677,cudaLaunchKernel,0,207,2656,2656,20,3DConvolution.e
514247350,5337,cudaLaunchKernel,0,208,2656,2656,20,3DConvolution.e
514252900,5090,cudaLaunchKernel,0,209,2656,2656,20,3DConvolution.e
514258205,5273,cudaLaunchKernel,0,210,2656,2656,20,3DConvolution.e
514263695,4307,cudaLaunchKernel,0,211,2656,2656,20,3DConvolution.e
514268215,5934,cudaLaunchKernel,0,212,2656,2656,20,3DConvolution.e
514274361,4602,cudaLaunchKernel,0,213,2656,2656,20,3DConvolution.e
514279175,3973,cudaLaunchKernel,0,214,2656,2656,20,3DConvolution.e
514283370,5505,cudaLaunchKernel,0,215,2656,2656,20,3DConvolution.e
514289094,4962,cudaLaunchKernel,0,216,2656,2656,20,3DConvolution.e
514294278,5036,cudaLaunchKernel,0,217,2656,2656,20,3DConvolution.e
514299530,5281,cudaLaunchKernel,0,218,2656,2656,20,3DConvolution.e
