Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
207927262,4304,cuModuleGetLoadingMode,0,1,5330,5330,20,3DConvolution.e
210632129,197461679,cudaMallocManaged,0,118,5330,5330,20,3DConvolution.e
408096034,82464,cudaMallocManaged,0,119,5330,5330,20,3DConvolution.e
519134657,1514312,cudaGetDeviceProperties_v2_v12000,0,120,5330,5330,20,3DConvolution.e
520689530,283362,cudaLaunchKernel,0,122,5330,5330,20,3DConvolution.e
520973725,8044,cudaLaunchKernel,0,123,5330,5330,20,3DConvolution.e
520982175,6697,cudaLaunchKernel,0,124,5330,5330,20,3DConvolution.e
520989118,5294,cudaLaunchKernel,0,125,5330,5330,20,3DConvolution.e
520994651,5291,cudaLaunchKernel,0,126,5330,5330,20,3DConvolution.e
521000157,5861,cudaLaunchKernel,0,127,5330,5330,20,3DConvolution.e
521006231,4995,cudaLaunchKernel,0,128,5330,5330,20,3DConvolution.e
521011444,4509,cudaLaunchKernel,0,129,5330,5330,20,3DConvolution.e
521016168,5416,cudaLaunchKernel,0,130,5330,5330,20,3DConvolution.e
521021804,5950,cudaLaunchKernel,0,131,5330,5330,20,3DConvolution.e
521027970,4592,cudaLaunchKernel,0,132,5330,5330,20,3DConvolution.e
521032815,5334,cudaLaunchKernel,0,133,5330,5330,20,3DConvolution.e
521038413,6147,cudaLaunchKernel,0,134,5330,5330,20,3DConvolution.e
521044952,4145,cudaLaunchKernel,0,135,5330,5330,20,3DConvolution.e
521049311,5056,cudaLaunchKernel,0,136,5330,5330,20,3DConvolution.e
521054618,5341,cudaLaunchKernel,0,137,5330,5330,20,3DConvolution.e
521060207,4498,cudaLaunchKernel,0,138,5330,5330,20,3DConvolution.e
521064921,5454,cudaLaunchKernel,0,139,5330,5330,20,3DConvolution.e
521070582,4965,cudaLaunchKernel,0,140,5330,5330,20,3DConvolution.e
521075785,5534,cudaLaunchKernel,0,141,5330,5330,20,3DConvolution.e
521081517,4776,cudaLaunchKernel,0,142,5330,5330,20,3DConvolution.e
521086507,5090,cudaLaunchKernel,0,143,5330,5330,20,3DConvolution.e
521091864,5688,cudaLaunchKernel,0,144,5330,5330,20,3DConvolution.e
521097864,3514,cudaLaunchKernel,0,145,5330,5330,20,3DConvolution.e
521101580,6239,cudaLaunchKernel,0,146,5330,5330,20,3DConvolution.e
521108021,5468,cudaLaunchKernel,0,147,5330,5330,20,3DConvolution.e
521113708,3733,cudaLaunchKernel,0,148,5330,5330,20,3DConvolution.e
521117679,6259,cudaLaunchKernel,0,149,5330,5330,20,3DConvolution.e
521124214,5208,cudaLaunchKernel,0,150,5330,5330,20,3DConvolution.e
521129730,5024,cudaLaunchKernel,0,151,5330,5330,20,3DConvolution.e
521135002,5212,cudaLaunchKernel,0,152,5330,5330,20,3DConvolution.e
521140461,4983,cudaLaunchKernel,0,153,5330,5330,20,3DConvolution.e
521145694,4993,cudaLaunchKernel,0,154,5330,5330,20,3DConvolution.e
521150929,4577,cudaLaunchKernel,0,155,5330,5330,20,3DConvolution.e
521155721,6067,cudaLaunchKernel,0,156,5330,5330,20,3DConvolution.e
