Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
276248912,6139,cuModuleGetLoadingMode,0,1,4775,4775,20,ordergraph
286527320,1147790198,cudaDeviceSynchronize,0,118,4775,4775,20,ordergraph
1434368256,27848097,cudaMallocHost,0,119,4775,4775,20,ordergraph
1483684600,233637,cudaMallocHost,0,120,4775,4775,20,ordergraph
1483939923,163932,cudaMalloc,0,121,4775,4775,20,ordergraph
1484104369,79088,cudaMalloc,0,122,4775,4775,20,ordergraph
1484183880,6714,cudaMalloc,0,123,4775,4775,20,ordergraph
1484198388,64164,cudaMemset,0,124,4775,4775,20,ordergraph
1484263267,95620,cudaMemcpy,0,125,4775,4775,20,ordergraph
1484359328,44202,cudaMemcpy,0,126,4775,4775,20,ordergraph
1484406800,365848,cudaLaunchKernel,0,127,4775,4775,20,ordergraph
1484773600,175057865,cudaDeviceSynchronize,0,128,4775,4775,20,ordergraph
1659832085,9361306,cudaMemcpy,0,129,4775,4775,20,ordergraph
1669195028,123021,cudaFreeHost,0,130,4775,4775,20,ordergraph
1669319411,12857,cudaFree,0,131,4775,4775,20,ordergraph
1669332582,223640,cudaFree,0,132,4775,4775,20,ordergraph
1669556701,202331,cudaMallocHost,0,133,4775,4775,20,ordergraph
1669759488,222520,cudaMallocHost,0,134,4775,4775,20,ordergraph
1669985970,109135,cudaMalloc,0,135,4775,4775,20,ordergraph
1670095631,4858,cudaMalloc,0,136,4775,4775,20,ordergraph
1670100665,3866,cudaMalloc,0,137,4775,4775,20,ordergraph
1670145962,29698,cudaMemset,0,138,4775,4775,20,ordergraph
1670176080,9363,cudaMemset,0,139,4775,4775,20,ordergraph
1670187016,27935,cudaMemcpy,0,140,4775,4775,20,ordergraph
1670218488,164482,cudaLaunchKernel,0,141,4775,4775,20,ordergraph
1670384345,45610,cudaDeviceSynchronize,0,142,4775,4775,20,ordergraph
1670431173,31602,cudaMemcpy,0,143,4775,4775,20,ordergraph
1670463133,23386,cudaMemcpy,0,144,4775,4775,20,ordergraph
1670489029,8276,cudaMemset,0,145,4775,4775,20,ordergraph
1670497705,10223,cudaMemset,0,146,4775,4775,20,ordergraph
1670509241,29601,cudaMemcpy,0,147,4775,4775,20,ordergraph
1670540528,14161,cudaLaunchKernel,0,148,4775,4775,20,ordergraph
1670555780,49627,cudaDeviceSynchronize,0,149,4775,4775,20,ordergraph
1670606514,25584,cudaMemcpy,0,150,4775,4775,20,ordergraph
1670632310,25807,cudaMemcpy,0,151,4775,4775,20,ordergraph
1670660102,7560,cudaMemset,0,152,4775,4775,20,ordergraph
1670667866,10776,cudaMemset,0,153,4775,4775,20,ordergraph
1670679668,24044,cudaMemcpy,0,154,4775,4775,20,ordergraph
1670704990,11671,cudaLaunchKernel,0,155,4775,4775,20,ordergraph
1670717460,56789,cudaDeviceSynchronize,0,156,4775,4775,20,ordergraph
1670775287,22927,cudaMemcpy,0,157,4775,4775,20,ordergraph
1670798403,22623,cudaMemcpy,0,158,4775,4775,20,ordergraph
1670823325,7461,cudaMemset,0,159,4775,4775,20,ordergraph
1670830950,10978,cudaMemset,0,160,4775,4775,20,ordergraph
1670842917,28845,cudaMemcpy,0,161,4775,4775,20,ordergraph
1670873014,11793,cudaLaunchKernel,0,162,4775,4775,20,ordergraph
1670885556,49516,cudaDeviceSynchronize,0,163,4775,4775,20,ordergraph
1670936123,22449,cudaMemcpy,0,164,4775,4775,20,ordergraph
1670958788,22445,cudaMemcpy,0,165,4775,4775,20,ordergraph
1670983031,7564,cudaMemset,0,166,4775,4775,20,ordergraph
1670990764,11284,cudaMemset,0,167,4775,4775,20,ordergraph
1671003085,21833,cudaMemcpy,0,168,4775,4775,20,ordergraph
1671026195,11009,cudaLaunchKernel,0,169,4775,4775,20,ordergraph
1671037964,57834,cudaDeviceSynchronize,0,170,4775,4775,20,ordergraph
1671096809,23054,cudaMemcpy,0,171,4775,4775,20,ordergraph
1671120070,22399,cudaMemcpy,0,172,4775,4775,20,ordergraph
1671144967,8540,cudaMemset,0,173,4775,4775,20,ordergraph
1671153679,11009,cudaMemset,0,174,4775,4775,20,ordergraph
1671165751,27441,cudaMemcpy,0,175,4775,4775,20,ordergraph
1671194447,10753,cudaLaunchKernel,0,176,4775,4775,20,ordergraph
1671206156,65708,cudaDeviceSynchronize,0,177,4775,4775,20,ordergraph
1671272872,24378,cudaMemcpy,0,178,4775,4775,20,ordergraph
1671297451,22958,cudaMemcpy,0,179,4775,4775,20,ordergraph
1671323033,7721,cudaMemset,0,180,4775,4775,20,ordergraph
1671330955,10678,cudaMemset,0,181,4775,4775,20,ordergraph
1671342671,24013,cudaMemcpy,0,182,4775,4775,20,ordergraph
