Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
741247625,4381,cuModuleGetLoadingMode,0,1,1448,1448,20,ordergraph
743566280,169446538,cudaDeviceSynchronize,0,118,1448,1448,20,ordergraph
913044858,10695238,cudaMallocHost,0,119,1448,1448,20,ordergraph
940105541,970371,cudaMallocHost,0,120,1448,1448,20,ordergraph
941096109,78842,cudaMalloc,0,121,1448,1448,20,ordergraph
941175372,76110,cudaMalloc,0,122,1448,1448,20,ordergraph
941251773,8067,cudaMalloc,0,123,1448,1448,20,ordergraph
941266434,38480,cudaMemset,0,124,1448,1448,20,ordergraph
941305783,43752,cudaMemcpy,0,125,1448,1448,20,ordergraph
941349822,11815,cudaMemcpy,0,126,1448,1448,20,ordergraph
941363818,889367,cudaLaunchKernel,0,127,1448,1448,20,ordergraph
942254556,169157080,cudaDeviceSynchronize,0,128,1448,1448,20,ordergraph
1111412653,652391,cudaMemcpy,0,129,1448,1448,20,ordergraph
1112065603,555932,cudaFreeHost,0,130,1448,1448,20,ordergraph
1112622381,10264,cudaFree,0,131,1448,1448,20,ordergraph
1112632947,70419,cudaFree,0,132,1448,1448,20,ordergraph
1112703841,900886,cudaMallocHost,0,133,1448,1448,20,ordergraph
1113605425,8581,cudaMallocHost,0,134,1448,1448,20,ordergraph
1113617902,74260,cudaMalloc,0,135,1448,1448,20,ordergraph
1113692603,4178,cudaMalloc,0,136,1448,1448,20,ordergraph
1113696975,3469,cudaMalloc,0,137,1448,1448,20,ordergraph
1113729687,11735,cudaMemset,0,138,1448,1448,20,ordergraph
1113741780,2639,cudaMemset,0,139,1448,1448,20,ordergraph
1113745714,14500,cudaMemcpy,0,140,1448,1448,20,ordergraph
1113762894,109741,cudaLaunchKernel,0,141,1448,1448,20,ordergraph
1113873950,53890,cudaDeviceSynchronize,0,142,1448,1448,20,ordergraph
1113929356,15257,cudaMemcpy,0,143,1448,1448,20,ordergraph
1113945021,8456,cudaMemcpy,0,144,1448,1448,20,ordergraph
1113955569,3096,cudaMemset,0,145,1448,1448,20,ordergraph
1113959023,2511,cudaMemset,0,146,1448,1448,20,ordergraph
1113962497,6652,cudaMemcpy,0,147,1448,1448,20,ordergraph
1113970828,8770,cudaLaunchKernel,0,148,1448,1448,20,ordergraph
1113980484,35472,cudaDeviceSynchronize,0,149,1448,1448,20,ordergraph
1114016941,8252,cudaMemcpy,0,150,1448,1448,20,ordergraph
1114025482,7936,cudaMemcpy,0,151,1448,1448,20,ordergraph
1114035191,8815,cudaMemset,0,152,1448,1448,20,ordergraph
1114044216,3181,cudaMemset,0,153,1448,1448,20,ordergraph
1114048356,7162,cudaMemcpy,0,154,1448,1448,20,ordergraph
1114056723,5255,cudaLaunchKernel,0,155,1448,1448,20,ordergraph
1114062590,58375,cudaDeviceSynchronize,0,156,1448,1448,20,ordergraph
1114121873,7950,cudaMemcpy,0,157,1448,1448,20,ordergraph
1114130016,7643,cudaMemcpy,0,158,1448,1448,20,ordergraph
1114139859,6514,cudaMemset,0,159,1448,1448,20,ordergraph
1114146585,2538,cudaMemset,0,160,1448,1448,20,ordergraph
1114150057,6613,cudaMemcpy,0,161,1448,1448,20,ordergraph
1114157848,5542,cudaLaunchKernel,0,162,1448,1448,20,ordergraph
1114163990,68051,cudaDeviceSynchronize,0,163,1448,1448,20,ordergraph
1114232973,8006,cudaMemcpy,0,164,1448,1448,20,ordergraph
1114241162,7647,cudaMemcpy,0,165,1448,1448,20,ordergraph
1114252252,2027,cudaMemset,0,166,1448,1448,20,ordergraph
1114254446,1950,cudaMemset,0,167,1448,1448,20,ordergraph
1114257311,6565,cudaMemcpy,0,168,1448,1448,20,ordergraph
1114265012,4701,cudaLaunchKernel,0,169,1448,1448,20,ordergraph
1114270311,35789,cudaDeviceSynchronize,0,170,1448,1448,20,ordergraph
1114307037,7661,cudaMemcpy,0,171,1448,1448,20,ordergraph
1114314888,7517,cudaMemcpy,0,172,1448,1448,20,ordergraph
1114324330,2104,cudaMemset,0,173,1448,1448,20,ordergraph
1114326595,1799,cudaMemset,0,174,1448,1448,20,ordergraph
1114329284,30415,cudaMemcpy,0,175,1448,1448,20,ordergraph
1114360967,5606,cudaLaunchKernel,0,176,1448,1448,20,ordergraph
1114367278,35934,cudaDeviceSynchronize,0,177,1448,1448,20,ordergraph
1114404137,7991,cudaMemcpy,0,178,1448,1448,20,ordergraph
1114412309,24410,cudaMemcpy,0,179,1448,1448,20,ordergraph
1114438954,2936,cudaMemset,0,180,1448,1448,20,ordergraph
1114442056,2121,cudaMemset,0,181,1448,1448,20,ordergraph
1114445127,6277,cudaMemcpy,0,182,1448,1448,20,ordergraph
1114452588,6023,cudaLaunchKernel,0,183,1448,1448,20,ordergraph
1114459187,27918,cudaDeviceSynchronize,0,184,1448,1448,20,ordergraph
1114488030,7622,cudaMemcpy,0,185,1448,1448,20,ordergraph
1114495849,7599,cudaMemcpy,0,186,1448,1448,20,ordergraph
1114505003,1896,cudaMemset,0,187,1448,1448,20,ordergraph
1114507063,1745,cudaMemset,0,188,1448,1448,20,ordergraph
1114509709,7227,cudaMemcpy,0,189,1448,1448,20,ordergraph
1114518075,5363,cudaLaunchKernel,0,190,1448,1448,20,ordergraph
1114524042,35408,cudaDeviceSynchronize,0,191,1448,1448,20,ordergraph
1114560369,7793,cudaMemcpy,0,192,1448,1448,20,ordergraph
1114568350,7534,cudaMemcpy,0,193,1448,1448,20,ordergraph
1114577557,1922,cudaMemset,0,194,1448,1448,20,ordergraph
1114579642,1743,cudaMemset,0,195,1448,1448,20,ordergraph
1114582291,7051,cudaMemcpy,0,196,1448,1448,20,ordergraph
1114590478,4060,cudaLaunchKernel,0,197,1448,1448,20,ordergraph
1114595097,35292,cudaDeviceSynchronize,0,198,1448,1448,20,ordergraph
1114631293,7571,cudaMemcpy,0,199,1448,1448,20,ordergraph
1114639037,7523,cudaMemcpy,0,200,1448,1448,20,ordergraph
1114648355,1829,cudaMemset,0,201,1448,1448,20,ordergraph
1114650344,1757,cudaMemset,0,202,1448,1448,20,ordergraph
1114652990,7417,cudaMemcpy,0,203,1448,1448,20,ordergraph
1114661544,5026,cudaLaunchKernel,0,204,1448,1448,20,ordergraph
1114667122,35741,cudaDeviceSynchronize,0,205,1448,1448,20,ordergraph
1114703768,7861,cudaMemcpy,0,206,1448,1448,20,ordergraph
1114711964,7576,cudaMemcpy,0,207,1448,1448,20,ordergraph
1114721295,2076,cudaMemset,0,208,1448,1448,20,ordergraph
1114723568,1842,cudaMemset,0,209,1448,1448,20,ordergraph
1114726347,6087,cudaMemcpy,0,210,1448,1448,20,ordergraph
1114733618,4234,cudaLaunchKernel,0,211,1448,1448,20,ordergraph
1114738431,19565,cudaDeviceSynchronize,0,212,1448,1448,20,ordergraph
1114758910,7660,cudaMemcpy,0,213,1448,1448,20,ordergraph
1114766766,7471,cudaMemcpy,0,214,1448,1448,20,ordergraph
1114775786,5296,cudaMemset,0,215,1448,1448,20,ordergraph
1114781233,2667,cudaMemset,0,216,1448,1448,20,ordergraph
1114784813,6803,cudaMemcpy,0,217,1448,1448,20,ordergraph
1114792768,6124,cudaLaunchKernel,0,218,1448,1448,20,ordergraph
1114799455,59450,cudaDeviceSynchronize,0,219,1448,1448,20,ordergraph
1114859825,7910,cudaMemcpy,0,220,1448,1448,20,ordergraph
1114867904,7571,cudaMemcpy,0,221,1448,1448,20,ordergraph
1114878266,2321,cudaMemset,0,222,1448,1448,20,ordergraph
1114880760,1905,cudaMemset,0,223,1448,1448,20,ordergraph
1114883540,6993,cudaMemcpy,0,224,1448,1448,20,ordergraph
1114891681,5982,cudaLaunchKernel,0,225,1448,1448,20,ordergraph
1114898240,47490,cudaDeviceSynchronize,0,226,1448,1448,20,ordergraph
1114946643,7678,cudaMemcpy,0,227,1448,1448,20,ordergraph
1114954513,35080,cudaMemcpy,0,228,1448,1448,20,ordergraph
1114992206,2956,cudaMemset,0,229,1448,1448,20,ordergraph
1114995342,1749,cudaMemset,0,230,1448,1448,20,ordergraph
1114998067,6594,cudaMemcpy,0,231,1448,1448,20,ordergraph
1115005881,5398,cudaLaunchKernel,0,232,1448,1448,20,ordergraph
1115011841,13109,cudaDeviceSynchronize,0,233,1448,1448,20,ordergraph
1115025899,8071,cudaMemcpy,0,234,1448,1448,20,ordergraph
1115034153,7546,cudaMemcpy,0,235,1448,1448,20,ordergraph
1115043389,3005,cudaMemset,0,236,1448,1448,20,ordergraph
1115046540,2519,cudaMemset,0,237,1448,1448,20,ordergraph
1115049981,5960,cudaMemcpy,0,238,1448,1448,20,ordergraph
1115057123,4105,cudaLaunchKernel,0,239,1448,1448,20,ordergraph
1115061781,48275,cudaDeviceSynchronize,0,240,1448,1448,20,ordergraph
1115110942,7794,cudaMemcpy,0,241,1448,1448,20,ordergraph
1115118928,7493,cudaMemcpy,0,242,1448,1448,20,ordergraph
1115128785,3954,cudaMemset,0,243,1448,1448,20,ordergraph
1115132921,2809,cudaMemset,0,244,1448,1448,20,ordergraph
1115136662,6320,cudaMemcpy,0,245,1448,1448,20,ordergraph
1115144136,4084,cudaLaunchKernel,0,246,1448,1448,20,ordergraph
1115148768,60597,cudaDeviceSynchronize,0,247,1448,1448,20,ordergraph
1115210266,7974,cudaMemcpy,0,248,1448,1448,20,ordergraph
1115218421,7626,cudaMemcpy,0,249,1448,1448,20,ordergraph
1115229407,2711,cudaMemset,0,250,1448,1448,20,ordergraph
1115232283,1749,cudaMemset,0,251,1448,1448,20,ordergraph
1115234913,7097,cudaMemcpy,0,252,1448,1448,20,ordergraph
1115243183,4225,cudaLaunchKernel,0,253,1448,1448,20,ordergraph
1115247953,41864,cudaDeviceSynchronize,0,254,1448,1448,20,ordergraph
1115290726,7764,cudaMemcpy,0,255,1448,1448,20,ordergraph
1115298672,7610,cudaMemcpy,0,256,1448,1448,20,ordergraph
1115308478,1865,cudaMemset,0,257,1448,1448,20,ordergraph
1115310522,1660,cudaMemset,0,258,1448,1448,20,ordergraph
1115313079,6319,cudaMemcpy,0,259,1448,1448,20,ordergraph
1115320537,4918,cudaLaunchKernel,0,260,1448,1448,20,ordergraph
1115326005,9333,cudaDeviceSynchronize,0,261,1448,1448,20,ordergraph
1115336243,9894,cudaMemcpy,0,262,1448,1448,20,ordergraph
1115346311,7624,cudaMemcpy,0,263,1448,1448,20,ordergraph
1115355503,1861,cudaMemset,0,264,1448,1448,20,ordergraph
1115357535,1790,cudaMemset,0,265,1448,1448,20,ordergraph
1115360227,6530,cudaMemcpy,0,266,1448,1448,20,ordergraph
1115367882,4517,cudaLaunchKernel,0,267,1448,1448,20,ordergraph
1115372952,36426,cudaDeviceSynchronize,0,268,1448,1448,20,ordergraph
1115410274,8231,cudaMemcpy,0,269,1448,1448,20,ordergraph
1115418694,7581,cudaMemcpy,0,270,1448,1448,20,ordergraph
1115427995,5380,cudaMemset,0,271,1448,1448,20,ordergraph
1115433561,2225,cudaMemset,0,272,1448,1448,20,ordergraph
1115436752,6820,cudaMemcpy,0,273,1448,1448,20,ordergraph
1115444703,5157,cudaLaunchKernel,0,274,1448,1448,20,ordergraph
1115450414,58378,cudaDeviceSynchronize,0,275,1448,1448,20,ordergraph
1115509681,7867,cudaMemcpy,0,276,1448,1448,20,ordergraph
1115517731,7467,cudaMemcpy,0,277,1448,1448,20,ordergraph
1115528160,2111,cudaMemset,0,278,1448,1448,20,ordergraph
1115530434,1773,cudaMemset,0,279,1448,1448,20,ordergraph
1115533094,6486,cudaMemcpy,0,280,1448,1448,20,ordergraph
1115540750,4099,cudaLaunchKernel,0,281,1448,1448,20,ordergraph
1115545409,35721,cudaDeviceSynchronize,0,282,1448,1448,20,ordergraph
1115582033,7603,cudaMemcpy,0,283,1448,1448,20,ordergraph
1115589824,7496,cudaMemcpy,0,284,1448,1448,20,ordergraph
1115599015,2052,cudaMemset,0,285,1448,1448,20,ordergraph
1115601227,1729,cudaMemset,0,286,1448,1448,20,ordergraph
1115603881,6398,cudaMemcpy,0,287,1448,1448,20,ordergraph
1115611410,5302,cudaLaunchKernel,0,288,1448,1448,20,ordergraph
1115617291,38610,cudaDeviceSynchronize,0,289,1448,1448,20,ordergraph
1115656825,7813,cudaMemcpy,0,290,1448,1448,20,ordergraph
1115664827,7458,cudaMemcpy,0,291,1448,1448,20,ordergraph
1115673993,4559,cudaMemset,0,292,1448,1448,20,ordergraph
1115678727,3056,cudaMemset,0,293,1448,1448,20,ordergraph
1115682711,6127,cudaMemcpy,0,294,1448,1448,20,ordergraph
1115690003,4118,cudaLaunchKernel,0,295,1448,1448,20,ordergraph
1115694670,71701,cudaDeviceSynchronize,0,296,1448,1448,20,ordergraph
1115767596,9118,cudaMemcpy,0,297,1448,1448,20,ordergraph
1115776900,7534,cudaMemcpy,0,298,1448,1448,20,ordergraph
1115788024,2421,cudaMemset,0,299,1448,1448,20,ordergraph
1115790579,1744,cudaMemset,0,300,1448,1448,20,ordergraph
1115793214,6468,cudaMemcpy,0,301,1448,1448,20,ordergraph
1115800834,6203,cudaLaunchKernel,0,302,1448,1448,20,ordergraph
1115807591,35470,cudaDeviceSynchronize,0,303,1448,1448,20,ordergraph
1115843995,7732,cudaMemcpy,0,304,1448,1448,20,ordergraph
1115851925,7488,cudaMemcpy,0,305,1448,1448,20,ordergraph
1115861184,1923,cudaMemset,0,306,1448,1448,20,ordergraph
1115863271,1700,cudaMemset,0,307,1448,1448,20,ordergraph
1115865890,6568,cudaMemcpy,0,308,1448,1448,20,ordergraph
1115873601,4071,cudaLaunchKernel,0,309,1448,1448,20,ordergraph
1115878226,35642,cudaDeviceSynchronize,0,310,1448,1448,20,ordergraph
1115914814,7556,cudaMemcpy,0,311,1448,1448,20,ordergraph
1115922564,7504,cudaMemcpy,0,312,1448,1448,20,ordergraph
1115931507,1825,cudaMemset,0,313,1448,1448,20,ordergraph
1115933499,1676,cudaMemset,0,314,1448,1448,20,ordergraph
1115936076,6834,cudaMemcpy,0,315,1448,1448,20,ordergraph
1115944053,5423,cudaLaunchKernel,0,316,1448,1448,20,ordergraph
1115950016,63831,cudaDeviceSynchronize,0,317,1448,1448,20,ordergraph
1116015174,9267,cudaMemcpy,0,318,1448,1448,20,ordergraph
1116024645,7556,cudaMemcpy,0,319,1448,1448,20,ordergraph
1116033914,2769,cudaMemset,0,320,1448,1448,20,ordergraph
1116036857,1790,cudaMemset,0,321,1448,1448,20,ordergraph
1116039545,6578,cudaMemcpy,0,322,1448,1448,20,ordergraph
1116047395,6448,cudaLaunchKernel,0,323,1448,1448,20,ordergraph
1116054414,40497,cudaDeviceSynchronize,0,324,1448,1448,20,ordergraph
1116095913,7739,cudaMemcpy,0,325,1448,1448,20,ordergraph
1116103831,7529,cudaMemcpy,0,326,1448,1448,20,ordergraph
1116113379,2229,cudaMemset,0,327,1448,1448,20,ordergraph
1116115789,1676,cudaMemset,0,328,1448,1448,20,ordergraph
1116118360,6999,cudaMemcpy,0,329,1448,1448,20,ordergraph
1116126524,5846,cudaLaunchKernel,0,330,1448,1448,20,ordergraph
1116133035,40750,cudaDeviceSynchronize,0,331,1448,1448,20,ordergraph
1116174700,7858,cudaMemcpy,0,332,1448,1448,20,ordergraph
1116182745,7424,cudaMemcpy,0,333,1448,1448,20,ordergraph
1116192056,3922,cudaMemset,0,334,1448,1448,20,ordergraph
1116196145,1748,cudaMemset,0,335,1448,1448,20,ordergraph
1116198820,6361,cudaMemcpy,0,336,1448,1448,20,ordergraph
1116206340,4184,cudaLaunchKernel,0,337,1448,1448,20,ordergraph
1116211102,35464,cudaDeviceSynchronize,0,338,1448,1448,20,ordergraph
1116247448,7695,cudaMemcpy,0,339,1448,1448,20,ordergraph
1116255318,7541,cudaMemcpy,0,340,1448,1448,20,ordergraph
1116264481,2730,cudaMemset,0,341,1448,1448,20,ordergraph
1116267373,1999,cudaMemset,0,342,1448,1448,20,ordergraph
1116270268,7049,cudaMemcpy,0,343,1448,1448,20,ordergraph
1116278511,4767,cudaLaunchKernel,0,344,1448,1448,20,ordergraph
1116283867,39835,cudaDeviceSynchronize,0,345,1448,1448,20,ordergraph
1116324643,7795,cudaMemcpy,0,346,1448,1448,20,ordergraph
1116332621,7572,cudaMemcpy,0,347,1448,1448,20,ordergraph
1116341930,6291,cudaMemset,0,348,1448,1448,20,ordergraph
1116348396,2414,cudaMemset,0,349,1448,1448,20,ordergraph
1116351739,6756,cudaMemcpy,0,350,1448,1448,20,ordergraph
1116359651,4830,cudaLaunchKernel,0,351,1448,1448,20,ordergraph
1116365059,73976,cudaDeviceSynchronize,0,352,1448,1448,20,ordergraph
1116439924,7838,cudaMemcpy,0,353,1448,1448,20,ordergraph
1116447959,7672,cudaMemcpy,0,354,1448,1448,20,ordergraph
1116459246,2775,cudaMemset,0,355,1448,1448,20,ordergraph
1116462203,2176,cudaMemset,0,356,1448,1448,20,ordergraph
1116465420,6279,cudaMemcpy,0,357,1448,1448,20,ordergraph
1116472986,4521,cudaLaunchKernel,0,358,1448,1448,20,ordergraph
1116478077,35741,cudaDeviceSynchronize,0,359,1448,1448,20,ordergraph
1116514720,8000,cudaMemcpy,0,360,1448,1448,20,ordergraph
1116522904,7563,cudaMemcpy,0,361,1448,1448,20,ordergraph
1116532296,1976,cudaMemset,0,362,1448,1448,20,ordergraph
1116534435,1757,cudaMemset,0,363,1448,1448,20,ordergraph
1116537093,6628,cudaMemcpy,0,364,1448,1448,20,ordergraph
1116544845,5941,cudaLaunchKernel,0,365,1448,1448,20,ordergraph
1116551345,37671,cudaDeviceSynchronize,0,366,1448,1448,20,ordergraph
1116589916,7559,cudaMemcpy,0,367,1448,1448,20,ordergraph
1116597655,7499,cudaMemcpy,0,368,1448,1448,20,ordergraph
1116606895,2159,cudaMemset,0,369,1448,1448,20,ordergraph
1116609215,2805,cudaMemset,0,370,1448,1448,20,ordergraph
1116612907,6197,cudaMemcpy,0,371,1448,1448,20,ordergraph
1116620256,4589,cudaLaunchKernel,0,372,1448,1448,20,ordergraph
1116625416,44608,cudaDeviceSynchronize,0,373,1448,1448,20,ordergraph
1116670941,7861,cudaMemcpy,0,374,1448,1448,20,ordergraph
1116678985,7583,cudaMemcpy,0,375,1448,1448,20,ordergraph
1116688831,4247,cudaMemset,0,376,1448,1448,20,ordergraph
1116693251,2662,cudaMemset,0,377,1448,1448,20,ordergraph
1116696852,6062,cudaMemcpy,0,378,1448,1448,20,ordergraph
1116704082,3822,cudaLaunchKernel,0,379,1448,1448,20,ordergraph
1116708470,48620,cudaDeviceSynchronize,0,380,1448,1448,20,ordergraph
1116757977,7952,cudaMemcpy,0,381,1448,1448,20,ordergraph
1116766122,7772,cudaMemcpy,0,382,1448,1448,20,ordergraph
1116776364,2850,cudaMemset,0,383,1448,1448,20,ordergraph
1116779390,1866,cudaMemset,0,384,1448,1448,20,ordergraph
1116782311,7216,cudaMemcpy,0,385,1448,1448,20,ordergraph
1116790812,6098,cudaLaunchKernel,0,386,1448,1448,20,ordergraph
1116797628,49435,cudaDeviceSynchronize,0,387,1448,1448,20,ordergraph
1116847969,8127,cudaMemcpy,0,388,1448,1448,20,ordergraph
1116856264,7578,cudaMemcpy,0,389,1448,1448,20,ordergraph
1116866310,2347,cudaMemset,0,390,1448,1448,20,ordergraph
1116868840,1857,cudaMemset,0,391,1448,1448,20,ordergraph
1116871611,5970,cudaMemcpy,0,392,1448,1448,20,ordergraph
1116878733,4271,cudaLaunchKernel,0,393,1448,1448,20,ordergraph
1116883567,34616,cudaDeviceSynchronize,0,394,1448,1448,20,ordergraph
1116919113,7719,cudaMemcpy,0,395,1448,1448,20,ordergraph
1116927023,7557,cudaMemcpy,0,396,1448,1448,20,ordergraph
1116936221,2112,cudaMemset,0,397,1448,1448,20,ordergraph
1116938494,1716,cudaMemset,0,398,1448,1448,20,ordergraph
1116941131,6860,cudaMemcpy,0,399,1448,1448,20,ordergraph
1116949139,5461,cudaLaunchKernel,0,400,1448,1448,20,ordergraph
1116955152,38167,cudaDeviceSynchronize,0,401,1448,1448,20,ordergraph
1116994204,33493,cudaMemcpy,0,402,1448,1448,20,ordergraph
1117028110,8690,cudaMemcpy,0,403,1448,1448,20,ordergraph
1117038667,6291,cudaMemset,0,404,1448,1448,20,ordergraph
1117045114,5138,cudaMemset,0,405,1448,1448,20,ordergraph
1117051229,6186,cudaMemcpy,0,406,1448,1448,20,ordergraph
1117058688,5099,cudaLaunchKernel,0,407,1448,1448,20,ordergraph
1117064373,84217,cudaDeviceSynchronize,0,408,1448,1448,20,ordergraph
1117149496,8200,cudaMemcpy,0,409,1448,1448,20,ordergraph
1117157890,7760,cudaMemcpy,0,410,1448,1448,20,ordergraph
1117169702,1821,cudaMemset,0,411,1448,1448,20,ordergraph
1117171687,1731,cudaMemset,0,412,1448,1448,20,ordergraph
1117174298,7508,cudaMemcpy,0,413,1448,1448,20,ordergraph
1117183082,5185,cudaLaunchKernel,0,414,1448,1448,20,ordergraph
1117188825,36573,cudaDeviceSynchronize,0,415,1448,1448,20,ordergraph
1117226333,7851,cudaMemcpy,0,416,1448,1448,20,ordergraph
1117234369,7620,cudaMemcpy,0,417,1448,1448,20,ordergraph
1117243553,1851,cudaMemset,0,418,1448,1448,20,ordergraph
1117245584,1689,cudaMemset,0,419,1448,1448,20,ordergraph
1117248166,7038,cudaMemcpy,0,420,1448,1448,20,ordergraph
1117256358,4488,cudaLaunchKernel,0,421,1448,1448,20,ordergraph
1117261413,8403,cudaDeviceSynchronize,0,422,1448,1448,20,ordergraph
1117270726,7532,cudaMemcpy,0,423,1448,1448,20,ordergraph
1117278449,7578,cudaMemcpy,0,424,1448,1448,20,ordergraph
1117287435,1833,cudaMemset,0,425,1448,1448,20,ordergraph
1117289444,1727,cudaMemset,0,426,1448,1448,20,ordergraph
1117292062,6450,cudaMemcpy,0,427,1448,1448,20,ordergraph
1117299644,5131,cudaLaunchKernel,0,428,1448,1448,20,ordergraph
1117305330,36308,cudaDeviceSynchronize,0,429,1448,1448,20,ordergraph
1117342550,7662,cudaMemcpy,0,430,1448,1448,20,ordergraph
1117350399,7442,cudaMemcpy,0,431,1448,1448,20,ordergraph
1117359468,2854,cudaMemset,0,432,1448,1448,20,ordergraph
1117362499,1734,cudaMemset,0,433,1448,1448,20,ordergraph
1117365141,6527,cudaMemcpy,0,434,1448,1448,20,ordergraph
1117372800,4308,cudaLaunchKernel,0,435,1448,1448,20,ordergraph
1117377665,46997,cudaDeviceSynchronize,0,436,1448,1448,20,ordergraph
1117425575,7746,cudaMemcpy,0,437,1448,1448,20,ordergraph
1117433503,7616,cudaMemcpy,0,438,1448,1448,20,ordergraph
1117443442,1828,cudaMemset,0,439,1448,1448,20,ordergraph
1117445434,1716,cudaMemset,0,440,1448,1448,20,ordergraph
1117448073,6448,cudaMemcpy,0,441,1448,1448,20,ordergraph
1117455666,5261,cudaLaunchKernel,0,442,1448,1448,20,ordergraph
1117461505,8779,cudaDeviceSynchronize,0,443,1448,1448,20,ordergraph
1117471189,7701,cudaMemcpy,0,444,1448,1448,20,ordergraph
1117479072,7579,cudaMemcpy,0,445,1448,1448,20,ordergraph
1117487995,1907,cudaMemset,0,446,1448,1448,20,ordergraph
1117490074,1749,cudaMemset,0,447,1448,1448,20,ordergraph
1117492753,6446,cudaMemcpy,0,448,1448,1448,20,ordergraph
1117500479,4071,cudaLaunchKernel,0,449,1448,1448,20,ordergraph
1117505137,36021,cudaDeviceSynchronize,0,450,1448,1448,20,ordergraph
1117542059,7660,cudaMemcpy,0,451,1448,1448,20,ordergraph
1117549900,7525,cudaMemcpy,0,452,1448,1448,20,ordergraph
1117600585,1860,cudaMemset,0,453,1448,1448,20,ordergraph
1117602625,1720,cudaMemset,0,454,1448,1448,20,ordergraph
1117605246,6596,cudaMemcpy,0,455,1448,1448,20,ordergraph
1117613040,5100,cudaLaunchKernel,0,456,1448,1448,20,ordergraph
1117618708,23694,cudaDeviceSynchronize,0,457,1448,1448,20,ordergraph
1117643300,7950,cudaMemcpy,0,458,1448,1448,20,ordergraph
1117651435,7485,cudaMemcpy,0,459,1448,1448,20,ordergraph
1117660297,1851,cudaMemset,0,460,1448,1448,20,ordergraph
1117662337,1713,cudaMemset,0,461,1448,1448,20,ordergraph
1117664925,6555,cudaMemcpy,0,462,1448,1448,20,ordergraph
1117672620,4593,cudaLaunchKernel,0,463,1448,1448,20,ordergraph
1117677769,36795,cudaDeviceSynchronize,0,464,1448,1448,20,ordergraph
1117715461,7600,cudaMemcpy,0,465,1448,1448,20,ordergraph
1117723257,7553,cudaMemcpy,0,466,1448,1448,20,ordergraph
1117732272,5180,cudaMemset,0,467,1448,1448,20,ordergraph
1117737633,2242,cudaMemset,0,468,1448,1448,20,ordergraph
1117740788,6662,cudaMemcpy,0,469,1448,1448,20,ordergraph
1117748607,4578,cudaLaunchKernel,0,470,1448,1448,20,ordergraph
1117753741,57092,cudaDeviceSynchronize,0,471,1448,1448,20,ordergraph
1117811715,7886,cudaMemcpy,0,472,1448,1448,20,ordergraph
1117819895,7636,cudaMemcpy,0,473,1448,1448,20,ordergraph
1117829561,5570,cudaMemset,0,474,1448,1448,20,ordergraph
1117835315,2319,cudaMemset,0,475,1448,1448,20,ordergraph
1117838592,6589,cudaMemcpy,0,476,1448,1448,20,ordergraph
