Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
194083455,4424,cuModuleGetLoadingMode,0,1,4116,4116,20,ordergraph
196397285,186485926,cudaMallocManaged,0,118,4116,4116,20,ordergraph
383849737,11976,cudaDeviceSynchronize,0,119,4116,4116,20,ordergraph
383888768,63199,cudaMallocManaged,0,120,4116,4116,20,ordergraph
424751765,25386,cudaMallocManaged,0,121,4116,4116,20,ordergraph
424990088,317720,cudaLaunchKernel,0,122,4116,4116,20,ordergraph
425308578,123125780,cudaDeviceSynchronize,0,123,4116,4116,20,ordergraph
548435300,27396,cudaFree,0,124,4116,4116,20,ordergraph
548465571,9907,cudaMallocManaged,0,125,4116,4116,20,ordergraph
548475746,9832,cudaMallocManaged,0,126,4116,4116,20,ordergraph
548485964,5353,cudaMallocManaged,0,127,4116,4116,20,ordergraph
548517789,27078,cudaMemset,0,128,4116,4116,20,ordergraph
549285678,219826,cudaLaunchKernel,0,129,4116,4116,20,ordergraph
549507959,196608,cudaDeviceSynchronize,0,130,4116,4116,20,ordergraph
550317174,234367,cudaMemset,0,131,4116,4116,20,ordergraph
551158304,63075,cudaLaunchKernel,0,132,4116,4116,20,ordergraph
551223081,187808,cudaDeviceSynchronize,0,133,4116,4116,20,ordergraph
551866303,230930,cudaMemset,0,134,4116,4116,20,ordergraph
552218227,13768,cudaLaunchKernel,0,135,4116,4116,20,ordergraph
552233099,126424,cudaDeviceSynchronize,0,136,4116,4116,20,ordergraph
554310803,224972,cudaMemset,0,137,4116,4116,20,ordergraph
555131737,62732,cudaLaunchKernel,0,138,4116,4116,20,ordergraph
555196137,151937,cudaDeviceSynchronize,0,139,4116,4116,20,ordergraph
555637292,313311,cudaMemset,0,140,4116,4116,20,ordergraph
556616015,63455,cudaLaunchKernel,0,141,4116,4116,20,ordergraph
556681165,323786,cudaDeviceSynchronize,0,142,4116,4116,20,ordergraph
557599030,225988,cudaMemset,0,143,4116,4116,20,ordergraph
558428592,64420,cudaLaunchKernel,0,144,4116,4116,20,ordergraph
558494739,210984,cudaDeviceSynchronize,0,145,4116,4116,20,ordergraph
559109270,242208,cudaMemset,0,146,4116,4116,20,ordergraph
559447479,12929,cudaLaunchKernel,0,147,4116,4116,20,ordergraph
559461440,708145,cudaDeviceSynchronize,0,148,4116,4116,20,ordergraph
560279254,64175,cudaMemset,0,149,4116,4116,20,ordergraph
560425678,10819,cudaLaunchKernel,0,150,4116,4116,20,ordergraph
560437411,51300,cudaDeviceSynchronize,0,151,4116,4116,20,ordergraph
560630602,405447,cudaMemset,0,152,4116,4116,20,ordergraph
561039366,7746,cudaLaunchKernel,0,153,4116,4116,20,ordergraph
561048058,67893,cudaDeviceSynchronize,0,154,4116,4116,20,ordergraph
561215041,51289,cudaMemset,0,155,4116,4116,20,ordergraph
561345064,10281,cudaLaunchKernel,0,156,4116,4116,20,ordergraph
561356183,71718,cudaDeviceSynchronize,0,157,4116,4116,20,ordergraph
561994704,121273,cudaMemset,0,158,4116,4116,20,ordergraph
562119217,8480,cudaLaunchKernel,0,159,4116,4116,20,ordergraph
562128753,171158,cudaDeviceSynchronize,0,160,4116,4116,20,ordergraph
562536982,81806,cudaMemset,0,161,4116,4116,20,ordergraph
562696782,9770,cudaLaunchKernel,0,162,4116,4116,20,ordergraph
562707383,60723,cudaDeviceSynchronize,0,163,4116,4116,20,ordergraph
564878943,226157,cudaMemset,0,164,4116,4116,20,ordergraph
565721132,63326,cudaLaunchKernel,0,165,4116,4116,20,ordergraph
565786049,437914,cudaDeviceSynchronize,0,166,4116,4116,20,ordergraph
566816082,252499,cudaMemset,0,167,4116,4116,20,ordergraph
567328944,20059,cudaLaunchKernel,0,168,4116,4116,20,ordergraph
567370705,746863,cudaDeviceSynchronize,0,169,4116,4116,20,ordergraph
568229324,63318,cudaMemset,0,170,4116,4116,20,ordergraph
568374504,11704,cudaLaunchKernel,0,171,4116,4116,20,ordergraph
568387136,76693,cudaDeviceSynchronize,0,172,4116,4116,20,ordergraph
568632407,384696,cudaMemset,0,173,4116,4116,20,ordergraph
569020670,8986,cudaLaunchKernel,0,174,4116,4116,20,ordergraph
569030443,104133,cudaDeviceSynchronize,0,175,4116,4116,20,ordergraph
569227325,52174,cudaMemset,0,176,4116,4116,20,ordergraph
569357850,9957,cudaLaunchKernel,0,177,4116,4116,20,ordergraph
569368629,124631,cudaDeviceSynchronize,0,178,4116,4116,20,ordergraph
570576459,212266,cudaMemset,0,179,4116,4116,20,ordergraph
570791800,8002,cudaLaunchKernel,0,180,4116,4116,20,ordergraph
570800573,76052,cudaDeviceSynchronize,0,181,4116,4116,20,ordergraph
571453712,230406,cudaMemset,0,182,4116,4116,20,ordergraph
572315340,70471,cudaLaunchKernel,0,183,4116,4116,20,ordergraph
572387534,198186,cudaDeviceSynchronize,0,184,4116,4116,20,ordergraph
573163136,222527,cudaMemset,0,185,4116,4116,20,ordergraph
573390922,14679,cudaLaunchKernel,0,186,4116,4116,20,ordergraph
573424276,92597,cudaDeviceSynchronize,0,187,4116,4116,20,ordergraph
574136857,217676,cudaMemset,0,188,4116,4116,20,ordergraph
574359781,13706,cudaLaunchKernel,0,189,4116,4116,20,ordergraph
574392064,85165,cudaDeviceSynchronize,0,190,4116,4116,20,ordergraph
574722161,91710,cudaMemset,0,191,4116,4116,20,ordergraph
574899573,11925,cudaLaunchKernel,0,192,4116,4116,20,ordergraph
574912483,126364,cudaDeviceSynchronize,0,193,4116,4116,20,ordergraph
576665606,243141,cudaMemset,0,194,4116,4116,20,ordergraph
577505797,63332,cudaLaunchKernel,0,195,4116,4116,20,ordergraph
577570741,211662,cudaDeviceSynchronize,0,196,4116,4116,20,ordergraph
578385280,226579,cudaMemset,0,197,4116,4116,20,ordergraph
579226336,63394,cudaLaunchKernel,0,198,4116,4116,20,ordergraph
579291409,239874,cudaDeviceSynchronize,0,199,4116,4116,20,ordergraph
579677688,94802,cudaMemset,0,200,4116,4116,20,ordergraph
579857579,13218,cudaLaunchKernel,0,201,4116,4116,20,ordergraph
579871799,129391,cudaDeviceSynchronize,0,202,4116,4116,20,ordergraph
580173955,381133,cudaMemset,0,203,4116,4116,20,ordergraph
580558638,10012,cudaLaunchKernel,0,204,4116,4116,20,ordergraph
580569654,104055,cudaDeviceSynchronize,0,205,4116,4116,20,ordergraph
580772054,53398,cudaMemset,0,206,4116,4116,20,ordergraph
580904050,10179,cudaLaunchKernel,0,207,4116,4116,20,ordergraph
580915200,109886,cudaDeviceSynchronize,0,208,4116,4116,20,ordergraph
582492441,219610,cudaMemset,0,209,4116,4116,20,ordergraph
582717152,13664,cudaLaunchKernel,0,210,4116,4116,20,ordergraph
582749755,108940,cudaDeviceSynchronize,0,211,4116,4116,20,ordergraph
583465114,275343,cudaMemset,0,212,4116,4116,20,ordergraph
584397337,64432,cudaLaunchKernel,0,213,4116,4116,20,ordergraph
584463523,185394,cudaDeviceSynchronize,0,214,4116,4116,20,ordergraph
585124025,220719,cudaMemset,0,215,4116,4116,20,ordergraph
585349835,13972,cudaLaunchKernel,0,216,4116,4116,20,ordergraph
585382843,65566,cudaDeviceSynchronize,0,217,4116,4116,20,ordergraph
585678546,84884,cudaMemset,0,218,4116,4116,20,ordergraph
585766982,8957,cudaLaunchKernel,0,219,4116,4116,20,ordergraph
585776883,100330,cudaDeviceSynchronize,0,220,4116,4116,20,ordergraph
587529867,162269,cudaMemset,0,221,4116,4116,20,ordergraph
587962480,19676,cudaLaunchKernel,0,222,4116,4116,20,ordergraph
588003397,237398,cudaDeviceSynchronize,0,223,4116,4116,20,ordergraph
588417782,565829,cudaMemset,0,224,4116,4116,20,ordergraph
588987162,9554,cudaLaunchKernel,0,225,4116,4116,20,ordergraph
588997647,71851,cudaDeviceSynchronize,0,226,4116,4116,20,ordergraph
589178377,54200,cudaMemset,0,227,4116,4116,20,ordergraph
589311072,10783,cudaLaunchKernel,0,228,4116,4116,20,ordergraph
589322717,73597,cudaDeviceSynchronize,0,229,4116,4116,20,ordergraph
590879750,38025,cudaMemset,0,230,4116,4116,20,ordergraph
590921934,12371,cudaLaunchKernel,0,231,4116,4116,20,ordergraph
590935399,243527,cudaDeviceSynchronize,0,232,4116,4116,20,ordergraph
591652279,76235,cudaMemset,0,233,4116,4116,20,ordergraph
591732803,13518,cudaLaunchKernel,0,234,4116,4116,20,ordergraph
591747535,200167,cudaDeviceSynchronize,0,235,4116,4116,20,ordergraph
592621191,39373,cudaMemset,0,236,4116,4116,20,ordergraph
592664803,11823,cudaLaunchKernel,0,237,4116,4116,20,ordergraph
592677708,226113,cudaDeviceSynchronize,0,238,4116,4116,20,ordergraph
593369714,38490,cudaMemset,0,239,4116,4116,20,ordergraph
593411979,12930,cudaLaunchKernel,0,240,4116,4116,20,ordergraph
593456913,181292,cudaDeviceSynchronize,0,241,4116,4116,20,ordergraph
594112685,38707,cudaMemset,0,242,4116,4116,20,ordergraph
594155255,13294,cudaLaunchKernel,0,243,4116,4116,20,ordergraph
594169642,265039,cudaDeviceSynchronize,0,244,4116,4116,20,ordergraph
594647397,20213,cudaMemset,0,245,4116,4116,20,ordergraph
594670193,8428,cudaLaunchKernel,0,246,4116,4116,20,ordergraph
594679557,119779,cudaDeviceSynchronize,0,247,4116,4116,20,ordergraph
595033059,21264,cudaMemset,0,248,4116,4116,20,ordergraph
595056702,6189,cudaLaunchKernel,0,249,4116,4116,20,ordergraph
595063728,119868,cudaDeviceSynchronize,0,250,4116,4116,20,ordergraph
596439696,38839,cudaMemset,0,251,4116,4116,20,ordergraph
596482721,11939,cudaLaunchKernel,0,252,4116,4116,20,ordergraph
596527977,155315,cudaDeviceSynchronize,0,253,4116,4116,20,ordergraph
597289052,38188,cudaMemset,0,254,4116,4116,20,ordergraph
597331310,13183,cudaLaunchKernel,0,255,4116,4116,20,ordergraph
597377677,222471,cudaDeviceSynchronize,0,256,4116,4116,20,ordergraph
597992814,27066,cudaMemset,0,257,4116,4116,20,ordergraph
598022547,10612,cudaLaunchKernel,0,258,4116,4116,20,ordergraph
598034276,261396,cudaDeviceSynchronize,0,259,4116,4116,20,ordergraph
598546544,16541,cudaMemset,0,260,4116,4116,20,ordergraph
598565540,7120,cudaLaunchKernel,0,261,4116,4116,20,ordergraph
598573386,598476,cudaDeviceSynchronize,0,262,4116,4116,20,ordergraph
599316307,16549,cudaMemset,0,263,4116,4116,20,ordergraph
599335328,6317,cudaLaunchKernel,0,264,4116,4116,20,ordergraph
599342314,91185,cudaDeviceSynchronize,0,265,4116,4116,20,ordergraph
599509014,15297,cudaMemset,0,266,4116,4116,20,ordergraph
599526516,6457,cudaLaunchKernel,0,267,4116,4116,20,ordergraph
599533687,71153,cudaDeviceSynchronize,0,268,4116,4116,20,ordergraph
599699078,15938,cudaMemset,0,269,4116,4116,20,ordergraph
599717555,7348,cudaLaunchKernel,0,270,4116,4116,20,ordergraph
599725746,38195,cudaDeviceSynchronize,0,271,4116,4116,20,ordergraph
599765761,10861,cudaMemset,0,272,4116,4116,20,ordergraph
599778067,5138,cudaLaunchKernel,0,273,4116,4116,20,ordergraph
599783851,10009,cudaDeviceSynchronize,0,274,4116,4116,20,ordergraph
599795512,11630,cudaMemset,0,275,4116,4116,20,ordergraph
599808454,5219,cudaLaunchKernel,0,276,4116,4116,20,ordergraph
599814451,64560,cudaDeviceSynchronize,0,277,4116,4116,20,ordergraph
599882084,10742,cudaMemset,0,278,4116,4116,20,ordergraph
599894133,5112,cudaLaunchKernel,0,279,4116,4116,20,ordergraph
599899868,58604,cudaDeviceSynchronize,0,280,4116,4116,20,ordergraph
599961077,12336,cudaMemset,0,281,4116,4116,20,ordergraph
