Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
296714820,4932,cuModuleGetLoadingMode,0,1,6345,6345,20,fdtd2d.exe
307422450,1173257404,cudaMallocHost,0,118,6345,6345,20,fdtd2d.exe
1480681550,3922924,cudaMallocHost,0,119,6345,6345,20,fdtd2d.exe
1484606877,3954777,cudaMallocHost,0,120,6345,6345,20,fdtd2d.exe
1488564055,3918304,cudaMallocHost,0,121,6345,6345,20,fdtd2d.exe
1492484741,3855724,cudaMallocHost,0,122,6345,6345,20,fdtd2d.exe
1509716798,5746742,cudaGetDeviceProperties_v2_v12000,0,123,6345,6345,20,fdtd2d.exe
1515501450,171361,cudaMalloc,0,125,6345,6345,20,fdtd2d.exe
1515673213,87885,cudaMalloc,0,126,6345,6345,20,fdtd2d.exe
1515761450,80604,cudaMalloc,0,127,6345,6345,20,fdtd2d.exe
1515842459,110763,cudaMalloc,0,128,6345,6345,20,fdtd2d.exe
1515964203,123089,cudaMemcpy,0,129,6345,6345,20,fdtd2d.exe
1516087885,6095152,cudaMemcpy,0,130,6345,6345,20,fdtd2d.exe
1522185054,6095236,cudaMemcpy,0,131,6345,6345,20,fdtd2d.exe
1528282504,6056814,cudaMemcpy,0,132,6345,6345,20,fdtd2d.exe
1534345257,2135386,cudaLaunchKernel,0,133,6345,6345,20,fdtd2d.exe
1536482311,24569,cudaDeviceSynchronize,0,134,6345,6345,20,fdtd2d.exe
1536508490,62341,cudaLaunchKernel,0,135,6345,6345,20,fdtd2d.exe
1536571429,41098,cudaDeviceSynchronize,0,136,6345,6345,20,fdtd2d.exe
1536613700,55830,cudaLaunchKernel,0,137,6345,6345,20,fdtd2d.exe
1536669888,40985,cudaDeviceSynchronize,0,138,6345,6345,20,fdtd2d.exe
1536711491,14065,cudaLaunchKernel,0,139,6345,6345,20,fdtd2d.exe
1536725852,33409,cudaDeviceSynchronize,0,140,6345,6345,20,fdtd2d.exe
1536759666,11338,cudaLaunchKernel,0,141,6345,6345,20,fdtd2d.exe
1536771216,42896,cudaDeviceSynchronize,0,142,6345,6345,20,fdtd2d.exe
1536814500,13485,cudaLaunchKernel,0,143,6345,6345,20,fdtd2d.exe
1536828241,42402,cudaDeviceSynchronize,0,144,6345,6345,20,fdtd2d.exe
1536871073,11715,cudaLaunchKernel,0,145,6345,6345,20,fdtd2d.exe
1536883114,32830,cudaDeviceSynchronize,0,146,6345,6345,20,fdtd2d.exe
1536916315,11000,cudaLaunchKernel,0,147,6345,6345,20,fdtd2d.exe
1536927543,42314,cudaDeviceSynchronize,0,148,6345,6345,20,fdtd2d.exe
1536970218,12477,cudaLaunchKernel,0,149,6345,6345,20,fdtd2d.exe
1536982908,44326,cudaDeviceSynchronize,0,150,6345,6345,20,fdtd2d.exe
1537027629,11110,cudaLaunchKernel,0,151,6345,6345,20,fdtd2d.exe
1537038977,33656,cudaDeviceSynchronize,0,152,6345,6345,20,fdtd2d.exe
1537072993,11470,cudaLaunchKernel,0,153,6345,6345,20,fdtd2d.exe
1537084685,41917,cudaDeviceSynchronize,0,154,6345,6345,20,fdtd2d.exe
1537126961,11282,cudaLaunchKernel,0,155,6345,6345,20,fdtd2d.exe
1537138470,43420,cudaDeviceSynchronize,0,156,6345,6345,20,fdtd2d.exe
1537182249,11066,cudaLaunchKernel,0,157,6345,6345,20,fdtd2d.exe
1537193560,33788,cudaDeviceSynchronize,0,158,6345,6345,20,fdtd2d.exe
1537227705,11965,cudaLaunchKernel,0,159,6345,6345,20,fdtd2d.exe
1537239898,42288,cudaDeviceSynchronize,0,160,6345,6345,20,fdtd2d.exe
1537282550,10901,cudaLaunchKernel,0,161,6345,6345,20,fdtd2d.exe
