Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
283113854,5668,cuModuleGetLoadingMode,0,1,8893,8893,20,fdtd2d.exe
293943673,1153753944,cudaMallocManaged,0,118,8893,8893,20,fdtd2d.exe
1447699180,34462,cudaMallocManaged,0,119,8893,8893,20,fdtd2d.exe
1447733973,40898,cudaMallocManaged,0,120,8893,8893,20,fdtd2d.exe
1447775274,38213,cudaMallocManaged,0,121,8893,8893,20,fdtd2d.exe
1524847976,7982186,cudaGetDeviceProperties_v2_v12000,0,122,8893,8893,20,fdtd2d.exe
1532880174,400510,cudaLaunchKernel,0,124,8893,8893,20,fdtd2d.exe
1533281622,3423383002,cudaDeviceSynchronize,0,125,8893,8893,20,fdtd2d.exe
4956668749,110999,cudaLaunchKernel,0,126,8893,8893,20,fdtd2d.exe
4956780493,1179738747,cudaDeviceSynchronize,0,127,8893,8893,20,fdtd2d.exe
6136521193,77075,cudaLaunchKernel,0,128,8893,8893,20,fdtd2d.exe
6136598906,3548289,cudaDeviceSynchronize,0,129,8893,8893,20,fdtd2d.exe
6140149541,16469,cudaLaunchKernel,0,130,8893,8893,20,fdtd2d.exe
6140166397,34568,cudaDeviceSynchronize,0,131,8893,8893,20,fdtd2d.exe
6140201431,13092,cudaLaunchKernel,0,132,8893,8893,20,fdtd2d.exe
6140214853,53226,cudaDeviceSynchronize,0,133,8893,8893,20,fdtd2d.exe
6140268791,17069,cudaLaunchKernel,0,134,8893,8893,20,fdtd2d.exe
6140286211,42300,cudaDeviceSynchronize,0,135,8893,8893,20,fdtd2d.exe
6140328903,10941,cudaLaunchKernel,0,136,8893,8893,20,fdtd2d.exe
6140340137,42596,cudaDeviceSynchronize,0,137,8893,8893,20,fdtd2d.exe
6140383101,11633,cudaLaunchKernel,0,138,8893,8893,20,fdtd2d.exe
6140394986,43111,cudaDeviceSynchronize,0,139,8893,8893,20,fdtd2d.exe
6140438420,12086,cudaLaunchKernel,0,140,8893,8893,20,fdtd2d.exe
6140450761,44820,cudaDeviceSynchronize,0,141,8893,8893,20,fdtd2d.exe
6140495930,11260,cudaLaunchKernel,0,142,8893,8893,20,fdtd2d.exe
6140507436,34983,cudaDeviceSynchronize,0,143,8893,8893,20,fdtd2d.exe
6140542735,11394,cudaLaunchKernel,0,144,8893,8893,20,fdtd2d.exe
6140554383,42364,cudaDeviceSynchronize,0,145,8893,8893,20,fdtd2d.exe
6140597095,11253,cudaLaunchKernel,0,146,8893,8893,20,fdtd2d.exe
6140608596,43632,cudaDeviceSynchronize,0,147,8893,8893,20,fdtd2d.exe
6140652610,11338,cudaLaunchKernel,0,148,8893,8893,20,fdtd2d.exe
6140664216,34681,cudaDeviceSynchronize,0,149,8893,8893,20,fdtd2d.exe
6140699294,13191,cudaLaunchKernel,0,150,8893,8893,20,fdtd2d.exe
6140712733,43826,cudaDeviceSynchronize,0,151,8893,8893,20,fdtd2d.exe
6140756898,12570,cudaLaunchKernel,0,152,8893,8893,20,fdtd2d.exe
6140769718,41921,cudaDeviceSynchronize,0,153,8893,8893,20,fdtd2d.exe
6140812038,12596,cudaLaunchKernel,0,154,8893,8893,20,fdtd2d.exe
6140824901,33625,cudaDeviceSynchronize,0,155,8893,8893,20,fdtd2d.exe
6140858863,14960,cudaLaunchKernel,0,156,8893,8893,20,fdtd2d.exe
6140874106,42189,cudaDeviceSynchronize,0,157,8893,8893,20,fdtd2d.exe
6140916629,12372,cudaLaunchKernel,0,158,8893,8893,20,fdtd2d.exe
6140929252,42017,cudaDeviceSynchronize,0,159,8893,8893,20,fdtd2d.exe
6140971647,11918,cudaLaunchKernel,0,160,8893,8893,20,fdtd2d.exe
