Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
200793915,3806,cuModuleGetLoadingMode,0,1,3082,3082,20,fdtd2d.exe
203468126,164760548,cudaMallocHost,0,118,3082,3082,20,fdtd2d.exe
368230390,6632343,cudaMallocHost,0,119,3082,3082,20,fdtd2d.exe
374863732,6603510,cudaMallocHost,0,120,3082,3082,20,fdtd2d.exe
381468566,6627168,cudaMallocHost,0,121,3082,3082,20,fdtd2d.exe
388096718,6514859,cudaMallocHost,0,122,3082,3082,20,fdtd2d.exe
401366999,1460750,cudaGetDeviceProperties_v2_v12000,0,123,3082,3082,20,fdtd2d.exe
402851235,103859,cudaMalloc,0,125,3082,3082,20,fdtd2d.exe
402955565,91492,cudaMalloc,0,126,3082,3082,20,fdtd2d.exe
403047527,68567,cudaMalloc,0,127,3082,3082,20,fdtd2d.exe
403116465,58932,cudaMalloc,0,128,3082,3082,20,fdtd2d.exe
403181043,37871,cudaMemcpy,0,129,3082,3082,20,fdtd2d.exe
403219207,445533,cudaMemcpy,0,130,3082,3082,20,fdtd2d.exe
403665173,406175,cudaMemcpy,0,131,3082,3082,20,fdtd2d.exe
404071715,404272,cudaMemcpy,0,132,3082,3082,20,fdtd2d.exe
404478463,2722430,cudaLaunchKernel,0,133,3082,3082,20,fdtd2d.exe
407202347,13624,cudaDeviceSynchronize,0,134,3082,3082,20,fdtd2d.exe
407217269,21299,cudaLaunchKernel,0,135,3082,3082,20,fdtd2d.exe
407239021,23363,cudaDeviceSynchronize,0,136,3082,3082,20,fdtd2d.exe
407263020,15632,cudaLaunchKernel,0,137,3082,3082,20,fdtd2d.exe
407279008,25675,cudaDeviceSynchronize,0,138,3082,3082,20,fdtd2d.exe
407305193,5324,cudaLaunchKernel,0,139,3082,3082,20,fdtd2d.exe
407310716,20507,cudaDeviceSynchronize,0,140,3082,3082,20,fdtd2d.exe
407331621,4303,cudaLaunchKernel,0,141,3082,3082,20,fdtd2d.exe
407336113,24271,cudaDeviceSynchronize,0,142,3082,3082,20,fdtd2d.exe
407360680,5532,cudaLaunchKernel,0,143,3082,3082,20,fdtd2d.exe
407366393,26482,cudaDeviceSynchronize,0,144,3082,3082,20,fdtd2d.exe
407393290,5026,cudaLaunchKernel,0,145,3082,3082,20,fdtd2d.exe
407398603,20437,cudaDeviceSynchronize,0,146,3082,3082,20,fdtd2d.exe
407419356,6125,cudaLaunchKernel,0,147,3082,3082,20,fdtd2d.exe
407425666,24079,cudaDeviceSynchronize,0,148,3082,3082,20,fdtd2d.exe
407450064,5359,cudaLaunchKernel,0,149,3082,3082,20,fdtd2d.exe
407455608,26146,cudaDeviceSynchronize,0,150,3082,3082,20,fdtd2d.exe
407482201,5137,cudaLaunchKernel,0,151,3082,3082,20,fdtd2d.exe
407487524,21300,cudaDeviceSynchronize,0,152,3082,3082,20,fdtd2d.exe
407509155,7573,cudaLaunchKernel,0,153,3082,3082,20,fdtd2d.exe
407516942,23810,cudaDeviceSynchronize,0,154,3082,3082,20,fdtd2d.exe
407541127,4963,cudaLaunchKernel,0,155,3082,3082,20,fdtd2d.exe
407546279,25934,cudaDeviceSynchronize,0,156,3082,3082,20,fdtd2d.exe
407572627,5461,cudaLaunchKernel,0,157,3082,3082,20,fdtd2d.exe
407578280,21181,cudaDeviceSynchronize,0,158,3082,3082,20,fdtd2d.exe
407599791,4538,cudaLaunchKernel,0,159,3082,3082,20,fdtd2d.exe
407604533,24669,cudaDeviceSynchronize,0,160,3082,3082,20,fdtd2d.exe
407629515,3982,cudaLaunchKernel,0,161,3082,3082,20,fdtd2d.exe
407633683,26257,cudaDeviceSynchronize,0,162,3082,3082,20,fdtd2d.exe
407660332,5267,cudaLaunchKernel,0,163,3082,3082,20,fdtd2d.exe
407665786,20922,cudaDeviceSynchronize,0,164,3082,3082,20,fdtd2d.exe
407687040,4908,cudaLaunchKernel,0,165,3082,3082,20,fdtd2d.exe
407692143,24176,cudaDeviceSynchronize,0,166,3082,3082,20,fdtd2d.exe
407716632,5979,cudaLaunchKernel,0,167,3082,3082,20,fdtd2d.exe
407722883,25348,cudaDeviceSynchronize,0,168,3082,3082,20,fdtd2d.exe
407748617,5931,cudaLaunchKernel,0,169,3082,3082,20,fdtd2d.exe
407754863,49641,cudaDeviceSynchronize,0,170,3082,3082,20,fdtd2d.exe
407805061,7547,cudaLaunchKernel,0,171,3082,3082,20,fdtd2d.exe
407812939,23200,cudaDeviceSynchronize,0,172,3082,3082,20,fdtd2d.exe
407836465,6305,cudaLaunchKernel,0,173,3082,3082,20,fdtd2d.exe
407842987,25600,cudaDeviceSynchronize,0,174,3082,3082,20,fdtd2d.exe
407869017,4419,cudaLaunchKernel,0,175,3082,3082,20,fdtd2d.exe
