Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
206953811,3928,cuModuleGetLoadingMode,0,1,5756,5756,20,fdtd2d.exe
209648890,185312209,cudaMallocManaged,0,118,5756,5756,20,fdtd2d.exe
394963425,73691,cudaMallocManaged,0,119,5756,5756,20,fdtd2d.exe
395037589,40602,cudaMallocManaged,0,120,5756,5756,20,fdtd2d.exe
395078499,41603,cudaMallocManaged,0,121,5756,5756,20,fdtd2d.exe
489704026,1480211,cudaGetDeviceProperties_v2_v12000,0,122,5756,5756,20,fdtd2d.exe
491216356,310064,cudaLaunchKernel,0,124,5756,5756,20,fdtd2d.exe
491527242,9029493,cudaDeviceSynchronize,0,125,5756,5756,20,fdtd2d.exe
500558300,51887,cudaLaunchKernel,0,126,5756,5756,20,fdtd2d.exe
500610675,4559605,cudaDeviceSynchronize,0,127,5756,5756,20,fdtd2d.exe
505171412,24885,cudaLaunchKernel,0,128,5756,5756,20,fdtd2d.exe
505196765,377934,cudaDeviceSynchronize,0,129,5756,5756,20,fdtd2d.exe
505575547,8570,cudaLaunchKernel,0,130,5756,5756,20,fdtd2d.exe
505584418,21481,cudaDeviceSynchronize,0,131,5756,5756,20,fdtd2d.exe
505606274,5947,cudaLaunchKernel,0,132,5756,5756,20,fdtd2d.exe
505612453,25019,cudaDeviceSynchronize,0,133,5756,5756,20,fdtd2d.exe
505637856,5700,cudaLaunchKernel,0,134,5756,5756,20,fdtd2d.exe
505643746,26065,cudaDeviceSynchronize,0,135,5756,5756,20,fdtd2d.exe
505670230,5312,cudaLaunchKernel,0,136,5756,5756,20,fdtd2d.exe
505675730,21370,cudaDeviceSynchronize,0,137,5756,5756,20,fdtd2d.exe
505697417,5120,cudaLaunchKernel,0,138,5756,5756,20,fdtd2d.exe
505702728,24099,cudaDeviceSynchronize,0,139,5756,5756,20,fdtd2d.exe
505727154,5785,cudaLaunchKernel,0,140,5756,5756,20,fdtd2d.exe
