Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
278711487,3982,cuModuleGetLoadingMode,0,1,7025,7025,20,gramschmidt.exe
289530649,1178895676,cudaMallocHost,0,118,7025,7025,20,gramschmidt.exe
1468429524,3935979,cudaMallocHost,0,119,7025,7025,20,gramschmidt.exe
1472368098,3867467,cudaMallocHost,0,120,7025,7025,20,gramschmidt.exe
1476237792,3870771,cudaMallocHost,0,121,7025,7025,20,gramschmidt.exe
1484276619,8000568,cudaGetDeviceProperties_v2_v12000,0,122,7025,7025,20,gramschmidt.exe
1492313222,150349,cudaMalloc,0,124,7025,7025,20,gramschmidt.exe
1492463989,88998,cudaMalloc,0,125,7025,7025,20,gramschmidt.exe
1492553292,140303,cudaMalloc,0,126,7025,7025,20,gramschmidt.exe
1492704033,6256287,cudaMemcpy,0,127,7025,7025,20,gramschmidt.exe
1498964726,14751643,cudaLaunchKernel,0,128,7025,7025,20,gramschmidt.exe
1513717412,44403,cudaDeviceSynchronize,0,129,7025,7025,20,gramschmidt.exe
1513763405,61960,cudaLaunchKernel,0,130,7025,7025,20,gramschmidt.exe
1513825848,24151,cudaDeviceSynchronize,0,131,7025,7025,20,gramschmidt.exe
1513850717,62620,cudaLaunchKernel,0,132,7025,7025,20,gramschmidt.exe
1513913621,1179416,cudaDeviceSynchronize,0,133,7025,7025,20,gramschmidt.exe
1515093437,11305,cudaLaunchKernel,0,134,7025,7025,20,gramschmidt.exe
1515104997,40728,cudaDeviceSynchronize,0,135,7025,7025,20,gramschmidt.exe
1515146311,12851,cudaLaunchKernel,0,136,7025,7025,20,gramschmidt.exe
1515159485,23481,cudaDeviceSynchronize,0,137,7025,7025,20,gramschmidt.exe
1515183286,12394,cudaLaunchKernel,0,138,7025,7025,20,gramschmidt.exe
1515195936,754880,cudaDeviceSynchronize,0,139,7025,7025,20,gramschmidt.exe
1515951493,13592,cudaLaunchKernel,0,140,7025,7025,20,gramschmidt.exe
1515965355,40194,cudaDeviceSynchronize,0,141,7025,7025,20,gramschmidt.exe
1516005940,10429,cudaLaunchKernel,0,142,7025,7025,20,gramschmidt.exe
1516016613,23764,cudaDeviceSynchronize,0,143,7025,7025,20,gramschmidt.exe
1516040751,10934,cudaLaunchKernel,0,144,7025,7025,20,gramschmidt.exe
1516051892,754117,cudaDeviceSynchronize,0,145,7025,7025,20,gramschmidt.exe
1516806325,10015,cudaLaunchKernel,0,146,7025,7025,20,gramschmidt.exe
1516816550,40596,cudaDeviceSynchronize,0,147,7025,7025,20,gramschmidt.exe
1516857499,10124,cudaLaunchKernel,0,148,7025,7025,20,gramschmidt.exe
1516867847,24208,cudaDeviceSynchronize,0,149,7025,7025,20,gramschmidt.exe
1516892378,10296,cudaLaunchKernel,0,150,7025,7025,20,gramschmidt.exe
1516902887,754867,cudaDeviceSynchronize,0,151,7025,7025,20,gramschmidt.exe
1517658373,12678,cudaLaunchKernel,0,152,7025,7025,20,gramschmidt.exe
1517671311,40977,cudaDeviceSynchronize,0,153,7025,7025,20,gramschmidt.exe
1517712640,10480,cudaLaunchKernel,0,154,7025,7025,20,gramschmidt.exe
1517723363,24719,cudaDeviceSynchronize,0,155,7025,7025,20,gramschmidt.exe
1517748420,9757,cudaLaunchKernel,0,156,7025,7025,20,gramschmidt.exe
1517758385,753728,cudaDeviceSynchronize,0,157,7025,7025,20,gramschmidt.exe
1518512437,10677,cudaLaunchKernel,0,158,7025,7025,20,gramschmidt.exe
1518523322,40913,cudaDeviceSynchronize,0,159,7025,7025,20,gramschmidt.exe
1518564592,16954,cudaLaunchKernel,0,160,7025,7025,20,gramschmidt.exe
1518581808,24432,cudaDeviceSynchronize,0,161,7025,7025,20,gramschmidt.exe
1518606586,10084,cudaLaunchKernel,0,162,7025,7025,20,gramschmidt.exe
1518616893,748330,cudaDeviceSynchronize,0,163,7025,7025,20,gramschmidt.exe
1519365817,12696,cudaLaunchKernel,0,164,7025,7025,20,gramschmidt.exe
1519378786,40629,cudaDeviceSynchronize,0,165,7025,7025,20,gramschmidt.exe
1519419764,9958,cudaLaunchKernel,0,166,7025,7025,20,gramschmidt.exe
1519429974,24278,cudaDeviceSynchronize,0,167,7025,7025,20,gramschmidt.exe
1519454571,9783,cudaLaunchKernel,0,168,7025,7025,20,gramschmidt.exe
1519464564,754215,cudaDeviceSynchronize,0,169,7025,7025,20,gramschmidt.exe
1520219366,12597,cudaLaunchKernel,0,170,7025,7025,20,gramschmidt.exe
1520232250,40168,cudaDeviceSynchronize,0,171,7025,7025,20,gramschmidt.exe
1520272758,10667,cudaLaunchKernel,0,172,7025,7025,20,gramschmidt.exe
1520283683,24581,cudaDeviceSynchronize,0,173,7025,7025,20,gramschmidt.exe
1520308586,10697,cudaLaunchKernel,0,174,7025,7025,20,gramschmidt.exe
1520319508,753594,cudaDeviceSynchronize,0,175,7025,7025,20,gramschmidt.exe
1521073428,9854,cudaLaunchKernel,0,176,7025,7025,20,gramschmidt.exe
1521083510,41014,cudaDeviceSynchronize,0,177,7025,7025,20,gramschmidt.exe
1521124863,10465,cudaLaunchKernel,0,178,7025,7025,20,gramschmidt.exe
1521135556,24748,cudaDeviceSynchronize,0,179,7025,7025,20,gramschmidt.exe
1521160633,10122,cudaLaunchKernel,0,180,7025,7025,20,gramschmidt.exe
1521170980,753826,cudaDeviceSynchronize,0,181,7025,7025,20,gramschmidt.exe
1521925386,14689,cudaLaunchKernel,0,182,7025,7025,20,gramschmidt.exe
1521940350,40347,cudaDeviceSynchronize,0,183,7025,7025,20,gramschmidt.exe
1521981061,10439,cudaLaunchKernel,0,184,7025,7025,20,gramschmidt.exe
1521991743,24528,cudaDeviceSynchronize,0,185,7025,7025,20,gramschmidt.exe
1522016617,9742,cudaLaunchKernel,0,186,7025,7025,20,gramschmidt.exe
1522026573,745444,cudaDeviceSynchronize,0,187,7025,7025,20,gramschmidt.exe
