Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
276267530,3965,cuModuleGetLoadingMode,0,1,9606,9606,20,gramschmidt.exe
286790088,1158868423,cudaMallocManaged,0,118,9606,9606,20,gramschmidt.exe
1445660247,52087,cudaMallocManaged,0,119,9606,9606,20,gramschmidt.exe
1445712744,14692,cudaMallocManaged,0,120,9606,9606,20,gramschmidt.exe
1470945215,5774225,cudaGetDeviceProperties_v2_v12000,0,121,9606,9606,20,gramschmidt.exe
1476783693,419082,cudaLaunchKernel,0,123,9606,9606,20,gramschmidt.exe
1477203532,53930208,cudaDeviceSynchronize,0,124,9606,9606,20,gramschmidt.exe
1531135955,70014,cudaLaunchKernel,0,125,9606,9606,20,gramschmidt.exe
1531206354,59598529,cudaDeviceSynchronize,0,126,9606,9606,20,gramschmidt.exe
1590806033,62844,cudaLaunchKernel,0,127,9606,9606,20,gramschmidt.exe
1590869233,1179008,cudaDeviceSynchronize,0,128,9606,9606,20,gramschmidt.exe
1592048741,11725,cudaLaunchKernel,0,129,9606,9606,20,gramschmidt.exe
1592060728,40578,cudaDeviceSynchronize,0,130,9606,9606,20,gramschmidt.exe
1592101642,11089,cudaLaunchKernel,0,131,9606,9606,20,gramschmidt.exe
1592112962,25228,cudaDeviceSynchronize,0,132,9606,9606,20,gramschmidt.exe
1592138553,13444,cudaLaunchKernel,0,133,9606,9606,20,gramschmidt.exe
1592152206,754593,cudaDeviceSynchronize,0,134,9606,9606,20,gramschmidt.exe
1592907390,14048,cudaLaunchKernel,0,135,9606,9606,20,gramschmidt.exe
1592921706,40745,cudaDeviceSynchronize,0,136,9606,9606,20,gramschmidt.exe
1592962752,10418,cudaLaunchKernel,0,137,9606,9606,20,gramschmidt.exe
1592973548,24707,cudaDeviceSynchronize,0,138,9606,9606,20,gramschmidt.exe
1592998557,11426,cudaLaunchKernel,0,139,9606,9606,20,gramschmidt.exe
1593010327,753447,cudaDeviceSynchronize,0,140,9606,9606,20,gramschmidt.exe
