Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
207246156,4080,cuModuleGetLoadingMode,0,1,3792,3792,20,gramschmidt.exe
209992813,178142077,cudaMallocHost,0,118,3792,3792,20,gramschmidt.exe
388136892,6606111,cudaMallocHost,0,119,3792,3792,20,gramschmidt.exe
394744592,6666312,cudaMallocHost,0,120,3792,3792,20,gramschmidt.exe
401412171,6592500,cudaMallocHost,0,121,3792,3792,20,gramschmidt.exe
410068390,1443352,cudaGetDeviceProperties_v2_v12000,0,122,3792,3792,20,gramschmidt.exe
411536774,95126,cudaMalloc,0,124,3792,3792,20,gramschmidt.exe
411632234,113719,cudaMalloc,0,125,3792,3792,20,gramschmidt.exe
411746408,48379,cudaMalloc,0,126,3792,3792,20,gramschmidt.exe
411802165,445341,cudaMemcpy,0,127,3792,3792,20,gramschmidt.exe
412249750,18620993,cudaLaunchKernel,0,128,3792,3792,20,gramschmidt.exe
430872103,31439,cudaDeviceSynchronize,0,129,3792,3792,20,gramschmidt.exe
430905121,21580,cudaLaunchKernel,0,130,3792,3792,20,gramschmidt.exe
430926988,5425,cudaDeviceSynchronize,0,131,3792,3792,20,gramschmidt.exe
430933087,27098,cudaLaunchKernel,0,132,3792,3792,20,gramschmidt.exe
430960541,1160885,cudaDeviceSynchronize,0,133,3792,3792,20,gramschmidt.exe
432122103,8562,cudaLaunchKernel,0,134,3792,3792,20,gramschmidt.exe
432130960,26025,cudaDeviceSynchronize,0,135,3792,3792,20,gramschmidt.exe
432157321,4924,cudaLaunchKernel,0,136,3792,3792,20,gramschmidt.exe
432162531,5199,cudaDeviceSynchronize,0,137,3792,3792,20,gramschmidt.exe
432168020,4552,cudaLaunchKernel,0,138,3792,3792,20,gramschmidt.exe
432172741,743794,cudaDeviceSynchronize,0,139,3792,3792,20,gramschmidt.exe
432917104,6889,cudaLaunchKernel,0,140,3792,3792,20,gramschmidt.exe
432924137,26677,cudaDeviceSynchronize,0,141,3792,3792,20,gramschmidt.exe
432951163,5203,cudaLaunchKernel,0,142,3792,3792,20,gramschmidt.exe
432956507,5854,cudaDeviceSynchronize,0,143,3792,3792,20,gramschmidt.exe
432962709,6268,cudaLaunchKernel,0,144,3792,3792,20,gramschmidt.exe
432969122,744022,cudaDeviceSynchronize,0,145,3792,3792,20,gramschmidt.exe
433713684,7310,cudaLaunchKernel,0,146,3792,3792,20,gramschmidt.exe
433721135,26145,cudaDeviceSynchronize,0,147,3792,3792,20,gramschmidt.exe
433747568,5265,cudaLaunchKernel,0,148,3792,3792,20,gramschmidt.exe
433752976,5917,cudaDeviceSynchronize,0,149,3792,3792,20,gramschmidt.exe
433759117,6058,cudaLaunchKernel,0,150,3792,3792,20,gramschmidt.exe
433765315,744380,cudaDeviceSynchronize,0,151,3792,3792,20,gramschmidt.exe
434510244,6611,cudaLaunchKernel,0,152,3792,3792,20,gramschmidt.exe
434517001,26101,cudaDeviceSynchronize,0,153,3792,3792,20,gramschmidt.exe
434543397,5083,cudaLaunchKernel,0,154,3792,3792,20,gramschmidt.exe
434548631,5810,cudaDeviceSynchronize,0,155,3792,3792,20,gramschmidt.exe
434554670,5644,cudaLaunchKernel,0,156,3792,3792,20,gramschmidt.exe
434560459,745159,cudaDeviceSynchronize,0,157,3792,3792,20,gramschmidt.exe
435306159,6505,cudaLaunchKernel,0,158,3792,3792,20,gramschmidt.exe
435312813,26308,cudaDeviceSynchronize,0,159,3792,3792,20,gramschmidt.exe
435339411,5398,cudaLaunchKernel,0,160,3792,3792,20,gramschmidt.exe
435344948,5573,cudaDeviceSynchronize,0,161,3792,3792,20,gramschmidt.exe
435350757,4991,cudaLaunchKernel,0,162,3792,3792,20,gramschmidt.exe
435355891,743256,cudaDeviceSynchronize,0,163,3792,3792,20,gramschmidt.exe
436099610,5885,cudaLaunchKernel,0,164,3792,3792,20,gramschmidt.exe
436105641,26499,cudaDeviceSynchronize,0,165,3792,3792,20,gramschmidt.exe
436132412,5364,cudaLaunchKernel,0,166,3792,3792,20,gramschmidt.exe
436138063,5284,cudaDeviceSynchronize,0,167,3792,3792,20,gramschmidt.exe
436143659,4435,cudaLaunchKernel,0,168,3792,3792,20,gramschmidt.exe
436148528,744324,cudaDeviceSynchronize,0,169,3792,3792,20,gramschmidt.exe
436893391,6246,cudaLaunchKernel,0,170,3792,3792,20,gramschmidt.exe
436899780,26386,cudaDeviceSynchronize,0,171,3792,3792,20,gramschmidt.exe
436926432,3871,cudaLaunchKernel,0,172,3792,3792,20,gramschmidt.exe
436930447,6036,cudaDeviceSynchronize,0,173,3792,3792,20,gramschmidt.exe
436936713,4475,cudaLaunchKernel,0,174,3792,3792,20,gramschmidt.exe
436941332,744772,cudaDeviceSynchronize,0,175,3792,3792,20,gramschmidt.exe
437686629,7367,cudaLaunchKernel,0,176,3792,3792,20,gramschmidt.exe
437694138,26017,cudaDeviceSynchronize,0,177,3792,3792,20,gramschmidt.exe
437720424,5114,cudaLaunchKernel,0,178,3792,3792,20,gramschmidt.exe
437725681,5767,cudaDeviceSynchronize,0,179,3792,3792,20,gramschmidt.exe
437731677,5922,cudaLaunchKernel,0,180,3792,3792,20,gramschmidt.exe
437737742,744449,cudaDeviceSynchronize,0,181,3792,3792,20,gramschmidt.exe
438482730,6737,cudaLaunchKernel,0,182,3792,3792,20,gramschmidt.exe
438489611,26499,cudaDeviceSynchronize,0,183,3792,3792,20,gramschmidt.exe
438516381,5089,cudaLaunchKernel,0,184,3792,3792,20,gramschmidt.exe
438521615,5569,cudaDeviceSynchronize,0,185,3792,3792,20,gramschmidt.exe
438527435,5153,cudaLaunchKernel,0,186,3792,3792,20,gramschmidt.exe
438532732,745429,cudaDeviceSynchronize,0,187,3792,3792,20,gramschmidt.exe
439278699,6466,cudaLaunchKernel,0,188,3792,3792,20,gramschmidt.exe
439285313,26425,cudaDeviceSynchronize,0,189,3792,3792,20,gramschmidt.exe
439311987,6000,cudaLaunchKernel,0,190,3792,3792,20,gramschmidt.exe
439318134,6109,cudaDeviceSynchronize,0,191,3792,3792,20,gramschmidt.exe
439324552,4955,cudaLaunchKernel,0,192,3792,3792,20,gramschmidt.exe
439329777,744683,cudaDeviceSynchronize,0,193,3792,3792,20,gramschmidt.exe
440074978,5941,cudaLaunchKernel,0,194,3792,3792,20,gramschmidt.exe
440081060,26356,cudaDeviceSynchronize,0,195,3792,3792,20,gramschmidt.exe
440107701,5676,cudaLaunchKernel,0,196,3792,3792,20,gramschmidt.exe
440113517,5852,cudaDeviceSynchronize,0,197,3792,3792,20,gramschmidt.exe
440119594,4182,cudaLaunchKernel,0,198,3792,3792,20,gramschmidt.exe
440123916,744402,cudaDeviceSynchronize,0,199,3792,3792,20,gramschmidt.exe
440868849,6231,cudaLaunchKernel,0,200,3792,3792,20,gramschmidt.exe
440875227,26098,cudaDeviceSynchronize,0,201,3792,3792,20,gramschmidt.exe
440901560,4662,cudaLaunchKernel,0,202,3792,3792,20,gramschmidt.exe
440906363,5681,cudaDeviceSynchronize,0,203,3792,3792,20,gramschmidt.exe
440912272,3969,cudaLaunchKernel,0,204,3792,3792,20,gramschmidt.exe
440916386,744233,cudaDeviceSynchronize,0,205,3792,3792,20,gramschmidt.exe
441661131,6721,cudaLaunchKernel,0,206,3792,3792,20,gramschmidt.exe
441668022,26293,cudaDeviceSynchronize,0,207,3792,3792,20,gramschmidt.exe
441694596,5196,cudaLaunchKernel,0,208,3792,3792,20,gramschmidt.exe
441699932,5591,cudaDeviceSynchronize,0,209,3792,3792,20,gramschmidt.exe
441705776,5024,cudaLaunchKernel,0,210,3792,3792,20,gramschmidt.exe
441710945,745003,cudaDeviceSynchronize,0,211,3792,3792,20,gramschmidt.exe
442456485,7437,cudaLaunchKernel,0,212,3792,3792,20,gramschmidt.exe
442464064,26511,cudaDeviceSynchronize,0,213,3792,3792,20,gramschmidt.exe
442490806,5241,cudaLaunchKernel,0,214,3792,3792,20,gramschmidt.exe
442496324,5648,cudaDeviceSynchronize,0,215,3792,3792,20,gramschmidt.exe
442502265,5793,cudaLaunchKernel,0,216,3792,3792,20,gramschmidt.exe
442508202,745159,cudaDeviceSynchronize,0,217,3792,3792,20,gramschmidt.exe
443253897,6623,cudaLaunchKernel,0,218,3792,3792,20,gramschmidt.exe
443260668,26285,cudaDeviceSynchronize,0,219,3792,3792,20,gramschmidt.exe
443287221,5209,cudaLaunchKernel,0,220,3792,3792,20,gramschmidt.exe
443292574,6058,cudaDeviceSynchronize,0,221,3792,3792,20,gramschmidt.exe
443298873,5785,cudaLaunchKernel,0,222,3792,3792,20,gramschmidt.exe
443304797,742322,cudaDeviceSynchronize,0,223,3792,3792,20,gramschmidt.exe
444047579,5900,cudaLaunchKernel,0,224,3792,3792,20,gramschmidt.exe
444053624,51398,cudaDeviceSynchronize,0,225,3792,3792,20,gramschmidt.exe
444105548,7375,cudaLaunchKernel,0,226,3792,3792,20,gramschmidt.exe
444113063,5402,cudaDeviceSynchronize,0,227,3792,3792,20,gramschmidt.exe
444118704,5081,cudaLaunchKernel,0,228,3792,3792,20,gramschmidt.exe
444123926,1161526,cudaDeviceSynchronize,0,229,3792,3792,20,gramschmidt.exe
445286013,5894,cudaLaunchKernel,0,230,3792,3792,20,gramschmidt.exe
445292050,26467,cudaDeviceSynchronize,0,231,3792,3792,20,gramschmidt.exe
445318799,4965,cudaLaunchKernel,0,232,3792,3792,20,gramschmidt.exe
