Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
192525191,4895,cuModuleGetLoadingMode,0,1,6466,6466,20,gramschmidt.exe
194796196,190811505,cudaMallocManaged,0,118,6466,6466,20,gramschmidt.exe
385609890,73608,cudaMallocManaged,0,119,6466,6466,20,gramschmidt.exe
385683996,37993,cudaMallocManaged,0,120,6466,6466,20,gramschmidt.exe
414424526,1448138,cudaGetDeviceProperties_v2_v12000,0,121,6466,6466,20,gramschmidt.exe
415904015,343109,cudaLaunchKernel,0,123,6466,6466,20,gramschmidt.exe
416247930,4844817,cudaDeviceSynchronize,0,124,6466,6466,20,gramschmidt.exe
421094161,29940,cudaLaunchKernel,0,125,6466,6466,20,gramschmidt.exe
421124451,1570336,cudaDeviceSynchronize,0,126,6466,6466,20,gramschmidt.exe
422695514,27428,cudaLaunchKernel,0,127,6466,6466,20,gramschmidt.exe
422723211,1161650,cudaDeviceSynchronize,0,128,6466,6466,20,gramschmidt.exe
423885508,7837,cudaLaunchKernel,0,129,6466,6466,20,gramschmidt.exe
423893598,25800,cudaDeviceSynchronize,0,130,6466,6466,20,gramschmidt.exe
423919750,4931,cudaLaunchKernel,0,131,6466,6466,20,gramschmidt.exe
423924883,5519,cudaDeviceSynchronize,0,132,6466,6466,20,gramschmidt.exe
423930709,4211,cudaLaunchKernel,0,133,6466,6466,20,gramschmidt.exe
423935085,740405,cudaDeviceSynchronize,0,134,6466,6466,20,gramschmidt.exe
424676025,6724,cudaLaunchKernel,0,135,6466,6466,20,gramschmidt.exe
424682946,26303,cudaDeviceSynchronize,0,136,6466,6466,20,gramschmidt.exe
424709518,4920,cudaLaunchKernel,0,137,6466,6466,20,gramschmidt.exe
424714726,5698,cudaDeviceSynchronize,0,138,6466,6466,20,gramschmidt.exe
424720747,6373,cudaLaunchKernel,0,139,6466,6466,20,gramschmidt.exe
424727471,739693,cudaDeviceSynchronize,0,140,6466,6466,20,gramschmidt.exe
425467684,7148,cudaLaunchKernel,0,141,6466,6466,20,gramschmidt.exe
425475025,26110,cudaDeviceSynchronize,0,142,6466,6466,20,gramschmidt.exe
425501445,5071,cudaLaunchKernel,0,143,6466,6466,20,gramschmidt.exe
425506662,5904,cudaDeviceSynchronize,0,144,6466,6466,20,gramschmidt.exe
425512838,6380,cudaLaunchKernel,0,145,6466,6466,20,gramschmidt.exe
425519367,735418,cudaDeviceSynchronize,0,146,6466,6466,20,gramschmidt.exe
426255251,6450,cudaLaunchKernel,0,147,6466,6466,20,gramschmidt.exe
426261912,54822,cudaDeviceSynchronize,0,148,6466,6466,20,gramschmidt.exe
426317293,6830,cudaLaunchKernel,0,149,6466,6466,20,gramschmidt.exe
426324332,5078,cudaDeviceSynchronize,0,150,6466,6466,20,gramschmidt.exe
426329634,5323,cudaLaunchKernel,0,151,6466,6466,20,gramschmidt.exe
426335125,735460,cudaDeviceSynchronize,0,152,6466,6466,20,gramschmidt.exe
427071081,6350,cudaLaunchKernel,0,153,6466,6466,20,gramschmidt.exe
427077647,26307,cudaDeviceSynchronize,0,154,6466,6466,20,gramschmidt.exe
427104279,5039,cudaLaunchKernel,0,155,6466,6466,20,gramschmidt.exe
427109464,5687,cudaDeviceSynchronize,0,156,6466,6466,20,gramschmidt.exe
427115378,4376,cudaLaunchKernel,0,157,6466,6466,20,gramschmidt.exe
427119899,736033,cudaDeviceSynchronize,0,158,6466,6466,20,gramschmidt.exe
427856448,6396,cudaLaunchKernel,0,159,6466,6466,20,gramschmidt.exe
427863061,26273,cudaDeviceSynchronize,0,160,6466,6466,20,gramschmidt.exe
427889611,4629,cudaLaunchKernel,0,161,6466,6466,20,gramschmidt.exe
427894406,5610,cudaDeviceSynchronize,0,162,6466,6466,20,gramschmidt.exe
427900347,3877,cudaLaunchKernel,0,163,6466,6466,20,gramschmidt.exe
427904364,736538,cudaDeviceSynchronize,0,164,6466,6466,20,gramschmidt.exe
428641413,8800,cudaLaunchKernel,0,165,6466,6466,20,gramschmidt.exe
428650474,25992,cudaDeviceSynchronize,0,166,6466,6466,20,gramschmidt.exe
428676781,4240,cudaLaunchKernel,0,167,6466,6466,20,gramschmidt.exe
428681165,6011,cudaDeviceSynchronize,0,168,6466,6466,20,gramschmidt.exe
428687446,4374,cudaLaunchKernel,0,169,6466,6466,20,gramschmidt.exe
428691960,740988,cudaDeviceSynchronize,0,170,6466,6466,20,gramschmidt.exe
429433502,7484,cudaLaunchKernel,0,171,6466,6466,20,gramschmidt.exe
429441192,287272,cudaDeviceSynchronize,0,172,6466,6466,20,gramschmidt.exe
429728784,4989,cudaLaunchKernel,0,173,6466,6466,20,gramschmidt.exe
429733913,5756,cudaDeviceSynchronize,0,174,6466,6466,20,gramschmidt.exe
429739943,6008,cudaLaunchKernel,0,175,6466,6466,20,gramschmidt.exe
429746091,736014,cudaDeviceSynchronize,0,176,6466,6466,20,gramschmidt.exe
430482665,7185,cudaLaunchKernel,0,177,6466,6466,20,gramschmidt.exe
430490057,26283,cudaDeviceSynchronize,0,178,6466,6466,20,gramschmidt.exe
430516618,5099,cudaLaunchKernel,0,179,6466,6466,20,gramschmidt.exe
430521861,5526,cudaDeviceSynchronize,0,180,6466,6466,20,gramschmidt.exe
430527658,6151,cudaLaunchKernel,0,181,6466,6466,20,gramschmidt.exe
430533949,736184,cudaDeviceSynchronize,0,182,6466,6466,20,gramschmidt.exe
431270671,6741,cudaLaunchKernel,0,183,6466,6466,20,gramschmidt.exe
431277617,26278,cudaDeviceSynchronize,0,184,6466,6466,20,gramschmidt.exe
431304206,6045,cudaLaunchKernel,0,185,6466,6466,20,gramschmidt.exe
431310393,5941,cudaDeviceSynchronize,0,186,6466,6466,20,gramschmidt.exe
431316614,4736,cudaLaunchKernel,0,187,6466,6466,20,gramschmidt.exe
431321629,739383,cudaDeviceSynchronize,0,188,6466,6466,20,gramschmidt.exe
432061309,4682,cudaLaunchKernel,0,189,6466,6466,20,gramschmidt.exe
432066273,26365,cudaDeviceSynchronize,0,190,6466,6466,20,gramschmidt.exe
432092937,5799,cudaLaunchKernel,0,191,6466,6466,20,gramschmidt.exe
432098879,5524,cudaDeviceSynchronize,0,192,6466,6466,20,gramschmidt.exe
432104656,4191,cudaLaunchKernel,0,193,6466,6466,20,gramschmidt.exe
432108988,735582,cudaDeviceSynchronize,0,194,6466,6466,20,gramschmidt.exe
432845084,6552,cudaLaunchKernel,0,195,6466,6466,20,gramschmidt.exe
432851844,25913,cudaDeviceSynchronize,0,196,6466,6466,20,gramschmidt.exe
432878040,4467,cudaLaunchKernel,0,197,6466,6466,20,gramschmidt.exe
432882676,5769,cudaDeviceSynchronize,0,198,6466,6466,20,gramschmidt.exe
432888718,3861,cudaLaunchKernel,0,199,6466,6466,20,gramschmidt.exe
432892719,740738,cudaDeviceSynchronize,0,200,6466,6466,20,gramschmidt.exe
433633988,6697,cudaLaunchKernel,0,201,6466,6466,20,gramschmidt.exe
433640897,26115,cudaDeviceSynchronize,0,202,6466,6466,20,gramschmidt.exe
433667310,5014,cudaLaunchKernel,0,203,6466,6466,20,gramschmidt.exe
433672467,5619,cudaDeviceSynchronize,0,204,6466,6466,20,gramschmidt.exe
433678354,4836,cudaLaunchKernel,0,205,6466,6466,20,gramschmidt.exe
433683335,740702,cudaDeviceSynchronize,0,206,6466,6466,20,gramschmidt.exe
434424570,7506,cudaLaunchKernel,0,207,6466,6466,20,gramschmidt.exe
434432290,26368,cudaDeviceSynchronize,0,208,6466,6466,20,gramschmidt.exe
434458933,4944,cudaLaunchKernel,0,209,6466,6466,20,gramschmidt.exe
434464030,5789,cudaDeviceSynchronize,0,210,6466,6466,20,gramschmidt.exe
434470105,5718,cudaLaunchKernel,0,211,6466,6466,20,gramschmidt.exe
434475968,740234,cudaDeviceSynchronize,0,212,6466,6466,20,gramschmidt.exe
435216755,6540,cudaLaunchKernel,0,213,6466,6466,20,gramschmidt.exe
435223509,26050,cudaDeviceSynchronize,0,214,6466,6466,20,gramschmidt.exe
435249868,5026,cudaLaunchKernel,0,215,6466,6466,20,gramschmidt.exe
435255039,6061,cudaDeviceSynchronize,0,216,6466,6466,20,gramschmidt.exe
435261375,5341,cudaLaunchKernel,0,217,6466,6466,20,gramschmidt.exe
435266854,736721,cudaDeviceSynchronize,0,218,6466,6466,20,gramschmidt.exe
436003827,4361,cudaLaunchKernel,0,219,6466,6466,20,gramschmidt.exe
436008329,286596,cudaDeviceSynchronize,0,220,6466,6466,20,gramschmidt.exe
436295452,7310,cudaLaunchKernel,0,221,6466,6466,20,gramschmidt.exe
436302968,5146,cudaDeviceSynchronize,0,222,6466,6466,20,gramschmidt.exe
436308385,4641,cudaLaunchKernel,0,223,6466,6466,20,gramschmidt.exe
436313198,1157400,cudaDeviceSynchronize,0,224,6466,6466,20,gramschmidt.exe
437471124,5814,cudaLaunchKernel,0,225,6466,6466,20,gramschmidt.exe
437477150,26233,cudaDeviceSynchronize,0,226,6466,6466,20,gramschmidt.exe
437503694,4362,cudaLaunchKernel,0,227,6466,6466,20,gramschmidt.exe
437508195,5777,cudaDeviceSynchronize,0,228,6466,6466,20,gramschmidt.exe
437514238,3787,cudaLaunchKernel,0,229,6466,6466,20,gramschmidt.exe
437518169,735701,cudaDeviceSynchronize,0,230,6466,6466,20,gramschmidt.exe
438254419,6402,cudaLaunchKernel,0,231,6466,6466,20,gramschmidt.exe
