Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
286213939,5142,cuModuleGetLoadingMode,0,1,5392,5392,20,3D
296745879,1167700769,cudaMallocHost,0,118,5392,5392,20,3D
1464449167,2084337,cudaMallocHost,0,119,5392,5392,20,3D
1466535758,2064940,cudaMallocHost,0,120,5392,5392,20,3D
3583777966,210269,cudaMalloc,0,121,5392,5392,20,3D
3583988681,81404,cudaMalloc,0,122,5392,5392,20,3D
3584070500,74393,cudaMalloc,0,123,5392,5392,20,3D
3584155880,3392869,cudaMemcpy,0,124,5392,5392,20,3D
3587550698,3318833,cudaMemcpy,0,125,5392,5392,20,3D
3620776389,49520,cudaLaunchKernel,0,127,5392,5392,20,3D
3620826618,20618,cudaLaunchKernel,0,128,5392,5392,20,3D
3620847780,12897,cudaLaunchKernel,0,129,5392,5392,20,3D
3620861153,50165,cudaLaunchKernel,0,130,5392,5392,20,3D
3620911990,17159,cudaLaunchKernel,0,131,5392,5392,20,3D
3620929756,15199,cudaLaunchKernel,0,132,5392,5392,20,3D
3620945571,13908,cudaLaunchKernel,0,133,5392,5392,20,3D
3620959997,12364,cudaLaunchKernel,0,134,5392,5392,20,3D
3620972793,15502,cudaLaunchKernel,0,135,5392,5392,20,3D
3620988905,12511,cudaLaunchKernel,0,136,5392,5392,20,3D
3621001816,13117,cudaLaunchKernel,0,137,5392,5392,20,3D
3621015350,15931,cudaLaunchKernel,0,138,5392,5392,20,3D
3621031819,13131,cudaLaunchKernel,0,139,5392,5392,20,3D
3621045405,12684,cudaLaunchKernel,0,140,5392,5392,20,3D
3621058522,12562,cudaLaunchKernel,0,141,5392,5392,20,3D
3621071512,13020,cudaLaunchKernel,0,142,5392,5392,20,3D
3621084945,11807,cudaLaunchKernel,0,143,5392,5392,20,3D
3621097218,11434,cudaLaunchKernel,0,144,5392,5392,20,3D
3621109045,12580,cudaLaunchKernel,0,145,5392,5392,20,3D
3621122088,10769,cudaLaunchKernel,0,146,5392,5392,20,3D
3621133224,11756,cudaLaunchKernel,0,147,5392,5392,20,3D
3621145369,13118,cudaLaunchKernel,0,148,5392,5392,20,3D
3621158902,14646,cudaLaunchKernel,0,149,5392,5392,20,3D
3621174025,11533,cudaLaunchKernel,0,150,5392,5392,20,3D
3621185988,11248,cudaLaunchKernel,0,151,5392,5392,20,3D
3621197641,12558,cudaLaunchKernel,0,152,5392,5392,20,3D
3621210585,11295,cudaLaunchKernel,0,153,5392,5392,20,3D
3621222300,11790,cudaLaunchKernel,0,154,5392,5392,20,3D
3621234531,11991,cudaLaunchKernel,0,155,5392,5392,20,3D
3621246915,11068,cudaLaunchKernel,0,156,5392,5392,20,3D
3621258374,11741,cudaLaunchKernel,0,157,5392,5392,20,3D
3621270558,10721,cudaLaunchKernel,0,158,5392,5392,20,3D
3621281646,13045,cudaLaunchKernel,0,159,5392,5392,20,3D
3621295062,13019,cudaLaunchKernel,0,160,5392,5392,20,3D
3621308520,11515,cudaLaunchKernel,0,161,5392,5392,20,3D
3621320475,11439,cudaLaunchKernel,0,162,5392,5392,20,3D
3621332305,12207,cudaLaunchKernel,0,163,5392,5392,20,3D
3621344973,11528,cudaLaunchKernel,0,164,5392,5392,20,3D
3621356964,11203,cudaLaunchKernel,0,165,5392,5392,20,3D
3621368619,12315,cudaLaunchKernel,0,166,5392,5392,20,3D
3621381312,10957,cudaLaunchKernel,0,167,5392,5392,20,3D
3621392679,16547,cudaLaunchKernel,0,168,5392,5392,20,3D
3621409602,15013,cudaLaunchKernel,0,169,5392,5392,20,3D
3621424979,13432,cudaLaunchKernel,0,170,5392,5392,20,3D
3621438996,11821,cudaLaunchKernel,0,171,5392,5392,20,3D
3621451257,13023,cudaLaunchKernel,0,172,5392,5392,20,3D
3621464720,11652,cudaLaunchKernel,0,173,5392,5392,20,3D
3621476800,11061,cudaLaunchKernel,0,174,5392,5392,20,3D
3621488313,10943,cudaLaunchKernel,0,175,5392,5392,20,3D
3621499638,12474,cudaLaunchKernel,0,176,5392,5392,20,3D
3621512528,10936,cudaLaunchKernel,0,177,5392,5392,20,3D
3621523863,11033,cudaLaunchKernel,0,178,5392,5392,20,3D
3621535326,11447,cudaLaunchKernel,0,179,5392,5392,20,3D
3621547172,11991,cudaLaunchKernel,0,180,5392,5392,20,3D
3621559538,13896,cudaLaunchKernel,0,181,5392,5392,20,3D
3621573933,10511,cudaLaunchKernel,0,182,5392,5392,20,3D
3621584890,14770,cudaLaunchKernel,0,183,5392,5392,20,3D
3621600091,10622,cudaLaunchKernel,0,184,5392,5392,20,3D
3621611095,11609,cudaLaunchKernel,0,185,5392,5392,20,3D
3621623115,11635,cudaLaunchKernel,0,186,5392,5392,20,3D
3621635410,12544,cudaLaunchKernel,0,187,5392,5392,20,3D
3621648504,12513,cudaLaunchKernel,0,188,5392,5392,20,3D
3621661437,11128,cudaLaunchKernel,0,189,5392,5392,20,3D
3621672983,11296,cudaLaunchKernel,0,190,5392,5392,20,3D
3621684694,12285,cudaLaunchKernel,0,191,5392,5392,20,3D
3621697417,12849,cudaLaunchKernel,0,192,5392,5392,20,3D
3621710770,11219,cudaLaunchKernel,0,193,5392,5392,20,3D
3621722433,11912,cudaLaunchKernel,0,194,5392,5392,20,3D
3621734803,11493,cudaLaunchKernel,0,195,5392,5392,20,3D
3621746720,11195,cudaLaunchKernel,0,196,5392,5392,20,3D
3621758361,11960,cudaLaunchKernel,0,197,5392,5392,20,3D
3621770734,11781,cudaLaunchKernel,0,198,5392,5392,20,3D
3621782959,10927,cudaLaunchKernel,0,199,5392,5392,20,3D
3621794276,10705,cudaLaunchKernel,0,200,5392,5392,20,3D
3621805374,12789,cudaLaunchKernel,0,201,5392,5392,20,3D
3621818562,14520,cudaLaunchKernel,0,202,5392,5392,20,3D
3621833541,11053,cudaLaunchKernel,0,203,5392,5392,20,3D
3621845062,10639,cudaLaunchKernel,0,204,5392,5392,20,3D
3621856088,13049,cudaLaunchKernel,0,205,5392,5392,20,3D
3621869566,10525,cudaLaunchKernel,0,206,5392,5392,20,3D
3621880501,11116,cudaLaunchKernel,0,207,5392,5392,20,3D
3621892028,12367,cudaLaunchKernel,0,208,5392,5392,20,3D
3621904820,12650,cudaLaunchKernel,0,209,5392,5392,20,3D
3621917867,10967,cudaLaunchKernel,0,210,5392,5392,20,3D
3621929232,10772,cudaLaunchKernel,0,211,5392,5392,20,3D
3621940402,12038,cudaLaunchKernel,0,212,5392,5392,20,3D
3621952825,12757,cudaLaunchKernel,0,213,5392,5392,20,3D
3621966034,10959,cudaLaunchKernel,0,214,5392,5392,20,3D
3621977436,10875,cudaLaunchKernel,0,215,5392,5392,20,3D
3621988761,12381,cudaLaunchKernel,0,216,5392,5392,20,3D
3622001614,12052,cudaLaunchKernel,0,217,5392,5392,20,3D
3622014106,10768,cudaLaunchKernel,0,218,5392,5392,20,3D
3622025326,12809,cudaLaunchKernel,0,219,5392,5392,20,3D
3622038548,11619,cudaLaunchKernel,0,220,5392,5392,20,3D
3622050554,11130,cudaLaunchKernel,0,221,5392,5392,20,3D
3622062071,10745,cudaLaunchKernel,0,222,5392,5392,20,3D
3622073208,12282,cudaLaunchKernel,0,223,5392,5392,20,3D
3622085880,12976,cudaLaunchKernel,0,224,5392,5392,20,3D
3622099370,10914,cudaLaunchKernel,0,225,5392,5392,20,3D
3622110716,11059,cudaLaunchKernel,0,226,5392,5392,20,3D
3622122266,3136072,cudaDeviceSynchronize,0,227,5392,5392,20,3D
3625292187,4473828,cudaMemcpy,0,228,5392,5392,20,3D
3629767467,242217,cudaFree,0,229,5392,5392,20,3D
3630010369,104947,cudaFree,0,230,5392,5392,20,3D
3630115642,92028,cudaFree,0,231,5392,5392,20,3D
7702160745,581475,cudaFree,0,232,5392,5392,20,3D
7702743110,423622,cudaFree,0,233,5392,5392,20,3D
7703167325,437003,cudaFree,0,234,5392,5392,20,3D
