Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
3584648592,2883668,124,,,,,,,,,,8.389,2902.458,Managed,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Device]
3587941547,2914196,125,,,,,,,,,,8.389,2877.293,Managed,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Device]
3620828506,46529,127,8,128,1,64,4,1,43,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, float, float)"
3620876379,43617,128,8,128,1,64,4,1,43,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, float, float)"
3620921116,43073,129,8,128,1,64,4,1,43,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, float, float)"
3620965469,42625,130,8,128,1,64,4,1,43,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, float, float)"
3621009374,43584,131,8,128,1,64,4,1,43,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, float, float)"
3621054078,42561,132,8,128,1,64,4,1,43,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, float, float)"
3621097823,43201,133,8,128,1,64,4,1,43,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, float, float)"
3621142368,42465,134,8,128,1,64,4,1,43,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, float, float)"
3621186369,42784,135,8,128,1,64,4,1,43,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, float, float)"
3621230625,42337,136,8,128,1,64,4,1,43,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, float, float)"
3621274306,42977,137,8,128,1,64,4,1,43,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, float, float)"
3621318595,42433,138,8,128,1,64,4,1,43,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, float, float)"
3621362468,43201,139,8,128,1,64,4,1,43,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, float, float)"
3621407204,42434,140,8,128,1,64,4,1,43,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, float, float)"
3621451173,42433,141,8,128,1,64,4,1,43,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, float, float)"
3621495206,42433,142,8,128,1,64,4,1,43,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, float, float)"
3621539047,43073,143,8,128,1,64,4,1,43,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, float, float)"
3621583560,42273,144,8,128,1,64,4,1,43,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, float, float)"
3621627241,43072,145,8,128,1,64,4,1,43,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, float, float)"
3621671753,42497,146,8,128,1,64,4,1,43,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, float, float)"
