Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
194556767,4373,cuModuleGetLoadingMode,0,1,4762,4762,20,3D
196868814,187020902,cudaMallocManaged,0,118,4762,4762,20,3D
383892207,70529,cudaMallocManaged,0,119,4762,4762,20,3D
383963133,18815,cudaMallocManaged,0,120,4762,4762,20,3D
1404875175,39945,cudaLaunchKernel,0,122,4762,4762,20,3D
1404915838,7858,cudaLaunchKernel,0,123,4762,4762,20,3D
1404924116,5174,cudaLaunchKernel,0,124,4762,4762,20,3D
1404929628,5322,cudaLaunchKernel,0,125,4762,4762,20,3D
1404935279,4066,cudaLaunchKernel,0,126,4762,4762,20,3D
1404939685,4145,cudaLaunchKernel,0,127,4762,4762,20,3D
1404944122,5441,cudaLaunchKernel,0,128,4762,4762,20,3D
1404949867,4077,cudaLaunchKernel,0,129,4762,4762,20,3D
1404954206,5941,cudaLaunchKernel,0,130,4762,4762,20,3D
1404960398,4404,cudaLaunchKernel,0,131,4762,4762,20,3D
1404965096,5186,cudaLaunchKernel,0,132,4762,4762,20,3D
1404970522,5242,cudaLaunchKernel,0,133,4762,4762,20,3D
1404976022,4564,cudaLaunchKernel,0,134,4762,4762,20,3D
1404980932,5904,cudaLaunchKernel,0,135,4762,4762,20,3D
1404987114,4691,cudaLaunchKernel,0,136,4762,4762,20,3D
1404992051,5969,cudaLaunchKernel,0,137,4762,4762,20,3D
1404998264,4583,cudaLaunchKernel,0,138,4762,4762,20,3D
1405003121,5070,cudaLaunchKernel,0,139,4762,4762,20,3D
1405008434,4450,cudaLaunchKernel,0,140,4762,4762,20,3D
1405013156,4930,cudaLaunchKernel,0,141,4762,4762,20,3D
1405018376,5362,cudaLaunchKernel,0,142,4762,4762,20,3D
1405024037,4702,cudaLaunchKernel,0,143,4762,4762,20,3D
1405028985,4764,cudaLaunchKernel,0,144,4762,4762,20,3D
1405033990,4740,cudaLaunchKernel,0,145,4762,4762,20,3D
1405038979,4971,cudaLaunchKernel,0,146,4762,4762,20,3D
1405044238,4573,cudaLaunchKernel,0,147,4762,4762,20,3D
1405049092,5113,cudaLaunchKernel,0,148,4762,4762,20,3D
1405054451,5261,cudaLaunchKernel,0,149,4762,4762,20,3D
