Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
2389354998,1074195,132,,,,,,,,,,4.000,3720.000,Managed,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Device]
2390936114,1050866,133,,,,,,,,,,4.000,3804.000,Managed,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Device]
2392022053,1728,134,,,,,,,,,,0.000,6.944,Managed,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Device]
2392046277,1536,135,,,,,,,,,,0.000,7.812,Managed,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Device]
2392546094,662444,136,1000000,1,1,3,1,1,20,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"get_dst(float *, float *, float *, float *, float *)"
2393212538,661739,137,1000000,1,1,1,1,1,19,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"regroup(int *, float *, int)"
2393878757,1376,138,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"clear(float *, float *, int *, int *)"
2393885318,181178282,139,1,1,1,3,1,1,28,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step1(float *, float *, int *, int *, float *, float *, int *, int)"
2575067152,1984,140,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step2(float *, float *, float *, float *, int *, int *)"
2575070512,662028,141,1000000,1,1,3,1,1,20,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"get_dst(float *, float *, float *, float *, float *)"
2575733723,661708,142,1000000,1,1,1,1,1,19,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"regroup(int *, float *, int)"
2576396775,1376,143,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"clear(float *, float *, int *, int *)"
2576399687,181405327,144,1,1,1,3,1,1,28,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step1(float *, float *, int *, int *, float *, float *, int *, int)"
2757806614,1823,145,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step2(float *, float *, float *, float *, int *, int *)"
2757809878,661643,146,1000000,1,1,3,1,1,20,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"get_dst(float *, float *, float *, float *, float *)"
2758473057,661516,147,1000000,1,1,1,1,1,19,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"regroup(int *, float *, int)"
2759136141,1440,148,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"clear(float *, float *, int *, int *)"
2759139117,181366958,149,1,1,1,3,1,1,28,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step1(float *, float *, int *, int *, float *, float *, int *, int)"
2940507675,1631,150,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step2(float *, float *, float *, float *, int *, int *)"
2940510811,661643,151,1000000,1,1,3,1,1,20,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"get_dst(float *, float *, float *, float *, float *)"
2941173958,661548,152,1000000,1,1,1,1,1,19,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"regroup(int *, float *, int)"
2941836914,1440,153,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"clear(float *, float *, int *, int *)"
2941839826,181369646,154,1,1,1,3,1,1,28,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step1(float *, float *, int *, int *, float *, float *, int *, int)"
3123210912,1632,155,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step2(float *, float *, float *, float *, int *, int *)"
3123214080,661803,156,1000000,1,1,3,1,1,20,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"get_dst(float *, float *, float *, float *, float *)"
3123877484,661547,157,1000000,1,1,1,1,1,19,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"regroup(int *, float *, int)"
3124540567,1216,158,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"clear(float *, float *, int *, int *)"
3124543287,181366318,159,1,1,1,3,1,1,28,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step1(float *, float *, int *, int *, float *, float *, int *, int)"
3305911109,1856,160,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step2(float *, float *, float *, float *, int *, int *)"
3305914373,661804,161,1000000,1,1,3,1,1,20,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"get_dst(float *, float *, float *, float *, float *)"
3306577553,661515,162,1000000,1,1,1,1,1,19,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"regroup(int *, float *, int)"
3307240444,1248,163,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"clear(float *, float *, int *, int *)"
3307243228,181176139,164,1,1,1,3,1,1,28,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step1(float *, float *, int *, int *, float *, float *, int *, int)"
3488420902,1825,165,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step2(float *, float *, float *, float *, int *, int *)"
3488424231,661643,166,1000000,1,1,3,1,1,20,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"get_dst(float *, float *, float *, float *, float *)"
3489087250,661516,167,1000000,1,1,1,1,1,19,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"regroup(int *, float *, int)"
3489750142,1472,168,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"clear(float *, float *, int *, int *)"
3489753118,181345997,169,1,1,1,3,1,1,28,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step1(float *, float *, int *, int *, float *, float *, int *, int)"
3671100587,1632,170,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step2(float *, float *, float *, float *, int *, int *)"
3671103723,661612,171,1000000,1,1,3,1,1,20,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"get_dst(float *, float *, float *, float *, float *)"
3671766711,661611,172,1000000,1,1,1,1,1,19,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"regroup(int *, float *, int)"
3672429730,1440,173,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"clear(float *, float *, int *, int *)"
3672432675,181382894,174,1,1,1,3,1,1,28,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step1(float *, float *, int *, int *, float *, float *, int *, int)"
3853817072,1633,175,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step2(float *, float *, float *, float *, int *, int *)"
3853820209,661867,176,1000000,1,1,3,1,1,20,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"get_dst(float *, float *, float *, float *, float *)"
3854483452,661548,177,1000000,1,1,1,1,1,19,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"regroup(int *, float *, int)"
3855146376,1248,178,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"clear(float *, float *, int *, int *)"
3855149128,181400430,179,1,1,1,3,1,1,28,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step1(float *, float *, int *, int *, float *, float *, int *, int)"
4036550966,1824,180,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step2(float *, float *, float *, float *, int *, int *)"
4036554294,661804,181,1000000,1,1,3,1,1,20,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"get_dst(float *, float *, float *, float *, float *)"
4037217602,661515,182,1000000,1,1,1,1,1,19,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"regroup(int *, float *, int)"
4037880653,1249,183,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"clear(float *, float *, int *, int *)"
4037883438,181392017,184,1,1,1,3,1,1,28,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step1(float *, float *, int *, int *, float *, float *, int *, int)"
4219277055,1825,185,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step2(float *, float *, float *, float *, int *, int *)"
4219280351,661644,186,1000000,1,1,3,1,1,20,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"get_dst(float *, float *, float *, float *, float *)"
4219943499,661548,187,1000000,1,1,1,1,1,19,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"regroup(int *, float *, int)"
4220606423,1408,188,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"clear(float *, float *, int *, int *)"
4220609367,181396786,189,1,1,1,3,1,1,28,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step1(float *, float *, int *, int *, float *, float *, int *, int)"
4402007562,1631,190,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step2(float *, float *, float *, float *, int *, int *)"
4402010665,661644,191,1000000,1,1,3,1,1,20,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"get_dst(float *, float *, float *, float *, float *)"
4402673781,661580,192,1000000,1,1,1,1,1,19,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"regroup(int *, float *, int)"
4403336865,1440,193,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"clear(float *, float *, int *, int *)"
4403339809,181404979,194,1,1,1,3,1,1,28,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step1(float *, float *, int *, int *, float *, float *, int *, int)"
