Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
2368290077,3803495459,128,1000000,1,1,3,1,1,20,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"get_dst(float *, float *, float *, float *, float *)"
2534914827,2399,0,,,,,,,,,,0.004,1707.377,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
2534917227,8288,0,,,,,,,,,,0.061,7413.105,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
2535082958,2687,0,,,,,,,,,,0.008,3048.751,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
2535085646,7136,0,,,,,,,,,,0.057,8035.844,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
2900977766,2463,0,,,,,,,,,,0.008,3326.018,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
2900980230,2335,0,,,,,,,,,,0.004,1754.173,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
2900982566,2111,0,,,,,,,,,,0.004,1940.312,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
2900984678,5536,0,,,,,,,,,,0.049,8878.572,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
3143697620,2432,0,,,,,,,,,,0.004,1684.210,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
3143700053,6720,0,,,,,,,,,,0.061,9142.825,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
3152411670,2815,0,,,,,,,,,,0.012,4365.177,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
3152414486,6400,0,,,,,,,,,,0.053,8320.000,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
3168911015,2624,0,,,,,,,,,,0.004,1560.973,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
3168913640,11264,0,,,,,,,,,,0.127,11272.675,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
3178257844,2944,0,,,,,,,,,,0.012,4173.902,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
3178260789,11328,0,,,,,,,,,,0.119,10485.776,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
3194575459,2559,0,,,,,,,,,,0.004,1600.623,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
3194578019,19648,0,,,,,,,,,,0.258,13133.353,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
3203373190,3231,0,,,,,,,,,,0.012,3803.148,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
3203376422,18720,0,,,,,,,,,,0.250,13346.808,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
3233934619,2624,0,,,,,,,,,,0.004,1560.973,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
3233937244,36928,0,,,,,,,,,,0.520,14086.279,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
3419702668,3135,0,,,,,,,,,,0.016,5226.152,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
3419705804,39265,0,,,,,,,,,,0.508,12934.791,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
3487241678,2752,0,,,,,,,,,,0.004,1488.372,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
3487244431,59296,0,,,,,,,,,,1.044,17614.111,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
3892467775,2815,0,,,,,,,,,,0.012,4365.177,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
3892470591,52289,0,,,,,,,,,,1.036,19817.972,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
3971221809,2431,0,,,,,,,,,,0.004,1684.902,Unknown,Unknown,NVIDIA H100 NVL (0),0,,0,[CUDA memcpy Unified Host-to-Device]
