Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
1317203834,3880,cuModuleGetLoadingMode,0,1,1661,1661,20,kmeans_cuda
1319505357,168505570,cudaMallocHost,0,118,1661,1661,20,kmeans_cuda
1488012914,1644242,cudaMallocHost,0,119,1661,1661,20,kmeans_cuda
2404821895,987309,cudaMallocHost,0,120,1661,1661,20,kmeans_cuda
2405810025,12953,cudaMallocHost,0,121,1661,1661,20,kmeans_cuda
2405869987,86592,cudaMalloc,0,122,1661,1661,20,kmeans_cuda
2405956907,51967,cudaMalloc,0,123,1661,1661,20,kmeans_cuda
2406009184,3727,cudaMalloc,0,124,1661,1661,20,kmeans_cuda
2406013125,54882,cudaMalloc,0,125,1661,1661,20,kmeans_cuda
2406068289,45185,cudaMalloc,0,126,1661,1661,20,kmeans_cuda
2406113757,4694,cudaMalloc,0,127,1661,1661,20,kmeans_cuda
2406118679,3461,cudaMalloc,0,128,1661,1661,20,kmeans_cuda
2406122345,3147,cudaMalloc,0,129,1661,1661,20,kmeans_cuda
2406125720,5320,cudaMalloc,0,130,1661,1661,20,kmeans_cuda
2406131363,76746,cudaMalloc,0,131,1661,1661,20,kmeans_cuda
2408216788,138627,cudaMemcpy,0,132,1661,1661,20,kmeans_cuda
2408355836,103123,cudaMemcpy,0,133,1661,1661,20,kmeans_cuda
2408459205,10237,cudaMemcpy,0,134,1661,1661,20,kmeans_cuda
2408469683,7867,cudaMemcpy,0,135,1661,1661,20,kmeans_cuda
2408483450,30735811,cudaLaunchKernel,0,136,1661,1661,20,kmeans_cuda
2439221765,21921,cudaLaunchKernel,0,137,1661,1661,20,kmeans_cuda
2439244490,35753,cudaLaunchKernel,0,138,1661,1661,20,kmeans_cuda
2439280884,20084,cudaLaunchKernel,0,139,1661,1661,20,kmeans_cuda
2439301776,18285,cudaLaunchKernel,0,140,1661,1661,20,kmeans_cuda
2439320734,5396,cudaLaunchKernel,0,141,1661,1661,20,kmeans_cuda
2439326772,5226,cudaLaunchKernel,0,142,1661,1661,20,kmeans_cuda
2439332435,6178,cudaLaunchKernel,0,143,1661,1661,20,kmeans_cuda
2439339132,5321,cudaLaunchKernel,0,144,1661,1661,20,kmeans_cuda
