Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
2408250150,94692,132,,,,,,,,,,4.000,42240.000,Pinned,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Host-to-Device]
2408358122,94244,133,,,,,,,,,,4.000,42440.000,Pinned,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Host-to-Device]
2408462159,864,134,,,,,,,,,,0.000,13.889,Pinned,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Host-to-Device]
2408470479,864,135,,,,,,,,,,0.000,13.889,Pinned,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Host-to-Device]
2439213055,662300,136,1000000,1,1,3,1,1,20,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"get_dst(float *, float *, float *, float *, float *)"
2439879099,661693,137,1000000,1,1,1,1,1,19,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"regroup(int *, float *, int)"
2440544569,1568,138,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"clear(float *, float *, int *, int *)"
2440550137,181237013,139,1,1,1,3,1,1,28,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step1(float *, float *, int *, int *, float *, float *, int *, int)"
2621791598,1856,140,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step2(float *, float *, float *, float *, int *, int *)"
2621794542,661852,141,1000000,1,1,3,1,1,20,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"get_dst(float *, float *, float *, float *, float *)"
2622457802,661757,142,1000000,1,1,1,1,1,19,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"regroup(int *, float *, int)"
2623120711,1632,143,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"clear(float *, float *, int *, int *)"
2623123719,181447678,144,1,1,1,3,1,1,28,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step1(float *, float *, int *, int *, float *, float *, int *, int)"
2804572773,1664,145,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step2(float *, float *, float *, float *, int *, int *)"
2804575557,661660,146,1000000,1,1,3,1,1,20,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"get_dst(float *, float *, float *, float *, float *)"
2805238593,661597,147,1000000,1,1,1,1,1,19,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"regroup(int *, float *, int)"
2805901278,1408,148,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"clear(float *, float *, int *, int *)"
2805904062,181501216,149,1,1,1,3,1,1,28,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step1(float *, float *, int *, int *, float *, float *, int *, int)"
2987406430,1856,150,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step2(float *, float *, float *, float *, int *, int *)"
2987409726,661693,151,1000000,1,1,3,1,1,20,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"get_dst(float *, float *, float *, float *, float *)"
2988072795,661532,152,1000000,1,1,1,1,1,19,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"regroup(int *, float *, int)"
2988735447,1216,153,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"clear(float *, float *, int *, int *)"
2988737816,181512832,154,1,1,1,3,1,1,28,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step1(float *, float *, int *, int *, float *, float *, int *, int)"
3170251736,1856,155,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step2(float *, float *, float *, float *, int *, int *)"
3170254968,661820,156,1000000,1,1,3,1,1,20,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"get_dst(float *, float *, float *, float *, float *)"
3170918164,661693,157,1000000,1,1,1,1,1,19,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"regroup(int *, float *, int)"
3171580977,1440,158,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"clear(float *, float *, int *, int *)"
3171583633,181184466,159,1,1,1,3,1,1,28,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step1(float *, float *, int *, int *, float *, float *, int *, int)"
3352769251,1664,160,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step2(float *, float *, float *, float *, int *, int *)"
3352772323,661661,161,1000000,1,1,3,1,1,20,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"get_dst(float *, float *, float *, float *, float *)"
3353435360,661565,162,1000000,1,1,1,1,1,19,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"regroup(int *, float *, int)"
3354097981,1472,163,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"clear(float *, float *, int *, int *)"
3354100829,181498720,164,1,1,1,3,1,1,28,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step1(float *, float *, int *, int *, float *, float *, int *, int)"
3535600893,1952,165,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"recenter_step2(float *, float *, float *, float *, int *, int *)"
