Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
63.6,4323592957,1001,4319273.7,4324822.0,4611,4372215,137744.6,cudaDeviceSynchronize
16.8,1140333996,2,570166998.0,570166998.0,17952,1140316044,806312513.4,cudaEventCreate
11.5,782785485,4000,195696.4,188902.5,137446,448867,57167.4,cudaMemcpy
4.4,301918759,4000,75479.7,76981.5,1913,3373926,92062.7,cudaFree
2.7,180453017,4000,45113.3,72453.0,1656,2347477,64464.5,cudaMalloc
0.9,63995561,3000,21331.9,15347.5,10619,596740,19907.2,cudaLaunchKernel
0.0,1272725,1000,1272.7,1158.0,846,39327,1982.7,cuInit
0.0,117535,2,58767.5,58767.5,46987,70548,16660.1,cudaEventRecord
0.0,14911,1,14911.0,14911.0,14911,14911,0.0,cudaEventSynchronize
0.0,4929,1,4929.0,4929.0,4929,4929,0.0,cuModuleGetLoadingMode
0.0,3124,2,1562.0,1562.0,470,2654,1544.3,cudaEventDestroy
