Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
294313219,4929,cuModuleGetLoadingMode,0,1,5052,5052,20,knn
304944515,1140316044,cudaEventCreate,0,118,5052,5052,20,knn
1445262321,17952,cudaEventCreate,0,119,5052,5052,20,knn
4284697383,70548,cudaEventRecord,0,120,5052,5052,20,knn
4284769722,2050,cuInit,0,121,5052,5052,20,knn
4284772732,185804,cudaMalloc,0,122,5052,5052,20,knn
4284959154,118192,cudaMalloc,0,123,5052,5052,20,knn
4285077762,4733,cudaMalloc,0,124,5052,5052,20,knn
4285082680,3402,cudaMalloc,0,125,5052,5052,20,knn
4285086896,226130,cudaMemcpy,0,126,5052,5052,20,knn
4285313327,237965,cudaMemcpy,0,127,5052,5052,20,knn
4285560682,596740,cudaLaunchKernel,0,128,5052,5052,20,knn
4286158935,523058,cudaLaunchKernel,0,129,5052,5052,20,knn
4286683883,71701,cudaLaunchKernel,0,130,5052,5052,20,knn
4286756516,4031297,cudaDeviceSynchronize,0,131,5052,5052,20,knn
4290791591,322937,cudaMemcpy,0,132,5052,5052,20,knn
4291114870,304111,cudaMemcpy,0,133,5052,5052,20,knn
4291420108,12649,cudaFree,0,134,5052,5052,20,knn
4291432961,3965,cudaFree,0,135,5052,5052,20,knn
4291437074,208406,cudaFree,0,136,5052,5052,20,knn
4291646252,191874,cudaFree,0,137,5052,5052,20,knn
4291839381,1758,cuInit,0,138,5052,5052,20,knn
4291841590,99266,cudaMalloc,0,139,5052,5052,20,knn
4291941309,92595,cudaMalloc,0,140,5052,5052,20,knn
4292034445,3957,cudaMalloc,0,141,5052,5052,20,knn
4292038559,2864,cudaMalloc,0,142,5052,5052,20,knn
4292041697,210902,cudaMemcpy,0,143,5052,5052,20,knn
4292253035,228677,cudaMemcpy,0,144,5052,5052,20,knn
4292488554,36785,cudaLaunchKernel,0,145,5052,5052,20,knn
4292526381,15429,cudaLaunchKernel,0,146,5052,5052,20,knn
4292542419,119589,cudaLaunchKernel,0,147,5052,5052,20,knn
4292662756,4208627,cudaDeviceSynchronize,0,148,5052,5052,20,knn
4296873710,183090,cudaMemcpy,0,149,5052,5052,20,knn
4297057270,164463,cudaMemcpy,0,150,5052,5052,20,knn
4297222464,11000,cudaFree,0,151,5052,5052,20,knn
4297233651,3569,cudaFree,0,152,5052,5052,20,knn
4297237370,184157,cudaFree,0,153,5052,5052,20,knn
4297422175,132027,cudaFree,0,154,5052,5052,20,knn
4297555210,1237,cuInit,0,155,5052,5052,20,knn
4297556867,97213,cudaMalloc,0,156,5052,5052,20,knn
4297654458,251266,cudaMalloc,0,157,5052,5052,20,knn
4297906350,4137,cudaMalloc,0,158,5052,5052,20,knn
4297910799,6416,cudaMalloc,0,159,5052,5052,20,knn
4297917647,307439,cudaMemcpy,0,160,5052,5052,20,knn
4298225730,223675,cudaMemcpy,0,161,5052,5052,20,knn
4298454541,32200,cudaLaunchKernel,0,162,5052,5052,20,knn
4298487460,18807,cudaLaunchKernel,0,163,5052,5052,20,knn
4298506951,11409,cudaLaunchKernel,0,164,5052,5052,20,knn
4298518951,4333912,cudaDeviceSynchronize,0,165,5052,5052,20,knn
4302854454,154922,cudaMemcpy,0,166,5052,5052,20,knn
4303009671,151554,cudaMemcpy,0,167,5052,5052,20,knn
4303161985,9893,cudaFree,0,168,5052,5052,20,knn
4303172082,3220,cudaFree,0,169,5052,5052,20,knn
4303175449,175280,cudaFree,0,170,5052,5052,20,knn
4303351419,129431,cudaFree,0,171,5052,5052,20,knn
4303481811,1298,cuInit,0,172,5052,5052,20,knn
4303483435,87739,cudaMalloc,0,173,5052,5052,20,knn
4303571459,82046,cudaMalloc,0,174,5052,5052,20,knn
4303653871,3367,cudaMalloc,0,175,5052,5052,20,knn
4303657373,2700,cudaMalloc,0,176,5052,5052,20,knn
