Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
90.7,11650209888,1001,11638571.3,4354166.0,11913,7300876839,230621219.1,cudaDeviceSynchronize
9.0,1154662426,4,288665606.5,29606.0,4462,1154598752,577288764.1,cudaMallocManaged
0.3,38734959,3000,12911.7,11702.5,9704,554958,14836.9,cudaLaunchKernel
0.0,3193397,4,798349.3,100580.5,18617,2973619,1451663.5,cudaFree
0.0,532387,1000,532.4,496.0,468,28554,888.8,cuInit
0.0,105595,2,52797.5,52797.5,50496,55099,3254.8,cudaEventRecord
0.0,77264,2,38632.0,38632.0,20532,56732,25597.3,cudaEventCreate
0.0,16571,1,16571.0,16571.0,16571,16571,0.0,cudaEventSynchronize
0.0,6173,2,3086.5,3086.5,544,5629,3595.6,cudaEventDestroy
0.0,4244,1,4244.0,4244.0,4244,4244,0.0,cuModuleGetLoadingMode
