Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
291175281,4244,cuModuleGetLoadingMode,0,1,7598,7598,20,knn
302183497,1154598752,cudaMallocManaged,0,118,7598,7598,20,knn
1456784879,7537,cudaMallocManaged,0,119,7598,7598,20,knn
1456792675,51675,cudaMallocManaged,0,120,7598,7598,20,knn
1456844860,4462,cudaMallocManaged,0,121,7598,7598,20,knn
4300051103,56732,cudaEventCreate,0,122,7598,7598,20,knn
4300108384,20532,cudaEventCreate,0,123,7598,7598,20,knn
4300157526,50496,cudaEventRecord,0,124,7598,7598,20,knn
4300208942,1818,cuInit,0,125,7598,7598,20,knn
4300217526,331833,cudaLaunchKernel,0,126,7598,7598,20,knn
4300550549,554958,cudaLaunchKernel,0,127,7598,7598,20,knn
4301107578,76446,cudaLaunchKernel,0,128,7598,7598,20,knn
4301184902,7300876839,cudaDeviceSynchronize,0,129,7598,7598,20,knn
11602068032,1450,cuInit,0,130,7598,7598,20,knn
11602073938,43230,cudaLaunchKernel,0,131,7598,7598,20,knn
11602118162,15303,cudaLaunchKernel,0,132,7598,7598,20,knn
11602134470,41594,cudaLaunchKernel,0,133,7598,7598,20,knn
11602176583,4307238,cudaDeviceSynchronize,0,134,7598,7598,20,knn
11606485222,622,cuInit,0,135,7598,7598,20,knn
11606486736,13853,cudaLaunchKernel,0,136,7598,7598,20,knn
11606501089,17198,cudaLaunchKernel,0,137,7598,7598,20,knn
11606518880,11238,cudaLaunchKernel,0,138,7598,7598,20,knn
11606530610,4351937,cudaDeviceSynchronize,0,139,7598,7598,20,knn
11610883936,566,cuInit,0,140,7598,7598,20,knn
11610885338,13567,cudaLaunchKernel,0,141,7598,7598,20,knn
11610899412,10363,cudaLaunchKernel,0,142,7598,7598,20,knn
11610910192,10808,cudaLaunchKernel,0,143,7598,7598,20,knn
11610921324,4369824,cudaDeviceSynchronize,0,144,7598,7598,20,knn
11615292434,518,cuInit,0,145,7598,7598,20,knn
11615293734,13527,cudaLaunchKernel,0,146,7598,7598,20,knn
11615307723,11496,cudaLaunchKernel,0,147,7598,7598,20,knn
11615319695,10870,cudaLaunchKernel,0,148,7598,7598,20,knn
11615330931,4360058,cudaDeviceSynchronize,0,149,7598,7598,20,knn
11619692059,517,cuInit,0,150,7598,7598,20,knn
11619693483,12847,cudaLaunchKernel,0,151,7598,7598,20,knn
11619706853,10169,cudaLaunchKernel,0,152,7598,7598,20,knn
11619717404,12879,cudaLaunchKernel,0,153,7598,7598,20,knn
11619730674,4344321,cudaDeviceSynchronize,0,154,7598,7598,20,knn
11624076294,519,cuInit,0,155,7598,7598,20,knn
11624077615,12927,cudaLaunchKernel,0,156,7598,7598,20,knn
11624091041,10367,cudaLaunchKernel,0,157,7598,7598,20,knn
11624101846,10368,cudaLaunchKernel,0,158,7598,7598,20,knn
11624112561,4361806,cudaDeviceSynchronize,0,159,7598,7598,20,knn
11628475694,492,cuInit,0,160,7598,7598,20,knn
11628477014,13504,cudaLaunchKernel,0,161,7598,7598,20,knn
11628491086,12475,cudaLaunchKernel,0,162,7598,7598,20,knn
11628503993,10952,cudaLaunchKernel,0,163,7598,7598,20,knn
11628515274,4345660,cudaDeviceSynchronize,0,164,7598,7598,20,knn
11632862334,529,cuInit,0,165,7598,7598,20,knn
11632863710,13431,cudaLaunchKernel,0,166,7598,7598,20,knn
11632877610,11352,cudaLaunchKernel,0,167,7598,7598,20,knn
11632889409,11007,cudaLaunchKernel,0,168,7598,7598,20,knn
11632900766,4337245,cudaDeviceSynchronize,0,169,7598,7598,20,knn
11637239417,496,cuInit,0,170,7598,7598,20,knn
11637240752,13147,cudaLaunchKernel,0,171,7598,7598,20,knn
11637254360,14066,cudaLaunchKernel,0,172,7598,7598,20,knn
11637268917,11175,cudaLaunchKernel,0,173,7598,7598,20,knn
11637280459,4363872,cudaDeviceSynchronize,0,174,7598,7598,20,knn
11641645647,484,cuInit,0,175,7598,7598,20,knn
11641646969,13231,cudaLaunchKernel,0,176,7598,7598,20,knn
11641660652,11816,cudaLaunchKernel,0,177,7598,7598,20,knn
11641672920,10804,cudaLaunchKernel,0,178,7598,7598,20,knn
11641684076,4353435,cudaDeviceSynchronize,0,179,7598,7598,20,knn
11646038908,498,cuInit,0,180,7598,7598,20,knn
11646040330,12836,cudaLaunchKernel,0,181,7598,7598,20,knn
11646053641,11761,cudaLaunchKernel,0,182,7598,7598,20,knn
11646065878,10863,cudaLaunchKernel,0,183,7598,7598,20,knn
11646077109,4364153,cudaDeviceSynchronize,0,184,7598,7598,20,knn
11650442555,528,cuInit,0,185,7598,7598,20,knn
11650443936,13018,cudaLaunchKernel,0,186,7598,7598,20,knn
11650457419,10413,cudaLaunchKernel,0,187,7598,7598,20,knn
11650468262,13487,cudaLaunchKernel,0,188,7598,7598,20,knn
11650482141,4341167,cudaDeviceSynchronize,0,189,7598,7598,20,knn
11654824522,574,cuInit,0,190,7598,7598,20,knn
11654825892,15723,cudaLaunchKernel,0,191,7598,7598,20,knn
11654842117,11091,cudaLaunchKernel,0,192,7598,7598,20,knn
11654853649,10918,cudaLaunchKernel,0,193,7598,7598,20,knn
11654864912,4368477,cudaDeviceSynchronize,0,194,7598,7598,20,knn
11659234695,483,cuInit,0,195,7598,7598,20,knn
11659235989,13065,cudaLaunchKernel,0,196,7598,7598,20,knn
11659249545,10003,cudaLaunchKernel,0,197,7598,7598,20,knn
11659259998,10702,cudaLaunchKernel,0,198,7598,7598,20,knn
11659271041,4391660,cudaDeviceSynchronize,0,199,7598,7598,20,knn
11663663865,500,cuInit,0,200,7598,7598,20,knn
11663665159,13190,cudaLaunchKernel,0,201,7598,7598,20,knn
11663678790,12165,cudaLaunchKernel,0,202,7598,7598,20,knn
11663691530,11141,cudaLaunchKernel,0,203,7598,7598,20,knn
11663703160,4360397,cudaDeviceSynchronize,0,204,7598,7598,20,knn
11668064692,501,cuInit,0,205,7598,7598,20,knn
11668066008,13309,cudaLaunchKernel,0,206,7598,7598,20,knn
11668079746,12824,cudaLaunchKernel,0,207,7598,7598,20,knn
11668093040,10818,cudaLaunchKernel,0,208,7598,7598,20,knn
11668104228,4343175,cudaDeviceSynchronize,0,209,7598,7598,20,knn
11672448553,486,cuInit,0,210,7598,7598,20,knn
11672449871,13269,cudaLaunchKernel,0,211,7598,7598,20,knn
11672463572,10032,cudaLaunchKernel,0,212,7598,7598,20,knn
11672474028,10849,cudaLaunchKernel,0,213,7598,7598,20,knn
11672485216,4364450,cudaDeviceSynchronize,0,214,7598,7598,20,knn
11676850961,497,cuInit,0,215,7598,7598,20,knn
11676852282,12721,cudaLaunchKernel,0,216,7598,7598,20,knn
11676865493,9863,cudaLaunchKernel,0,217,7598,7598,20,knn
11676875737,10755,cudaLaunchKernel,0,218,7598,7598,20,knn
11676886837,4360384,cudaDeviceSynchronize,0,219,7598,7598,20,knn
11681248532,520,cuInit,0,220,7598,7598,20,knn
11681249880,12740,cudaLaunchKernel,0,221,7598,7598,20,knn
11681263076,11804,cudaLaunchKernel,0,222,7598,7598,20,knn
11681275317,10923,cudaLaunchKernel,0,223,7598,7598,20,knn
11681286592,4339882,cudaDeviceSynchronize,0,224,7598,7598,20,knn
11685627846,499,cuInit,0,225,7598,7598,20,knn
11685629233,15241,cudaLaunchKernel,0,226,7598,7598,20,knn
11685644963,10450,cudaLaunchKernel,0,227,7598,7598,20,knn
11685655841,10563,cudaLaunchKernel,0,228,7598,7598,20,knn
11685666742,4360409,cudaDeviceSynchronize,0,229,7598,7598,20,knn
11690028447,510,cuInit,0,230,7598,7598,20,knn
11690029811,12912,cudaLaunchKernel,0,231,7598,7598,20,knn
11690043177,11614,cudaLaunchKernel,0,232,7598,7598,20,knn
11690055234,10595,cudaLaunchKernel,0,233,7598,7598,20,knn
11690066171,4367352,cudaDeviceSynchronize,0,234,7598,7598,20,knn
11694434863,491,cuInit,0,235,7598,7598,20,knn
11694436133,13200,cudaLaunchKernel,0,236,7598,7598,20,knn
11694449792,11382,cudaLaunchKernel,0,237,7598,7598,20,knn
11694461608,10800,cudaLaunchKernel,0,238,7598,7598,20,knn
11694472744,4341498,cudaDeviceSynchronize,0,239,7598,7598,20,knn
11698815512,493,cuInit,0,240,7598,7598,20,knn
11698816864,12865,cudaLaunchKernel,0,241,7598,7598,20,knn
11698830206,11174,cudaLaunchKernel,0,242,7598,7598,20,knn
11698841806,13066,cudaLaunchKernel,0,243,7598,7598,20,knn
11698855266,4358851,cudaDeviceSynchronize,0,244,7598,7598,20,knn
11703215323,513,cuInit,0,245,7598,7598,20,knn
11703216622,12983,cudaLaunchKernel,0,246,7598,7598,20,knn
11703230063,10135,cudaLaunchKernel,0,247,7598,7598,20,knn
11703240620,10672,cudaLaunchKernel,0,248,7598,7598,20,knn
11703251635,4357970,cudaDeviceSynchronize,0,249,7598,7598,20,knn
11707610931,491,cuInit,0,250,7598,7598,20,knn
11707612257,12885,cudaLaunchKernel,0,251,7598,7598,20,knn
11707625591,41135,cudaLaunchKernel,0,252,7598,7598,20,knn
11707667326,12201,cudaLaunchKernel,0,253,7598,7598,20,knn
11707679888,4332904,cudaDeviceSynchronize,0,254,7598,7598,20,knn
11712013975,491,cuInit,0,255,7598,7598,20,knn
11712015272,12960,cudaLaunchKernel,0,256,7598,7598,20,knn
11712028677,11318,cudaLaunchKernel,0,257,7598,7598,20,knn
11712040430,10504,cudaLaunchKernel,0,258,7598,7598,20,knn
11712051282,4345589,cudaDeviceSynchronize,0,259,7598,7598,20,knn
11716398019,498,cuInit,0,260,7598,7598,20,knn
11716399349,15880,cudaLaunchKernel,0,261,7598,7598,20,knn
