Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
86.8,4322544936,1001,4318226.7,4322854.0,3979,4363304,137106.5,cudaDeviceSynchronize
4.1,203656031,4000,50914.0,44475.5,39403,263405,13943.4,cudaMemcpy
3.3,163361499,2,81680749.5,81680749.5,840,163360659,115512835.8,cudaEventCreate
2.9,144053483,4000,36013.4,47590.0,1757,886800,36365.4,cudaFree
2.4,117571437,4000,29392.9,40068.5,1722,2022571,43371.0,cudaMalloc
0.6,29676291,3000,9892.1,5936.0,3553,5347803,97617.2,cudaLaunchKernel
0.0,917764,1000,917.8,885.0,730,27514,844.1,cuInit
0.0,31949,2,15974.5,15974.5,7393,24556,12136.1,cudaEventRecord
0.0,10572,1,10572.0,10572.0,10572,10572,0.0,cudaEventSynchronize
0.0,6104,2,3052.0,3052.0,621,5483,3438.0,cudaEventDestroy
0.0,3921,1,3921.0,3921.0,3921,3921,0.0,cuModuleGetLoadingMode
