Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
271862544,3921,cuModuleGetLoadingMode,0,1,1732,1732,20,knn
274218576,163360659,cudaEventCreate,0,118,1732,1732,20,knn
437580606,840,cudaEventCreate,0,119,1732,1732,20,knn
3270152799,24556,cudaEventRecord,0,120,1732,1732,20,knn
3270178563,1602,cuInit,0,121,1732,1732,20,knn
3270185478,131728,cudaMalloc,0,122,1732,1732,20,knn
3270317723,92053,cudaMalloc,0,123,1732,1732,20,knn
3270410149,4560,cudaMalloc,0,124,1732,1732,20,knn
3270414892,3165,cudaMalloc,0,125,1732,1732,20,knn
3272502207,87502,cudaMemcpy,0,126,1732,1732,20,knn
3272590446,68219,cudaMemcpy,0,127,1732,1732,20,knn
3272665330,5347803,cudaLaunchKernel,0,128,1732,1732,20,knn
3278016855,37002,cudaLaunchKernel,0,129,1732,1732,20,knn
3278054836,20227,cudaLaunchKernel,0,130,1732,1732,20,knn
3278075890,4262399,cudaDeviceSynchronize,0,131,1732,1732,20,knn
3282341846,263405,cudaMemcpy,0,132,1732,1732,20,knn
3282605690,247699,cudaMemcpy,0,133,1732,1732,20,knn
3282854406,9508,cudaFree,0,134,1732,1732,20,knn
3282864325,3167,cudaFree,0,135,1732,1732,20,knn
3282867684,116128,cudaFree,0,136,1732,1732,20,knn
3282984189,83991,cudaFree,0,137,1732,1732,20,knn
3283069271,1418,cuInit,0,138,1732,1732,20,knn
3283071138,84510,cudaMalloc,0,139,1732,1732,20,knn
3283156036,71339,cudaMalloc,0,140,1732,1732,20,knn
3283228218,4846,cudaMalloc,0,141,1732,1732,20,knn
3283233283,4438,cudaMalloc,0,142,1732,1732,20,knn
3283238262,57872,cudaMemcpy,0,143,1732,1732,20,knn
3283296528,66165,cudaMemcpy,0,144,1732,1732,20,knn
3283365865,16559,cudaLaunchKernel,0,145,1732,1732,20,knn
3283383099,7171,cudaLaunchKernel,0,146,1732,1732,20,knn
3283403539,7888,cudaLaunchKernel,0,147,1732,1732,20,knn
3283411899,4295961,cudaDeviceSynchronize,0,148,1732,1732,20,knn
3287709396,48115,cudaMemcpy,0,149,1732,1732,20,knn
3287757950,40752,cudaMemcpy,0,150,1732,1732,20,knn
3287799119,6690,cudaFree,0,151,1732,1732,20,knn
3287806047,2879,cudaFree,0,152,1732,1732,20,knn
3287809224,84311,cudaFree,0,153,1732,1732,20,knn
3287893761,72721,cudaFree,0,154,1732,1732,20,knn
3287967232,1284,cuInit,0,155,1732,1732,20,knn
3287968767,70527,cudaMalloc,0,156,1732,1732,20,knn
3288040766,70013,cudaMalloc,0,157,1732,1732,20,knn
3288111045,4607,cudaMalloc,0,158,1732,1732,20,knn
3288115989,3901,cudaMalloc,0,159,1732,1732,20,knn
3288120175,50217,cudaMemcpy,0,160,1732,1732,20,knn
3288170708,60716,cudaMemcpy,0,161,1732,1732,20,knn
3288233588,13001,cudaLaunchKernel,0,162,1732,1732,20,knn
3288247076,7400,cudaLaunchKernel,0,163,1732,1732,20,knn
3288255198,5054,cudaLaunchKernel,0,164,1732,1732,20,knn
3288260680,4336711,cudaDeviceSynchronize,0,165,1732,1732,20,knn
3292598726,45346,cudaMemcpy,0,166,1732,1732,20,knn
3292644380,41242,cudaMemcpy,0,167,1732,1732,20,knn
3292685965,5036,cudaFree,0,168,1732,1732,20,knn
3292691220,2708,cudaFree,0,169,1732,1732,20,knn
3292694115,75662,cudaFree,0,170,1732,1732,20,knn
3292770001,69280,cudaFree,0,171,1732,1732,20,knn
3292839855,1070,cuInit,0,172,1732,1732,20,knn
3292841268,59926,cudaMalloc,0,173,1732,1732,20,knn
3292901494,61677,cudaMalloc,0,174,1732,1732,20,knn
3292963407,2611,cudaMalloc,0,175,1732,1732,20,knn
3292966222,2475,cudaMalloc,0,176,1732,1732,20,knn
3292968978,46078,cudaMemcpy,0,177,1732,1732,20,knn
3293015332,58335,cudaMemcpy,0,178,1732,1732,20,knn
3293075750,13017,cudaLaunchKernel,0,179,1732,1732,20,knn
3293089301,5124,cudaLaunchKernel,0,180,1732,1732,20,knn
3293094826,5594,cudaLaunchKernel,0,181,1732,1732,20,knn
3293100733,4322412,cudaDeviceSynchronize,0,182,1732,1732,20,knn
3297424574,45963,cudaMemcpy,0,183,1732,1732,20,knn
3297470855,40169,cudaMemcpy,0,184,1732,1732,20,knn
3297511513,4951,cudaFree,0,185,1732,1732,20,knn
3297516683,2327,cudaFree,0,186,1732,1732,20,knn
3297519173,74204,cudaFree,0,187,1732,1732,20,knn
3297593577,68992,cudaFree,0,188,1732,1732,20,knn
3297663141,994,cuInit,0,189,1732,1732,20,knn
3297664416,58521,cudaMalloc,0,190,1732,1732,20,knn
3297723224,56150,cudaMalloc,0,191,1732,1732,20,knn
3297779594,2856,cudaMalloc,0,192,1732,1732,20,knn
3297782652,2177,cudaMalloc,0,193,1732,1732,20,knn
3297785079,45161,cudaMemcpy,0,194,1732,1732,20,knn
3297830571,60691,cudaMemcpy,0,195,1732,1732,20,knn
3297893355,13577,cudaLaunchKernel,0,196,1732,1732,20,knn
3297907404,6044,cudaLaunchKernel,0,197,1732,1732,20,knn
3297913887,6977,cudaLaunchKernel,0,198,1732,1732,20,knn
3297921265,4321148,cudaDeviceSynchronize,0,199,1732,1732,20,knn
3302243647,43838,cudaMemcpy,0,200,1732,1732,20,knn
3302287797,44055,cudaMemcpy,0,201,1732,1732,20,knn
3302332202,5070,cudaFree,0,202,1732,1732,20,knn
3302337491,2338,cudaFree,0,203,1732,1732,20,knn
3302339996,73030,cudaFree,0,204,1732,1732,20,knn
3302413243,67713,cudaFree,0,205,1732,1732,20,knn
3302481489,879,cuInit,0,206,1732,1732,20,knn
3302482616,61618,cudaMalloc,0,207,1732,1732,20,knn
3302544537,61268,cudaMalloc,0,208,1732,1732,20,knn
3302606068,4127,cudaMalloc,0,209,1732,1732,20,knn
3302610343,2197,cudaMalloc,0,210,1732,1732,20,knn
3302612823,46057,cudaMemcpy,0,211,1732,1732,20,knn
3302659159,57721,cudaMemcpy,0,212,1732,1732,20,knn
3302719014,11863,cudaLaunchKernel,0,213,1732,1732,20,knn
3302731463,5524,cudaLaunchKernel,0,214,1732,1732,20,knn
3302737398,5717,cudaLaunchKernel,0,215,1732,1732,20,knn
3302743422,4318222,cudaDeviceSynchronize,0,216,1732,1732,20,knn
3307062862,45147,cudaMemcpy,0,217,1732,1732,20,knn
3307108287,40730,cudaMemcpy,0,218,1732,1732,20,knn
3307149347,4590,cudaFree,0,219,1732,1732,20,knn
3307154137,2198,cudaFree,0,220,1732,1732,20,knn
3307156499,69638,cudaFree,0,221,1732,1732,20,knn
3307226352,66504,cudaFree,0,222,1732,1732,20,knn
3307293372,885,cuInit,0,223,1732,1732,20,knn
3307294524,60577,cudaMalloc,0,224,1732,1732,20,knn
3307355362,68572,cudaMalloc,0,225,1732,1732,20,knn
3307425164,3408,cudaMalloc,0,226,1732,1732,20,knn
3307428796,2557,cudaMalloc,0,227,1732,1732,20,knn
3307431657,47299,cudaMemcpy,0,228,1732,1732,20,knn
3307479230,58303,cudaMemcpy,0,229,1732,1732,20,knn
3307540042,13043,cudaLaunchKernel,0,230,1732,1732,20,knn
3307553553,6145,cudaLaunchKernel,0,231,1732,1732,20,knn
3307560129,5434,cudaLaunchKernel,0,232,1732,1732,20,knn
3307565861,4312932,cudaDeviceSynchronize,0,233,1732,1732,20,knn
3311880169,44777,cudaMemcpy,0,234,1732,1732,20,knn
3311925250,40219,cudaMemcpy,0,235,1732,1732,20,knn
3311965803,4849,cudaFree,0,236,1732,1732,20,knn
3311970961,2119,cudaFree,0,237,1732,1732,20,knn
3311973244,71633,cudaFree,0,238,1732,1732,20,knn
3312045094,67052,cudaFree,0,239,1732,1732,20,knn
3312112718,958,cuInit,0,240,1732,1732,20,knn
3312114003,59447,cudaMalloc,0,241,1732,1732,20,knn
3312173769,61564,cudaMalloc,0,242,1732,1732,20,knn
3312235572,3645,cudaMalloc,0,243,1732,1732,20,knn
3312239371,2172,cudaMalloc,0,244,1732,1732,20,knn
3312241931,46010,cudaMemcpy,0,245,1732,1732,20,knn
3312288270,57960,cudaMemcpy,0,246,1732,1732,20,knn
3312348071,11861,cudaLaunchKernel,0,247,1732,1732,20,knn
3312360462,6296,cudaLaunchKernel,0,248,1732,1732,20,knn
3312367145,5637,cudaLaunchKernel,0,249,1732,1732,20,knn
3312373152,4318193,cudaDeviceSynchronize,0,250,1732,1732,20,knn
3316692495,45081,cudaMemcpy,0,251,1732,1732,20,knn
3316737996,40522,cudaMemcpy,0,252,1732,1732,20,knn
3316779022,4312,cudaFree,0,253,1732,1732,20,knn
3316783530,2064,cudaFree,0,254,1732,1732,20,knn
3316785761,70544,cudaFree,0,255,1732,1732,20,knn
3316856518,66509,cudaFree,0,256,1732,1732,20,knn
3316923560,938,cuInit,0,257,1732,1732,20,knn
3316924801,59486,cudaMalloc,0,258,1732,1732,20,knn
3316984612,58910,cudaMalloc,0,259,1732,1732,20,knn
3317043741,2240,cudaMalloc,0,260,1732,1732,20,knn
3317046248,2161,cudaMalloc,0,261,1732,1732,20,knn
3317048667,50704,cudaMemcpy,0,262,1732,1732,20,knn
3317099623,57817,cudaMemcpy,0,263,1732,1732,20,knn
3317159468,12466,cudaLaunchKernel,0,264,1732,1732,20,knn
3317172329,6455,cudaLaunchKernel,0,265,1732,1732,20,knn
3317179279,4727,cudaLaunchKernel,0,266,1732,1732,20,knn
3317184337,4322376,cudaDeviceSynchronize,0,267,1732,1732,20,knn
3321507842,44528,cudaMemcpy,0,268,1732,1732,20,knn
3321552674,40044,cudaMemcpy,0,269,1732,1732,20,knn
3321593084,4285,cudaFree,0,270,1732,1732,20,knn
3321597557,2089,cudaFree,0,271,1732,1732,20,knn
3321599814,69102,cudaFree,0,272,1732,1732,20,knn
3321669132,66577,cudaFree,0,273,1732,1732,20,knn
3321736235,884,cuInit,0,274,1732,1732,20,knn
3321737361,55519,cudaMalloc,0,275,1732,1732,20,knn
3321793152,53811,cudaMalloc,0,276,1732,1732,20,knn
3321847187,2183,cudaMalloc,0,277,1732,1732,20,knn
3321849500,2040,cudaMalloc,0,278,1732,1732,20,knn
3321851768,44166,cudaMemcpy,0,279,1732,1732,20,knn
3321896211,82353,cudaMemcpy,0,280,1732,1732,20,knn
3321980749,12526,cudaLaunchKernel,0,281,1732,1732,20,knn
3321993843,5716,cudaLaunchKernel,0,282,1732,1732,20,knn
3321999995,6101,cudaLaunchKernel,0,283,1732,1732,20,knn
3322006417,4315330,cudaDeviceSynchronize,0,284,1732,1732,20,knn
3326322929,44708,cudaMemcpy,0,285,1732,1732,20,knn
3326367951,47217,cudaMemcpy,0,286,1732,1732,20,knn
3326415498,4407,cudaFree,0,287,1732,1732,20,knn
3326420090,2437,cudaFree,0,288,1732,1732,20,knn
3326422695,71053,cudaFree,0,289,1732,1732,20,knn
3326493956,65967,cudaFree,0,290,1732,1732,20,knn
3326560500,897,cuInit,0,291,1732,1732,20,knn
3326561631,56330,cudaMalloc,0,292,1732,1732,20,knn
3326618254,53917,cudaMalloc,0,293,1732,1732,20,knn
3326672388,2158,cudaMalloc,0,294,1732,1732,20,knn
3326674686,6028,cudaMalloc,0,295,1732,1732,20,knn
3326681002,44453,cudaMemcpy,0,296,1732,1732,20,knn
3326725764,64456,cudaMemcpy,0,297,1732,1732,20,knn
3326791960,12001,cudaLaunchKernel,0,298,1732,1732,20,knn
3326804444,4527,cudaLaunchKernel,0,299,1732,1732,20,knn
3326809318,6563,cudaLaunchKernel,0,300,1732,1732,20,knn
3326816189,4344652,cudaDeviceSynchronize,0,301,1732,1732,20,knn
3331162125,44599,cudaMemcpy,0,302,1732,1732,20,knn
3331206997,40199,cudaMemcpy,0,303,1732,1732,20,knn
3331247640,4603,cudaFree,0,304,1732,1732,20,knn
3331252565,2236,cudaFree,0,305,1732,1732,20,knn
3331254970,72355,cudaFree,0,306,1732,1732,20,knn
3331327537,76001,cudaFree,0,307,1732,1732,20,knn
3331404133,1047,cuInit,0,308,1732,1732,20,knn
3331405570,57347,cudaMalloc,0,309,1732,1732,20,knn
