Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
95.5,4381189723,1001,4376812.9,4367022.0,6911,19143519,487170.4,cudaDeviceSynchronize
4.1,188855261,4,47213815.3,44519.0,4795,188761428,94365079.1,cudaMallocManaged
0.4,17663238,3000,5887.7,5345.5,3278,268789,5372.3,cudaLaunchKernel
0.0,1047105,4,261776.3,49661.0,12560,935223,449666.6,cudaFree
0.0,483950,1000,484.0,481.0,462,1505,38.7,cuInit
0.0,30554,2,15277.0,15277.0,8279,22275,9896.7,cudaEventRecord
0.0,15791,2,7895.5,7895.5,1441,14350,9128.0,cudaEventCreate
0.0,10108,1,10108.0,10108.0,10108,10108,0.0,cudaEventSynchronize
0.0,5908,2,2954.0,2954.0,634,5274,3281.0,cudaEventDestroy
0.0,3965,1,3965.0,3965.0,3965,3965,0.0,cuModuleGetLoadingMode
