Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
257184530,3965,cuModuleGetLoadingMode,0,1,4407,4407,20,knn
259874958,188761428,cudaMallocManaged,0,118,4407,4407,20,knn
448639019,20281,cudaMallocManaged,0,119,4407,4407,20,knn
448659546,68757,cudaMallocManaged,0,120,4407,4407,20,knn
448728704,4795,cudaMallocManaged,0,121,4407,4407,20,knn
3292717292,14350,cudaEventCreate,0,122,4407,4407,20,knn
3292732122,1441,cudaEventCreate,0,123,4407,4407,20,knn
3292749614,22275,cudaEventRecord,0,124,4407,4407,20,knn
3292772910,1505,cuInit,0,125,4407,4407,20,knn
3292779841,268789,cudaLaunchKernel,0,126,4407,4407,20,knn
3293049947,37060,cudaLaunchKernel,0,127,4407,4407,20,knn
3293087629,19855,cudaLaunchKernel,0,128,4407,4407,20,knn
3293108161,19143519,cudaDeviceSynchronize,0,129,4407,4407,20,knn
3312254676,848,cuInit,0,130,4407,4407,20,knn
3312257092,9513,cudaLaunchKernel,0,131,4407,4407,20,knn
3312267072,5691,cudaLaunchKernel,0,132,4407,4407,20,knn
3312273183,4959,cudaLaunchKernel,0,133,4407,4407,20,knn
3312278412,4349767,cudaDeviceSynchronize,0,134,4407,4407,20,knn
3316629197,580,cuInit,0,135,4407,4407,20,knn
3316630709,6667,cudaLaunchKernel,0,136,4407,4407,20,knn
3316637765,6009,cudaLaunchKernel,0,137,4407,4407,20,knn
3316644141,5114,cudaLaunchKernel,0,138,4407,4407,20,knn
3316649493,4366291,cudaDeviceSynchronize,0,139,4407,4407,20,knn
3321016797,495,cuInit,0,140,4407,4407,20,knn
3321018241,7380,cudaLaunchKernel,0,141,4407,4407,20,knn
3321025932,5429,cudaLaunchKernel,0,142,4407,4407,20,knn
3321031681,4654,cudaLaunchKernel,0,143,4407,4407,20,knn
3321036597,4368145,cudaDeviceSynchronize,0,144,4407,4407,20,knn
3325405747,477,cuInit,0,145,4407,4407,20,knn
3325407143,7687,cudaLaunchKernel,0,146,4407,4407,20,knn
3325415157,4453,cudaLaunchKernel,0,147,4407,4407,20,knn
3325419908,4494,cudaLaunchKernel,0,148,4407,4407,20,knn
3325424639,4375274,cudaDeviceSynchronize,0,149,4407,4407,20,knn
3329800908,480,cuInit,0,150,4407,4407,20,knn
3329802292,7299,cudaLaunchKernel,0,151,4407,4407,20,knn
3329809917,5193,cudaLaunchKernel,0,152,4407,4407,20,knn
3329815396,4136,cudaLaunchKernel,0,153,4407,4407,20,knn
3329819755,4355994,cudaDeviceSynchronize,0,154,4407,4407,20,knn
3334176736,478,cuInit,0,155,4407,4407,20,knn
3334178083,6772,cudaLaunchKernel,0,156,4407,4407,20,knn
3334185162,6143,cudaLaunchKernel,0,157,4407,4407,20,knn
3334191652,4058,cudaLaunchKernel,0,158,4407,4407,20,knn
3334195937,4353237,cudaDeviceSynchronize,0,159,4407,4407,20,knn
3338550110,483,cuInit,0,160,4407,4407,20,knn
3338551504,6743,cudaLaunchKernel,0,161,4407,4407,20,knn
3338558579,5482,cudaLaunchKernel,0,162,4407,4407,20,knn
3338564371,3935,cudaLaunchKernel,0,163,4407,4407,20,knn
3338568525,4375729,cudaDeviceSynchronize,0,164,4407,4407,20,knn
3342945206,486,cuInit,0,165,4407,4407,20,knn
3342946582,8100,cudaLaunchKernel,0,166,4407,4407,20,knn
3342954996,5000,cudaLaunchKernel,0,167,4407,4407,20,knn
3342960305,4439,cudaLaunchKernel,0,168,4407,4407,20,knn
3342964965,4363241,cudaDeviceSynchronize,0,169,4407,4407,20,knn
3347329169,480,cuInit,0,170,4407,4407,20,knn
3347330535,6815,cudaLaunchKernel,0,171,4407,4407,20,knn
3347337675,5095,cudaLaunchKernel,0,172,4407,4407,20,knn
3347343092,5825,cudaLaunchKernel,0,173,4407,4407,20,knn
3347349151,4360457,cudaDeviceSynchronize,0,174,4407,4407,20,knn
3351710539,483,cuInit,0,175,4407,4407,20,knn
3351711949,6335,cudaLaunchKernel,0,176,4407,4407,20,knn
3351718593,5014,cudaLaunchKernel,0,177,4407,4407,20,knn
3351723884,5782,cudaLaunchKernel,0,178,4407,4407,20,knn
3351729884,4351705,cudaDeviceSynchronize,0,179,4407,4407,20,knn
3356082567,475,cuInit,0,180,4407,4407,20,knn
3356083929,6477,cudaLaunchKernel,0,181,4407,4407,20,knn
3356090725,5766,cudaLaunchKernel,0,182,4407,4407,20,knn
3356096803,4538,cudaLaunchKernel,0,183,4407,4407,20,knn
3356101562,4380914,cudaDeviceSynchronize,0,184,4407,4407,20,knn
3360483441,501,cuInit,0,185,4407,4407,20,knn
3360484825,6360,cudaLaunchKernel,0,186,4407,4407,20,knn
3360491506,5596,cudaLaunchKernel,0,187,4407,4407,20,knn
3360497392,4924,cudaLaunchKernel,0,188,4407,4407,20,knn
3360502537,4369245,cudaDeviceSynchronize,0,189,4407,4407,20,knn
3364872743,517,cuInit,0,190,4407,4407,20,knn
3364874174,7129,cudaLaunchKernel,0,191,4407,4407,20,knn
3364881607,4533,cudaLaunchKernel,0,192,4407,4407,20,knn
3364886427,4919,cudaLaunchKernel,0,193,4407,4407,20,knn
3364891563,4379052,cudaDeviceSynchronize,0,194,4407,4407,20,knn
3369271583,484,cuInit,0,195,4407,4407,20,knn
3369272956,7324,cudaLaunchKernel,0,196,4407,4407,20,knn
3369280621,4195,cudaLaunchKernel,0,197,4407,4407,20,knn
3369285075,5336,cudaLaunchKernel,0,198,4407,4407,20,knn
3369290631,4377648,cudaDeviceSynchronize,0,199,4407,4407,20,knn
3373669253,478,cuInit,0,200,4407,4407,20,knn
3373670592,6901,cudaLaunchKernel,0,201,4407,4407,20,knn
3373677794,4318,cudaLaunchKernel,0,202,4407,4407,20,knn
3373682413,9080,cudaLaunchKernel,0,203,4407,4407,20,knn
3373691731,4373347,cudaDeviceSynchronize,0,204,4407,4407,20,knn
3378066084,484,cuInit,0,205,4407,4407,20,knn
3378067453,6396,cudaLaunchKernel,0,206,4407,4407,20,knn
3378074141,4201,cudaLaunchKernel,0,207,4407,4407,20,knn
3378078639,6142,cudaLaunchKernel,0,208,4407,4407,20,knn
3378085013,4362877,cudaDeviceSynchronize,0,209,4407,4407,20,knn
3382448888,484,cuInit,0,210,4407,4407,20,knn
3382450211,6451,cudaLaunchKernel,0,211,4407,4407,20,knn
3382456970,4775,cudaLaunchKernel,0,212,4407,4407,20,knn
3382462021,5051,cudaLaunchKernel,0,213,4407,4407,20,knn
3382467301,4390039,cudaDeviceSynchronize,0,214,4407,4407,20,knn
3386858294,492,cuInit,0,215,4407,4407,20,knn
3386859673,6387,cudaLaunchKernel,0,216,4407,4407,20,knn
3386866352,5310,cudaLaunchKernel,0,217,4407,4407,20,knn
3386871976,4565,cudaLaunchKernel,0,218,4407,4407,20,knn
3386876771,4373080,cudaDeviceSynchronize,0,219,4407,4407,20,knn
3391250786,474,cuInit,0,220,4407,4407,20,knn
3391252174,6772,cudaLaunchKernel,0,221,4407,4407,20,knn
3391259252,4493,cudaLaunchKernel,0,222,4407,4407,20,knn
3391264027,4507,cudaLaunchKernel,0,223,4407,4407,20,knn
3391268748,4377282,cudaDeviceSynchronize,0,224,4407,4407,20,knn
3395647017,478,cuInit,0,225,4407,4407,20,knn
3395648393,7322,cudaLaunchKernel,0,226,4407,4407,20,knn
3395656024,4411,cudaLaunchKernel,0,227,4407,4407,20,knn
3395660702,4706,cudaLaunchKernel,0,228,4407,4407,20,knn
3395665631,4370674,cudaDeviceSynchronize,0,229,4407,4407,20,knn
3400037348,474,cuInit,0,230,4407,4407,20,knn
3400038698,6688,cudaLaunchKernel,0,231,4407,4407,20,knn
3400045700,5154,cudaLaunchKernel,0,232,4407,4407,20,knn
3400051131,4052,cudaLaunchKernel,0,233,4407,4407,20,knn
3400055398,4378715,cudaDeviceSynchronize,0,234,4407,4407,20,knn
3404435087,490,cuInit,0,235,4407,4407,20,knn
3404436432,6748,cudaLaunchKernel,0,236,4407,4407,20,knn
3404443493,6598,cudaLaunchKernel,0,237,4407,4407,20,knn
3404450393,3867,cudaLaunchKernel,0,238,4407,4407,20,knn
3404454519,4371822,cudaDeviceSynchronize,0,239,4407,4407,20,knn
3408827400,484,cuInit,0,240,4407,4407,20,knn
3408828768,6685,cudaLaunchKernel,0,241,4407,4407,20,knn
3408835751,5367,cudaLaunchKernel,0,242,4407,4407,20,knn
3408841397,3801,cudaLaunchKernel,0,243,4407,4407,20,knn
3408845416,4380021,cudaDeviceSynchronize,0,244,4407,4407,20,knn
3413226377,475,cuInit,0,245,4407,4407,20,knn
3413227747,7794,cudaLaunchKernel,0,246,4407,4407,20,knn
3413235868,5135,cudaLaunchKernel,0,247,4407,4407,20,knn
3413241278,4259,cudaLaunchKernel,0,248,4407,4407,20,knn
3413245751,4367088,cudaDeviceSynchronize,0,249,4407,4407,20,knn
3417613846,483,cuInit,0,250,4407,4407,20,knn
3417615191,6954,cudaLaunchKernel,0,251,4407,4407,20,knn
3417622443,5005,cudaLaunchKernel,0,252,4407,4407,20,knn
3417627757,5790,cudaLaunchKernel,0,253,4407,4407,20,knn
3417633761,4348977,cudaDeviceSynchronize,0,254,4407,4407,20,knn
3421983783,481,cuInit,0,255,4407,4407,20,knn
3421985132,29580,cudaLaunchKernel,0,256,4407,4407,20,knn
3422015255,7032,cudaLaunchKernel,0,257,4407,4407,20,knn
3422022557,5867,cudaLaunchKernel,0,258,4407,4407,20,knn
3422028654,4342948,cudaDeviceSynchronize,0,259,4407,4407,20,knn
3426372551,468,cuInit,0,260,4407,4407,20,knn
3426373931,6243,cudaLaunchKernel,0,261,4407,4407,20,knn
3426380477,5930,cudaLaunchKernel,0,262,4407,4407,20,knn
3426386726,4701,cudaLaunchKernel,0,263,4407,4407,20,knn
3426391664,4369238,cudaDeviceSynchronize,0,264,4407,4407,20,knn
3430761906,477,cuInit,0,265,4407,4407,20,knn
3430763347,6340,cudaLaunchKernel,0,266,4407,4407,20,knn
3430770002,5628,cudaLaunchKernel,0,267,4407,4407,20,knn
3430775921,5035,cudaLaunchKernel,0,268,4407,4407,20,knn
3430781180,4377225,cudaDeviceSynchronize,0,269,4407,4407,20,knn
3435159404,482,cuInit,0,270,4407,4407,20,knn
3435160748,6453,cudaLaunchKernel,0,271,4407,4407,20,knn
3435167503,5134,cudaLaunchKernel,0,272,4407,4407,20,knn
3435172917,5258,cudaLaunchKernel,0,273,4407,4407,20,knn
3435178409,4369618,cudaDeviceSynchronize,0,274,4407,4407,20,knn
3439549037,476,cuInit,0,275,4407,4407,20,knn
3439550371,7286,cudaLaunchKernel,0,276,4407,4407,20,knn
3439557930,4055,cudaLaunchKernel,0,277,4407,4407,20,knn
3439562322,5638,cudaLaunchKernel,0,278,4407,4407,20,knn
3439568215,4374103,cudaDeviceSynchronize,0,279,4407,4407,20,knn
3443943318,480,cuInit,0,280,4407,4407,20,knn
3443944673,7202,cudaLaunchKernel,0,281,4407,4407,20,knn
3443952186,3996,cudaLaunchKernel,0,282,4407,4407,20,knn
3443956454,5511,cudaLaunchKernel,0,283,4407,4407,20,knn
3443962186,4368242,cudaDeviceSynchronize,0,284,4407,4407,20,knn
3448331399,494,cuInit,0,285,4407,4407,20,knn
3448332763,5901,cudaLaunchKernel,0,286,4407,4407,20,knn
3448338985,4196,cudaLaunchKernel,0,287,4407,4407,20,knn
3448343481,5572,cudaLaunchKernel,0,288,4407,4407,20,knn
3448349284,4369638,cudaDeviceSynchronize,0,289,4407,4407,20,knn
3452719882,481,cuInit,0,290,4407,4407,20,knn
3452721235,6622,cudaLaunchKernel,0,291,4407,4407,20,knn
3452728137,4757,cudaLaunchKernel,0,292,4407,4407,20,knn
3452733154,4995,cudaLaunchKernel,0,293,4407,4407,20,knn
3452738378,4364067,cudaDeviceSynchronize,0,294,4407,4407,20,knn
3457103415,484,cuInit,0,295,4407,4407,20,knn
3457104764,6364,cudaLaunchKernel,0,296,4407,4407,20,knn
3457111440,5238,cudaLaunchKernel,0,297,4407,4407,20,knn
3457116948,4704,cudaLaunchKernel,0,298,4407,4407,20,knn
3457121868,4364751,cudaDeviceSynchronize,0,299,4407,4407,20,knn
3461487603,470,cuInit,0,300,4407,4407,20,knn
3461488976,7197,cudaLaunchKernel,0,301,4407,4407,20,knn
3461496479,4517,cudaLaunchKernel,0,302,4407,4407,20,knn
3461501293,4513,cudaLaunchKernel,0,303,4407,4407,20,knn
3461506021,4373896,cudaDeviceSynchronize,0,304,4407,4407,20,knn
3465880910,491,cuInit,0,305,4407,4407,20,knn
3465882302,7077,cudaLaunchKernel,0,306,4407,4407,20,knn
3465889679,4361,cudaLaunchKernel,0,307,4407,4407,20,knn
3465894350,4805,cudaLaunchKernel,0,308,4407,4407,20,knn
3465899381,4373704,cudaDeviceSynchronize,0,309,4407,4407,20,knn
3470274061,484,cuInit,0,310,4407,4407,20,knn
3470275466,8675,cudaLaunchKernel,0,311,4407,4407,20,knn
3470284484,4991,cudaLaunchKernel,0,312,4407,4407,20,knn
3470289748,4058,cudaLaunchKernel,0,313,4407,4407,20,knn
3470294036,4359942,cudaDeviceSynchronize,0,314,4407,4407,20,knn
3474654924,480,cuInit,0,315,4407,4407,20,knn
3474656263,7342,cudaLaunchKernel,0,316,4407,4407,20,knn
3474663895,6157,cudaLaunchKernel,0,317,4407,4407,20,knn
3474670325,4654,cudaLaunchKernel,0,318,4407,4407,20,knn
3474675200,4374313,cudaDeviceSynchronize,0,319,4407,4407,20,knn
3479050509,488,cuInit,0,320,4407,4407,20,knn
3479051883,7749,cudaLaunchKernel,0,321,4407,4407,20,knn
3479059944,6708,cudaLaunchKernel,0,322,4407,4407,20,knn
3479067029,4408,cudaLaunchKernel,0,323,4407,4407,20,knn
3479071697,4352430,cudaDeviceSynchronize,0,324,4407,4407,20,knn
3483425094,483,cuInit,0,325,4407,4407,20,knn
3483426461,7905,cudaLaunchKernel,0,326,4407,4407,20,knn
3483434692,5633,cudaLaunchKernel,0,327,4407,4407,20,knn
3483440596,5063,cudaLaunchKernel,0,328,4407,4407,20,knn
3483446031,4368111,cudaDeviceSynchronize,0,329,4407,4407,20,knn
3487815121,483,cuInit,0,330,4407,4407,20,knn
3487816469,7041,cudaLaunchKernel,0,331,4407,4407,20,knn
3487823784,4984,cudaLaunchKernel,0,332,4407,4407,20,knn
3487829055,5170,cudaLaunchKernel,0,333,4407,4407,20,knn
3487834465,4373331,cudaDeviceSynchronize,0,334,4407,4407,20,knn
3492208793,474,cuInit,0,335,4407,4407,20,knn
3492210148,6751,cudaLaunchKernel,0,336,4407,4407,20,knn
3492217216,5002,cudaLaunchKernel,0,337,4407,4407,20,knn
3492222515,6001,cudaLaunchKernel,0,338,4407,4407,20,knn
3492228745,4364747,cudaDeviceSynchronize,0,339,4407,4407,20,knn
3496594438,469,cuInit,0,340,4407,4407,20,knn
3496595832,6847,cudaLaunchKernel,0,341,4407,4407,20,knn
3496603007,5409,cudaLaunchKernel,0,342,4407,4407,20,knn
3496608745,6019,cudaLaunchKernel,0,343,4407,4407,20,knn
3496614976,4369278,cudaDeviceSynchronize,0,344,4407,4407,20,knn
3500985279,477,cuInit,0,345,4407,4407,20,knn
3500986613,6380,cudaLaunchKernel,0,346,4407,4407,20,knn
3500993297,5808,cudaLaunchKernel,0,347,4407,4407,20,knn
3500999425,5168,cudaLaunchKernel,0,348,4407,4407,20,knn
3501004820,4352230,cudaDeviceSynchronize,0,349,4407,4407,20,knn
3505358106,492,cuInit,0,350,4407,4407,20,knn
3505359493,6439,cudaLaunchKernel,0,351,4407,4407,20,knn
3505366241,5459,cudaLaunchKernel,0,352,4407,4407,20,knn
3505371971,4932,cudaLaunchKernel,0,353,4407,4407,20,knn
3505377123,4359817,cudaDeviceSynchronize,0,354,4407,4407,20,knn
3509737912,480,cuInit,0,355,4407,4407,20,knn
3509739253,7661,cudaLaunchKernel,0,356,4407,4407,20,knn
3509747224,4073,cudaLaunchKernel,0,357,4407,4407,20,knn
3509751591,4955,cudaLaunchKernel,0,358,4407,4407,20,knn
3509756786,4368855,cudaDeviceSynchronize,0,359,4407,4407,20,knn
3514126582,472,cuInit,0,360,4407,4407,20,knn
3514127901,7644,cudaLaunchKernel,0,361,4407,4407,20,knn
3514135858,3928,cudaLaunchKernel,0,362,4407,4407,20,knn
3514140083,5925,cudaLaunchKernel,0,363,4407,4407,20,knn
3514146228,4367379,cudaDeviceSynchronize,0,364,4407,4407,20,knn
3518514563,480,cuInit,0,365,4407,4407,20,knn
3518515914,6091,cudaLaunchKernel,0,366,4407,4407,20,knn
