Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
2746340530,5525,cuModuleGetLoadingMode,0,1,5120,5120,20,gpu_exec
2757032496,1177313266,cudaMallocHost,0,118,5120,5120,20,gpu_exec
3934349311,280990,cudaMallocHost,0,119,5120,5120,20,gpu_exec
4731685037,316763,cudaMallocHost,0,120,5120,5120,20,gpu_exec
4732004096,304800,cudaMalloc,0,121,5120,5120,20,gpu_exec
4732309651,86231,cudaMalloc,0,122,5120,5120,20,gpu_exec
4732396461,7275,cudaMalloc,0,123,5120,5120,20,gpu_exec
4732403950,5108,cudaMalloc,0,124,5120,5120,20,gpu_exec
4732409481,4228,cudaMalloc,0,125,5120,5120,20,gpu_exec
4732426179,38993525,cudaMemcpyAsync,0,126,5120,5120,20,gpu_exec
4771421857,37555,cudaMemcpyAsync,0,127,5120,5120,20,gpu_exec
4771460073,44425,cudaMemcpyAsync,0,128,5120,5120,20,gpu_exec
4771563569,982,cuGetProcAddress_v2,0,129,5120,5120,20,gpu_exec
4771564742,959,cuGetProcAddress_v2,0,130,5120,5120,20,gpu_exec
4771566101,754,cuGetProcAddress_v2,0,131,5120,5120,20,gpu_exec
4771567053,212,cuGetProcAddress_v2,0,132,5120,5120,20,gpu_exec
4771567417,935,cuGetProcAddress_v2,0,133,5120,5120,20,gpu_exec
4771568531,631,cuGetProcAddress_v2,0,134,5120,5120,20,gpu_exec
4771569442,456,cuGetProcAddress_v2,0,135,5120,5120,20,gpu_exec
4771570315,709,cuGetProcAddress_v2,0,136,5120,5120,20,gpu_exec
4771571201,632,cuGetProcAddress_v2,0,137,5120,5120,20,gpu_exec
4771571980,396,cuGetProcAddress_v2,0,138,5120,5120,20,gpu_exec
4771572682,492,cuGetProcAddress_v2,0,139,5120,5120,20,gpu_exec
4771573361,570,cuGetProcAddress_v2,0,140,5120,5120,20,gpu_exec
4771574080,692,cuGetProcAddress_v2,0,141,5120,5120,20,gpu_exec
4771574960,547,cuGetProcAddress_v2,0,142,5120,5120,20,gpu_exec
4771575655,1113,cuGetProcAddress_v2,0,143,5120,5120,20,gpu_exec
4771577053,764,cuGetProcAddress_v2,0,144,5120,5120,20,gpu_exec
4771578009,737,cuGetProcAddress_v2,0,145,5120,5120,20,gpu_exec
4771578893,604,cuGetProcAddress_v2,0,146,5120,5120,20,gpu_exec
4771579739,376,cuGetProcAddress_v2,0,147,5120,5120,20,gpu_exec
4771580260,581,cuGetProcAddress_v2,0,148,5120,5120,20,gpu_exec
4771580987,717,cuGetProcAddress_v2,0,149,5120,5120,20,gpu_exec
4771581852,545,cuGetProcAddress_v2,0,150,5120,5120,20,gpu_exec
4771582546,555,cuGetProcAddress_v2,0,151,5120,5120,20,gpu_exec
4771583291,472,cuGetProcAddress_v2,0,152,5120,5120,20,gpu_exec
4771583911,393,cuGetProcAddress_v2,0,153,5120,5120,20,gpu_exec
4771584451,502,cuGetProcAddress_v2,0,154,5120,5120,20,gpu_exec
4771585193,392,cuGetProcAddress_v2,0,155,5120,5120,20,gpu_exec
4771585734,302,cuGetProcAddress_v2,0,156,5120,5120,20,gpu_exec
4771586183,535,cuGetProcAddress_v2,0,157,5120,5120,20,gpu_exec
4771586866,257,cuGetProcAddress_v2,0,158,5120,5120,20,gpu_exec
4771587270,357,cuGetProcAddress_v2,0,159,5120,5120,20,gpu_exec
4771587816,320,cuGetProcAddress_v2,0,160,5120,5120,20,gpu_exec
4771588282,337,cuGetProcAddress_v2,0,161,5120,5120,20,gpu_exec
4771588764,377,cuGetProcAddress_v2,0,162,5120,5120,20,gpu_exec
4771589510,378,cuGetProcAddress_v2,0,163,5120,5120,20,gpu_exec
4771590035,425,cuGetProcAddress_v2,0,164,5120,5120,20,gpu_exec
4771590607,317,cuGetProcAddress_v2,0,165,5120,5120,20,gpu_exec
4771591071,247,cuGetProcAddress_v2,0,166,5120,5120,20,gpu_exec
4771591465,702,cuGetProcAddress_v2,0,167,5120,5120,20,gpu_exec
4771592353,376,cuGetProcAddress_v2,0,168,5120,5120,20,gpu_exec
4771592875,476,cuGetProcAddress_v2,0,169,5120,5120,20,gpu_exec
4771593497,381,cuGetProcAddress_v2,0,170,5120,5120,20,gpu_exec
4771594124,378,cuGetProcAddress_v2,0,171,5120,5120,20,gpu_exec
4771594652,385,cuGetProcAddress_v2,0,172,5120,5120,20,gpu_exec
4771595190,349,cuGetProcAddress_v2,0,173,5120,5120,20,gpu_exec
4771595687,373,cuGetProcAddress_v2,0,174,5120,5120,20,gpu_exec
4771596209,389,cuGetProcAddress_v2,0,175,5120,5120,20,gpu_exec
4771596782,552,cuGetProcAddress_v2,0,176,5120,5120,20,gpu_exec
4771597483,475,cuGetProcAddress_v2,0,177,5120,5120,20,gpu_exec
4771598111,589,cuGetProcAddress_v2,0,178,5120,5120,20,gpu_exec
4771599038,364,cuGetProcAddress_v2,0,179,5120,5120,20,gpu_exec
4771599552,480,cuGetProcAddress_v2,0,180,5120,5120,20,gpu_exec
4771600182,401,cuGetProcAddress_v2,0,181,5120,5120,20,gpu_exec
4771600731,229,cuGetProcAddress_v2,0,182,5120,5120,20,gpu_exec
4771601111,350,cuGetProcAddress_v2,0,183,5120,5120,20,gpu_exec
4771601630,281,cuGetProcAddress_v2,0,184,5120,5120,20,gpu_exec
4771602094,433,cuGetProcAddress_v2,0,185,5120,5120,20,gpu_exec
4771602674,432,cuGetProcAddress_v2,0,186,5120,5120,20,gpu_exec
4771603426,467,cuGetProcAddress_v2,0,187,5120,5120,20,gpu_exec
4771604081,394,cuGetProcAddress_v2,0,188,5120,5120,20,gpu_exec
4771604624,400,cuGetProcAddress_v2,0,189,5120,5120,20,gpu_exec
4771605209,369,cuGetProcAddress_v2,0,190,5120,5120,20,gpu_exec
4771605727,467,cuGetProcAddress_v2,0,191,5120,5120,20,gpu_exec
4771606505,361,cuGetProcAddress_v2,0,192,5120,5120,20,gpu_exec
4771607056,425,cuGetProcAddress_v2,0,193,5120,5120,20,gpu_exec
4771607629,175,cuGetProcAddress_v2,0,194,5120,5120,20,gpu_exec
4771608177,314,cuGetProcAddress_v2,0,195,5120,5120,20,gpu_exec
4771608766,188,cuGetProcAddress_v2,0,196,5120,5120,20,gpu_exec
4771609102,366,cuGetProcAddress_v2,0,197,5120,5120,20,gpu_exec
4771609645,358,cuGetProcAddress_v2,0,198,5120,5120,20,gpu_exec
4771610259,338,cuGetProcAddress_v2,0,199,5120,5120,20,gpu_exec
4771610907,296,cuGetProcAddress_v2,0,200,5120,5120,20,gpu_exec
4771611349,349,cuGetProcAddress_v2,0,201,5120,5120,20,gpu_exec
4771611943,180,cuGetProcAddress_v2,0,202,5120,5120,20,gpu_exec
4771612567,362,cuGetProcAddress_v2,0,203,5120,5120,20,gpu_exec
4771613178,250,cuGetProcAddress_v2,0,204,5120,5120,20,gpu_exec
4771613576,430,cuGetProcAddress_v2,0,205,5120,5120,20,gpu_exec
4771614150,408,cuGetProcAddress_v2,0,206,5120,5120,20,gpu_exec
4771614810,497,cuGetProcAddress_v2,0,207,5120,5120,20,gpu_exec
4771615454,489,cuGetProcAddress_v2,0,208,5120,5120,20,gpu_exec
4771616089,412,cuGetProcAddress_v2,0,209,5120,5120,20,gpu_exec
4771616781,436,cuGetProcAddress_v2,0,210,5120,5120,20,gpu_exec
4771617365,200,cuGetProcAddress_v2,0,211,5120,5120,20,gpu_exec
4771617950,192,cuGetProcAddress_v2,0,212,5120,5120,20,gpu_exec
4771618289,417,cuGetProcAddress_v2,0,213,5120,5120,20,gpu_exec
4771618853,192,cuGetProcAddress_v2,0,214,5120,5120,20,gpu_exec
4771619319,316,cuGetProcAddress_v2,0,215,5120,5120,20,gpu_exec
4771619782,158,cuGetProcAddress_v2,0,216,5120,5120,20,gpu_exec
4771620086,388,cuGetProcAddress_v2,0,217,5120,5120,20,gpu_exec
4771620868,393,cuGetProcAddress_v2,0,218,5120,5120,20,gpu_exec
4771621407,291,cuGetProcAddress_v2,0,219,5120,5120,20,gpu_exec
4771621957,314,cuGetProcAddress_v2,0,220,5120,5120,20,gpu_exec
4771622418,291,cuGetProcAddress_v2,0,221,5120,5120,20,gpu_exec
4771622857,431,cuGetProcAddress_v2,0,222,5120,5120,20,gpu_exec
4771623587,302,cuGetProcAddress_v2,0,223,5120,5120,20,gpu_exec
4771624036,414,cuGetProcAddress_v2,0,224,5120,5120,20,gpu_exec
4771624596,524,cuGetProcAddress_v2,0,225,5120,5120,20,gpu_exec
4771625386,291,cuGetProcAddress_v2,0,226,5120,5120,20,gpu_exec
4771625823,300,cuGetProcAddress_v2,0,227,5120,5120,20,gpu_exec
4771626382,381,cuGetProcAddress_v2,0,228,5120,5120,20,gpu_exec
4771626909,135,cuGetProcAddress_v2,0,229,5120,5120,20,gpu_exec
4771627191,201,cuGetProcAddress_v2,0,230,5120,5120,20,gpu_exec
4771627653,189,cuGetProcAddress_v2,0,231,5120,5120,20,gpu_exec
4771628136,266,cuGetProcAddress_v2,0,232,5120,5120,20,gpu_exec
4771628548,157,cuGetProcAddress_v2,0,233,5120,5120,20,gpu_exec
4771628963,244,cuGetProcAddress_v2,0,234,5120,5120,20,gpu_exec
4771629355,129,cuGetProcAddress_v2,0,235,5120,5120,20,gpu_exec
