Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
80.5,4919328860,40000,122983.2,13644.5,9888,4312847483,21564162.6,cudaLaunchKernel
18.9,1156479614,5,231295922.8,47100.0,8574,1156351166,517121602.2,cudaMallocManaged
0.3,18826710,5,3765342.0,3607.0,1405,18814128,8412527.2,cudaDeviceSynchronize
0.1,8343765,9,927085.0,151655.0,9665,5024665,1701789.5,cudaFree
0.1,5325872,4,1331468.0,1641649.5,296175,1746398,691998.2,cuLibraryLoadData
0.0,286915,3,95638.3,107304.0,5292,174319,85115.2,cudaMalloc
0.0,235283,810,290.5,248.5,123,1294,147.0,cuGetProcAddress_v2
0.0,21807,18,1211.5,624.5,358,11426,2556.6,cudaEventCreateWithFlags
0.0,16746,18,930.3,605.0,393,6869,1489.8,cudaEventDestroy
0.0,14152,1,14152.0,14152.0,14152,14152,0.0,cudaOccupancyAvailableDynamicSMemPerBlock_v10200
0.0,9468,14,676.3,471.5,447,3208,730.0,cudaOccupancyMaxActiveClusters_v11070
0.0,5730,3,1910.0,1671.0,1145,2914,908.4,cuInit
0.0,5007,3,1669.0,228.0,217,4562,2505.4,cuModuleGetLoadingMode
0.0,3722,4,930.5,937.5,617,1230,322.8,cuLibraryGetKernel
0.0,1384,2,692.0,692.0,269,1115,598.2,cudaGetDriverEntryPoint_v11030
