Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
72.3,608715688,40000,15217.9,5553.5,3018,8901983,45835.4,cudaLaunchKernel
24.4,205866233,3,68622077.7,898971.0,40558,204926704,118044049.4,cudaMallocHost
2.2,18582276,5,3716455.2,2342.0,973,18574781,8306056.7,cudaDeviceSynchronize
0.6,5131538,4,1282884.5,1600693.5,301227,1628924,654579.1,cuLibraryLoadData
0.3,2849935,12,237494.6,8391.5,530,2324112,661883.2,cudaFree
0.1,439451,8,54931.4,7174.5,3503,230580,82048.2,cudaMalloc
0.0,234231,810,289.2,259.0,128,1186,124.6,cuGetProcAddress_v2
0.0,82344,3,27448.0,5025.0,2965,74354,40634.8,cudaMemcpyAsync
0.0,25901,1,25901.0,25901.0,25901,25901,0.0,cudaMemcpy
0.0,18557,18,1030.9,570.0,377,8218,1809.2,cudaEventCreateWithFlags
0.0,14963,18,831.3,512.5,313,6113,1327.1,cudaEventDestroy
0.0,11393,1,11393.0,11393.0,11393,11393,0.0,cudaOccupancyAvailableDynamicSMemPerBlock_v10200
0.0,8959,14,639.9,483.0,468,2618,569.5,cudaOccupancyMaxActiveClusters_v11070
0.0,4823,3,1607.7,417.0,144,4262,2302.8,cuModuleGetLoadingMode
0.0,4691,4,1172.8,1158.5,1056,1318,108.8,cuLibraryGetKernel
0.0,4452,3,1484.0,1442.0,1130,1880,376.8,cuInit
0.0,954,2,477.0,477.0,388,566,125.9,cudaGetDriverEntryPoint_v11030
