Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
74.2,616901349,40000,15422.5,5548.0,3049,19691577,99025.0,cudaLaunchKernel
22.4,186551365,5,37310273.0,47620.0,7135,186398748,83342998.1,cudaMallocManaged
2.2,18474965,5,3694993.0,2523.0,1124,18466459,8257500.6,cudaDeviceSynchronize
0.6,5203526,4,1300881.5,1628126.0,286466,1660808,676802.5,cuLibraryLoadData
0.5,4032804,9,448089.3,86588.0,9581,2204563,793981.9,cudaFree
0.0,259425,810,320.3,253.0,130,30258,1059.7,cuGetProcAddress_v2
0.0,231927,3,77309.0,88934.0,4673,138320,67577.6,cudaMalloc
0.0,15317,18,850.9,409.0,379,7510,1666.1,cudaEventCreateWithFlags
0.0,15160,18,842.2,473.0,312,6832,1501.6,cudaEventDestroy
0.0,11744,1,11744.0,11744.0,11744,11744,0.0,cudaOccupancyAvailableDynamicSMemPerBlock_v10200
0.0,9784,14,698.9,481.0,464,3397,777.5,cudaOccupancyMaxActiveClusters_v11070
0.0,4873,3,1624.3,436.0,258,4179,2214.2,cuModuleGetLoadingMode
0.0,4347,3,1449.0,1278.0,949,2120,603.9,cuInit
0.0,4237,4,1059.3,1075.5,949,1137,88.0,cuLibraryGetKernel
0.0,1040,2,520.0,520.0,390,650,183.8,cudaGetDriverEntryPoint_v11030
