Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
287169964,5613,cuModuleGetLoadingMode,0,1,5460,5460,20,needle
298050688,1159246945,cudaMallocHost,0,118,5460,5460,20,needle
1457300280,3947157,cudaMallocHost,0,119,5460,5460,20,needle
1461249792,3897421,cudaMallocHost,0,120,5460,5460,20,needle
1495554197,173199,cudaMalloc,0,121,5460,5460,20,needle
1495727896,80734,cudaMalloc,0,122,5460,5460,20,needle
1495818361,6076131,cudaMemcpy,0,123,5460,5460,20,needle
1501896171,5975892,cudaMemcpy,0,124,5460,5460,20,needle
1507903747,47977598,cudaLaunchKernel,0,125,5460,5460,20,needle
1555883936,17338,cudaLaunchKernel,0,126,5460,5460,20,needle
1555901998,12713,cudaLaunchKernel,0,127,5460,5460,20,needle
1555915151,11132,cudaLaunchKernel,0,128,5460,5460,20,needle
1555926739,13097,cudaLaunchKernel,0,129,5460,5460,20,needle
1555940255,11422,cudaLaunchKernel,0,130,5460,5460,20,needle
1555952064,12766,cudaLaunchKernel,0,131,5460,5460,20,needle
1555965269,11404,cudaLaunchKernel,0,132,5460,5460,20,needle
1555977110,12435,cudaLaunchKernel,0,133,5460,5460,20,needle
1555989931,12908,cudaLaunchKernel,0,134,5460,5460,20,needle
1556003332,12057,cudaLaunchKernel,0,135,5460,5460,20,needle
1556015870,14485,cudaLaunchKernel,0,136,5460,5460,20,needle
1556030796,15859,cudaLaunchKernel,0,137,5460,5460,20,needle
1556047075,11779,cudaLaunchKernel,0,138,5460,5460,20,needle
1556059258,12093,cudaLaunchKernel,0,139,5460,5460,20,needle
1556071798,11714,cudaLaunchKernel,0,140,5460,5460,20,needle
1556083914,12124,cudaLaunchKernel,0,141,5460,5460,20,needle
1556096436,11570,cudaLaunchKernel,0,142,5460,5460,20,needle
1556108385,12234,cudaLaunchKernel,0,143,5460,5460,20,needle
1556121001,11350,cudaLaunchKernel,0,144,5460,5460,20,needle
1556132726,11487,cudaLaunchKernel,0,145,5460,5460,20,needle
1556144590,12174,cudaLaunchKernel,0,146,5460,5460,20,needle
1556157181,13887,cudaLaunchKernel,0,147,5460,5460,20,needle
1556171516,11817,cudaLaunchKernel,0,148,5460,5460,20,needle
1556183743,11529,cudaLaunchKernel,0,149,5460,5460,20,needle
1556195686,11488,cudaLaunchKernel,0,150,5460,5460,20,needle
1556207667,12090,cudaLaunchKernel,0,151,5460,5460,20,needle
1556220132,11493,cudaLaunchKernel,0,152,5460,5460,20,needle
1556232006,12284,cudaLaunchKernel,0,153,5460,5460,20,needle
1556244693,12240,cudaLaunchKernel,0,154,5460,5460,20,needle
1556257306,12167,cudaLaunchKernel,0,155,5460,5460,20,needle
1556269854,12186,cudaLaunchKernel,0,156,5460,5460,20,needle
1556282479,11473,cudaLaunchKernel,0,157,5460,5460,20,needle
1556294357,14051,cudaLaunchKernel,0,158,5460,5460,20,needle
