Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
284170444,5244,cuModuleGetLoadingMode,0,1,8006,8006,20,needle
294385683,1157853766,cudaMallocManaged,0,118,8006,8006,20,needle
1452241310,53645,cudaMallocManaged,0,119,8006,8006,20,needle
1502753482,552620,cudaLaunchKernel,0,120,8006,8006,20,needle
1503307541,17738,cudaLaunchKernel,0,121,8006,8006,20,needle
1503325836,11376,cudaLaunchKernel,0,122,8006,8006,20,needle
1503337606,10471,cudaLaunchKernel,0,123,8006,8006,20,needle
1503348571,12603,cudaLaunchKernel,0,124,8006,8006,20,needle
1503361599,11474,cudaLaunchKernel,0,125,8006,8006,20,needle
1503373501,11195,cudaLaunchKernel,0,126,8006,8006,20,needle
1503385089,10078,cudaLaunchKernel,0,127,8006,8006,20,needle
1503395596,11260,cudaLaunchKernel,0,128,8006,8006,20,needle
1503407267,11249,cudaLaunchKernel,0,129,8006,8006,20,needle
1503418931,10664,cudaLaunchKernel,0,130,8006,8006,20,needle
1503430092,13429,cudaLaunchKernel,0,131,8006,8006,20,needle
1503444119,10519,cudaLaunchKernel,0,132,8006,8006,20,needle
1503455388,10533,cudaLaunchKernel,0,133,8006,8006,20,needle
1503466315,11260,cudaLaunchKernel,0,134,8006,8006,20,needle
1503477958,10356,cudaLaunchKernel,0,135,8006,8006,20,needle
1503488744,11693,cudaLaunchKernel,0,136,8006,8006,20,needle
1503500866,10509,cudaLaunchKernel,0,137,8006,8006,20,needle
1503511788,10938,cudaLaunchKernel,0,138,8006,8006,20,needle
1503523167,10559,cudaLaunchKernel,0,139,8006,8006,20,needle
1503534118,10807,cudaLaunchKernel,0,140,8006,8006,20,needle
1503545310,11616,cudaLaunchKernel,0,141,8006,8006,20,needle
1503557340,12707,cudaLaunchKernel,0,142,8006,8006,20,needle
1503570512,10547,cudaLaunchKernel,0,143,8006,8006,20,needle
1503581505,10518,cudaLaunchKernel,0,144,8006,8006,20,needle
1503592482,10447,cudaLaunchKernel,0,145,8006,8006,20,needle
1503603342,11172,cudaLaunchKernel,0,146,8006,8006,20,needle
1503614937,10632,cudaLaunchKernel,0,147,8006,8006,20,needle
1503626118,10871,cudaLaunchKernel,0,148,8006,8006,20,needle
1503637537,13588,cudaLaunchKernel,0,149,8006,8006,20,needle
1503651616,10411,cudaLaunchKernel,0,150,8006,8006,20,needle
1503662428,11099,cudaLaunchKernel,0,151,8006,8006,20,needle
1503673957,10516,cudaLaunchKernel,0,152,8006,8006,20,needle
1503684912,12641,cudaLaunchKernel,0,153,8006,8006,20,needle
