Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
213740062,4755,cuModuleGetLoadingMode,0,1,2159,2159,20,needle
216057728,176010851,cudaMallocHost,0,118,2159,2159,20,needle
392070693,6619468,cudaMallocHost,0,119,2159,2159,20,needle
398691361,6611447,cudaMallocHost,0,120,2159,2159,20,needle
431653908,145498,cudaMalloc,0,121,2159,2159,20,needle
431799866,63175,cudaMalloc,0,122,2159,2159,20,needle
431869827,459439,cudaMemcpy,0,123,2159,2159,20,needle
432329704,402278,cudaMemcpy,0,124,2159,2159,20,needle
432739984,26781955,cudaLaunchKernel,0,125,2159,2159,20,needle
459524266,8198,cudaLaunchKernel,0,126,2159,2159,20,needle
459532907,5796,cudaLaunchKernel,0,127,2159,2159,20,needle
459539080,4483,cudaLaunchKernel,0,128,2159,2159,20,needle
459543876,6102,cudaLaunchKernel,0,129,2159,2159,20,needle
459550278,4101,cudaLaunchKernel,0,130,2159,2159,20,needle
459554660,5987,cudaLaunchKernel,0,131,2159,2159,20,needle
459560913,4117,cudaLaunchKernel,0,132,2159,2159,20,needle
459565346,5096,cudaLaunchKernel,0,133,2159,2159,20,needle
459570664,5311,cudaLaunchKernel,0,134,2159,2159,20,needle
459576248,5685,cudaLaunchKernel,0,135,2159,2159,20,needle
459582240,4956,cudaLaunchKernel,0,136,2159,2159,20,needle
459587462,5416,cudaLaunchKernel,0,137,2159,2159,20,needle
459593100,4000,cudaLaunchKernel,0,138,2159,2159,20,needle
459597319,6092,cudaLaunchKernel,0,139,2159,2159,20,needle
459603626,4112,cudaLaunchKernel,0,140,2159,2159,20,needle
459607957,5930,cudaLaunchKernel,0,141,2159,2159,20,needle
459614154,4085,cudaLaunchKernel,0,142,2159,2159,20,needle
459618493,5044,cudaLaunchKernel,0,143,2159,2159,20,needle
459623760,5177,cudaLaunchKernel,0,144,2159,2159,20,needle
459629158,4965,cudaLaunchKernel,0,145,2159,2159,20,needle
459634370,4889,cudaLaunchKernel,0,146,2159,2159,20,needle
459639478,4966,cudaLaunchKernel,0,147,2159,2159,20,needle
459644659,4043,cudaLaunchKernel,0,148,2159,2159,20,needle
459648918,6017,cudaLaunchKernel,0,149,2159,2159,20,needle
459655158,3953,cudaLaunchKernel,0,150,2159,2159,20,needle
459659383,5722,cudaLaunchKernel,0,151,2159,2159,20,needle
459665367,4482,cudaLaunchKernel,0,152,2159,2159,20,needle
459670120,4950,cudaLaunchKernel,0,153,2159,2159,20,needle
459675310,4827,cudaLaunchKernel,0,154,2159,2159,20,needle
459680387,5096,cudaLaunchKernel,0,155,2159,2159,20,needle
459685726,4389,cudaLaunchKernel,0,156,2159,2159,20,needle
459690327,4872,cudaLaunchKernel,0,157,2159,2159,20,needle
459695419,3815,cudaLaunchKernel,0,158,2159,2159,20,needle
459699450,5868,cudaLaunchKernel,0,159,2159,2159,20,needle
459705536,3886,cudaLaunchKernel,0,160,2159,2159,20,needle
459709662,5559,cudaLaunchKernel,0,161,2159,2159,20,needle
459715487,5074,cudaLaunchKernel,0,162,2159,2159,20,needle
459720816,4749,cudaLaunchKernel,0,163,2159,2159,20,needle
459725789,4967,cudaLaunchKernel,0,164,2159,2159,20,needle
459730976,3798,cudaLaunchKernel,0,165,2159,2159,20,needle
459734990,4566,cudaLaunchKernel,0,166,2159,2159,20,needle
459739819,4401,cudaLaunchKernel,0,167,2159,2159,20,needle
459744447,4868,cudaLaunchKernel,0,168,2159,2159,20,needle
459749536,5616,cudaLaunchKernel,0,169,2159,2159,20,needle
459755375,4858,cudaLaunchKernel,0,170,2159,2159,20,needle
459760455,5681,cudaLaunchKernel,0,171,2159,2159,20,needle
459766393,4490,cudaLaunchKernel,0,172,2159,2159,20,needle
459771123,50730,cudaLaunchKernel,0,173,2159,2159,20,needle
459822405,5931,cudaLaunchKernel,0,174,2159,2159,20,needle
459828631,5018,cudaLaunchKernel,0,175,2159,2159,20,needle
459833932,5314,cudaLaunchKernel,0,176,2159,2159,20,needle
459839497,5114,cudaLaunchKernel,0,177,2159,2159,20,needle
459844859,4292,cudaLaunchKernel,0,178,2159,2159,20,needle
459849371,6025,cudaLaunchKernel,0,179,2159,2159,20,needle
459855614,6607,cudaLaunchKernel,0,180,2159,2159,20,needle
459862501,5698,cudaLaunchKernel,0,181,2159,2159,20,needle
459868491,4557,cudaLaunchKernel,0,182,2159,2159,20,needle
459873360,9543,cudaLaunchKernel,0,183,2159,2159,20,needle
459883189,8754,cudaLaunchKernel,0,184,2159,2159,20,needle
459892235,5057,cudaLaunchKernel,0,185,2159,2159,20,needle
459897630,5278,cudaLaunchKernel,0,186,2159,2159,20,needle
459903141,5003,cudaLaunchKernel,0,187,2159,2159,20,needle
459908406,4214,cudaLaunchKernel,0,188,2159,2159,20,needle
459912877,5664,cudaLaunchKernel,0,189,2159,2159,20,needle
459918752,4435,cudaLaunchKernel,0,190,2159,2159,20,needle
459923450,4927,cudaLaunchKernel,0,191,2159,2159,20,needle
459928659,4897,cudaLaunchKernel,0,192,2159,2159,20,needle
459933772,5151,cudaLaunchKernel,0,193,2159,2159,20,needle
459939215,4994,cudaLaunchKernel,0,194,2159,2159,20,needle
459944495,4788,cudaLaunchKernel,0,195,2159,2159,20,needle
459949563,5019,cudaLaunchKernel,0,196,2159,2159,20,needle
459954832,5430,cudaLaunchKernel,0,197,2159,2159,20,needle
459960497,4431,cudaLaunchKernel,0,198,2159,2159,20,needle
459965144,5814,cudaLaunchKernel,0,199,2159,2159,20,needle
