Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
201503603,4012,cuModuleGetLoadingMode,0,1,4833,4833,20,needle
203992452,184429450,cudaMallocManaged,0,118,4833,4833,20,needle
388424240,89319,cudaMallocManaged,0,119,4833,4833,20,needle
447717832,464289,cudaLaunchKernel,0,120,4833,4833,20,needle
448183347,8237,cudaLaunchKernel,0,121,4833,4833,20,needle
448191975,4980,cudaLaunchKernel,0,122,4833,4833,20,needle
448197307,5155,cudaLaunchKernel,0,123,4833,4833,20,needle
448202796,5275,cudaLaunchKernel,0,124,4833,4833,20,needle
448208471,5221,cudaLaunchKernel,0,125,4833,4833,20,needle
448214051,4673,cudaLaunchKernel,0,126,4833,4833,20,needle
448219032,5920,cudaLaunchKernel,0,127,4833,4833,20,needle
448225222,5309,cudaLaunchKernel,0,128,4833,4833,20,needle
448230772,5442,cudaLaunchKernel,0,129,4833,4833,20,needle
448236500,4199,cudaLaunchKernel,0,130,4833,4833,20,needle
448241064,4770,cudaLaunchKernel,0,131,4833,4833,20,needle
448246219,4873,cudaLaunchKernel,0,132,4833,4833,20,needle
448251439,4967,cudaLaunchKernel,0,133,4833,4833,20,needle
448256719,5798,cudaLaunchKernel,0,134,4833,4833,20,needle
448262828,5092,cudaLaunchKernel,0,135,4833,4833,20,needle
448268170,5640,cudaLaunchKernel,0,136,4833,4833,20,needle
448274053,4611,cudaLaunchKernel,0,137,4833,4833,20,needle
448278996,3771,cudaLaunchKernel,0,138,4833,4833,20,needle
448283052,4683,cudaLaunchKernel,0,139,4833,4833,20,needle
448288033,4567,cudaLaunchKernel,0,140,4833,4833,20,needle
448292895,5675,cudaLaunchKernel,0,141,4833,4833,20,needle
448298812,4930,cudaLaunchKernel,0,142,4833,4833,20,needle
448303988,4904,cudaLaunchKernel,0,143,4833,4833,20,needle
448309130,5710,cudaLaunchKernel,0,144,4833,4833,20,needle
448315137,4808,cudaLaunchKernel,0,145,4833,4833,20,needle
448320240,4914,cudaLaunchKernel,0,146,4833,4833,20,needle
448325410,4346,cudaLaunchKernel,0,147,4833,4833,20,needle
448330043,4453,cudaLaunchKernel,0,148,4833,4833,20,needle
448334893,5723,cudaLaunchKernel,0,149,4833,4833,20,needle
448340940,4949,cudaLaunchKernel,0,150,4833,4833,20,needle
448346147,6128,cudaLaunchKernel,0,151,4833,4833,20,needle
448352541,4718,cudaLaunchKernel,0,152,4833,4833,20,needle
448357541,4420,cudaLaunchKernel,0,153,4833,4833,20,needle
448362215,4740,cudaLaunchKernel,0,154,4833,4833,20,needle
448367291,4278,cudaLaunchKernel,0,155,4833,4833,20,needle
448371874,5537,cudaLaunchKernel,0,156,4833,4833,20,needle
448377696,5130,cudaLaunchKernel,0,157,4833,4833,20,needle
448383126,4651,cudaLaunchKernel,0,158,4833,4833,20,needle
448388035,5848,cudaLaunchKernel,0,159,4833,4833,20,needle
448394186,4752,cudaLaunchKernel,0,160,4833,4833,20,needle
448399187,4878,cudaLaunchKernel,0,161,4833,4833,20,needle
448404318,4176,cudaLaunchKernel,0,162,4833,4833,20,needle
448408745,4368,cudaLaunchKernel,0,163,4833,4833,20,needle
448413540,5180,cudaLaunchKernel,0,164,4833,4833,20,needle
448419075,5410,cudaLaunchKernel,0,165,4833,4833,20,needle
448424852,6165,cudaLaunchKernel,0,166,4833,4833,20,needle
448431262,5044,cudaLaunchKernel,0,167,4833,4833,20,needle
448436578,5614,cudaLaunchKernel,0,168,4833,4833,20,needle
448442478,4596,cudaLaunchKernel,0,169,4833,4833,20,needle
448447381,3993,cudaLaunchKernel,0,170,4833,4833,20,needle
448451637,5159,cudaLaunchKernel,0,171,4833,4833,20,needle
448457036,4485,cudaLaunchKernel,0,172,4833,4833,20,needle
448468290,7065,cudaLaunchKernel,0,173,4833,4833,20,needle
448475707,4344,cudaLaunchKernel,0,174,4833,4833,20,needle
448480378,4843,cudaLaunchKernel,0,175,4833,4833,20,needle
448485475,4989,cudaLaunchKernel,0,176,4833,4833,20,needle
448490723,4216,cudaLaunchKernel,0,177,4833,4833,20,needle
448495199,4843,cudaLaunchKernel,0,178,4833,4833,20,needle
448500353,3807,cudaLaunchKernel,0,179,4833,4833,20,needle
448504432,4482,cudaLaunchKernel,0,180,4833,4833,20,needle
448509169,4925,cudaLaunchKernel,0,181,4833,4833,20,needle
448514346,7942,cudaLaunchKernel,0,182,4833,4833,20,needle
448522612,5458,cudaLaunchKernel,0,183,4833,4833,20,needle
448528324,4694,cudaLaunchKernel,0,184,4833,4833,20,needle
448533264,4206,cudaLaunchKernel,0,185,4833,4833,20,needle
448537723,4644,cudaLaunchKernel,0,186,4833,4833,20,needle
448542705,3733,cudaLaunchKernel,0,187,4833,4833,20,needle
448546685,10043,cudaLaunchKernel,0,188,4833,4833,20,needle
448557278,5189,cudaLaunchKernel,0,189,4833,4833,20,needle
448562706,4983,cudaLaunchKernel,0,190,4833,4833,20,needle
448567935,5460,cudaLaunchKernel,0,191,4833,4833,20,needle
448573675,5010,cudaLaunchKernel,0,192,4833,4833,20,needle
448578996,4668,cudaLaunchKernel,0,193,4833,4833,20,needle
448583974,3820,cudaLaunchKernel,0,194,4833,4833,20,needle
448588097,3904,cudaLaunchKernel,0,195,4833,4833,20,needle
448592289,5143,cudaLaunchKernel,0,196,4833,4833,20,needle
448597785,4779,cudaLaunchKernel,0,197,4833,4833,20,needle
448602802,5451,cudaLaunchKernel,0,198,4833,4833,20,needle
448608505,4669,cudaLaunchKernel,0,199,4833,4833,20,needle
448613402,4892,cudaLaunchKernel,0,200,4833,4833,20,needle
448618520,4852,cudaLaunchKernel,0,201,4833,4833,20,needle
448623600,4044,cudaLaunchKernel,0,202,4833,4833,20,needle
448627880,4644,cudaLaunchKernel,0,203,4833,4833,20,needle
448632821,4420,cudaLaunchKernel,0,204,4833,4833,20,needle
448637523,4809,cudaLaunchKernel,0,205,4833,4833,20,needle
448642559,5013,cudaLaunchKernel,0,206,4833,4833,20,needle
448647874,4443,cudaLaunchKernel,0,207,4833,4833,20,needle
448652542,5075,cudaLaunchKernel,0,208,4833,4833,20,needle
448657914,4548,cudaLaunchKernel,0,209,4833,4833,20,needle
448662827,4429,cudaLaunchKernel,0,210,4833,4833,20,needle
448667530,10977,cudaLaunchKernel,0,211,4833,4833,20,needle
448678997,4586,cudaLaunchKernel,0,212,4833,4833,20,needle
448683878,5730,cudaLaunchKernel,0,213,4833,4833,20,needle
448689883,4849,cudaLaunchKernel,0,214,4833,4833,20,needle
448695017,5531,cudaLaunchKernel,0,215,4833,4833,20,needle
448700857,4666,cudaLaunchKernel,0,216,4833,4833,20,needle
448705866,4196,cudaLaunchKernel,0,217,4833,4833,20,needle
448710345,4665,cudaLaunchKernel,0,218,4833,4833,20,needle
448715260,3900,cudaLaunchKernel,0,219,4833,4833,20,needle
448719416,4788,cudaLaunchKernel,0,220,4833,4833,20,needle
448724466,4431,cudaLaunchKernel,0,221,4833,4833,20,needle
448729131,13371,cudaLaunchKernel,0,222,4833,4833,20,needle
448743059,6022,cudaLaunchKernel,0,223,4833,4833,20,needle
448749358,4827,cudaLaunchKernel,0,224,4833,4833,20,needle
448754434,5112,cudaLaunchKernel,0,225,4833,4833,20,needle
448759795,3748,cudaLaunchKernel,0,226,4833,4833,20,needle
448763837,3713,cudaLaunchKernel,0,227,4833,4833,20,needle
448767839,4532,cudaLaunchKernel,0,228,4833,4833,20,needle
448772634,4553,cudaLaunchKernel,0,229,4833,4833,20,needle
448777589,5575,cudaLaunchKernel,0,230,4833,4833,20,needle
448783498,4702,cudaLaunchKernel,0,231,4833,4833,20,needle
448788563,4848,cudaLaunchKernel,0,232,4833,4833,20,needle
448793650,4970,cudaLaunchKernel,0,233,4833,4833,20,needle
448798854,3954,cudaLaunchKernel,0,234,4833,4833,20,needle
448803094,4456,cudaLaunchKernel,0,235,4833,4833,20,needle
448807815,4352,cudaLaunchKernel,0,236,4833,4833,20,needle
448812410,4654,cudaLaunchKernel,0,237,4833,4833,20,needle
448817344,5363,cudaLaunchKernel,0,238,4833,4833,20,needle
448822970,4736,cudaLaunchKernel,0,239,4833,4833,20,needle
448827945,5234,cudaLaunchKernel,0,240,4833,4833,20,needle
448833484,7784,cudaLaunchKernel,0,241,4833,4833,20,needle
448841556,6678,cudaLaunchKernel,0,242,4833,4833,20,needle
448848476,4280,cudaLaunchKernel,0,243,4833,4833,20,needle
448853001,4182,cudaLaunchKernel,0,244,4833,4833,20,needle
448857507,5536,cudaLaunchKernel,0,245,4833,4833,20,needle
448863285,7188,cudaLaunchKernel,0,246,4833,4833,20,needle
448870783,4943,cudaLaunchKernel,0,247,4833,4833,20,needle
