Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
276079427,5350,cuModuleGetLoadingMode,0,1,5528,5528,20,particlefilter_
286470357,1135427744,cudaMalloc,0,118,5528,5528,20,particlefilter_
1421899582,6613,cudaMalloc,0,119,5528,5528,20,particlefilter_
1421906526,6952,cudaMalloc,0,120,5528,5528,20,particlefilter_
1421913845,3660,cudaMalloc,0,121,5528,5528,20,particlefilter_
1421917701,3636,cudaMalloc,0,122,5528,5528,20,particlefilter_
1421921614,5598,cudaMalloc,0,123,5528,5528,20,particlefilter_
1421927457,2994,cudaMalloc,0,124,5528,5528,20,particlefilter_
1421937072,46828,cudaMemset,0,125,5528,5528,20,particlefilter_
1421984278,4407,cudaMalloc,0,126,5528,5528,20,particlefilter_
1421988995,4732,cudaMalloc,0,127,5528,5528,20,particlefilter_
1421993903,5570,cudaMalloc,0,128,5528,5528,20,particlefilter_
1421999946,3350,cudaMalloc,0,129,5528,5528,20,particlefilter_
1422003539,4017,cudaMalloc,0,130,5528,5528,20,particlefilter_
1422007738,6559,cudaMalloc,0,131,5528,5528,20,particlefilter_
1422022991,148819,cudaMemcpy,0,132,5528,5528,20,particlefilter_
1422172210,30948,cudaMemcpy,0,133,5528,5528,20,particlefilter_
1422203473,32989,cudaMemcpy,0,134,5528,5528,20,particlefilter_
1422236719,34229,cudaMemcpy,0,135,5528,5528,20,particlefilter_
1422271175,35001,cudaMemcpy,0,136,5528,5528,20,particlefilter_
1422306397,35812,cudaMemcpy,0,137,5528,5528,20,particlefilter_
1422371423,46758751,cudaLaunchKernel,0,138,5528,5528,20,particlefilter_
1469133282,54583,cudaLaunchKernel,0,139,5528,5528,20,particlefilter_
1469188811,57176,cudaLaunchKernel,0,140,5528,5528,20,particlefilter_
1469246688,52772,cudaLaunchKernel,0,141,5528,5528,20,particlefilter_
1469299916,15448,cudaLaunchKernel,0,142,5528,5528,20,particlefilter_
1469315746,12521,cudaLaunchKernel,0,143,5528,5528,20,particlefilter_
1469328585,12228,cudaLaunchKernel,0,144,5528,5528,20,particlefilter_
1469341142,14060,cudaLaunchKernel,0,145,5528,5528,20,particlefilter_
1469355549,56611,cudaLaunchKernel,0,146,5528,5528,20,particlefilter_
1469412672,12412,cudaLaunchKernel,0,147,5528,5528,20,particlefilter_
1469425398,12161,cudaLaunchKernel,0,148,5528,5528,20,particlefilter_
1469437876,11072,cudaLaunchKernel,0,149,5528,5528,20,particlefilter_
1469449276,11199,cudaLaunchKernel,0,150,5528,5528,20,particlefilter_
1469460781,11228,cudaLaunchKernel,0,151,5528,5528,20,particlefilter_
1469472320,12097,cudaLaunchKernel,0,152,5528,5528,20,particlefilter_
1469484820,12755,cudaLaunchKernel,0,153,5528,5528,20,particlefilter_
1469498036,11827,cudaLaunchKernel,0,154,5528,5528,20,particlefilter_
1469510193,11521,cudaLaunchKernel,0,155,5528,5528,20,particlefilter_
1469522024,10692,cudaLaunchKernel,0,156,5528,5528,20,particlefilter_
1469533044,11324,cudaLaunchKernel,0,157,5528,5528,20,particlefilter_
1469544705,11473,cudaLaunchKernel,0,158,5528,5528,20,particlefilter_
1469556499,11246,cudaLaunchKernel,0,159,5528,5528,20,particlefilter_
1469568072,12279,cudaLaunchKernel,0,160,5528,5528,20,particlefilter_
1469580781,11384,cudaLaunchKernel,0,161,5528,5528,20,particlefilter_
1469592501,11972,cudaLaunchKernel,0,162,5528,5528,20,particlefilter_
1469604794,13472,cudaLaunchKernel,0,163,5528,5528,20,particlefilter_
1469618612,16667,cudaLaunchKernel,0,164,5528,5528,20,particlefilter_
1469635599,11043,cudaLaunchKernel,0,165,5528,5528,20,particlefilter_
1469646973,10883,cudaLaunchKernel,0,166,5528,5528,20,particlefilter_
1469658168,11294,cudaLaunchKernel,0,167,5528,5528,20,particlefilter_
1469669786,10993,cudaLaunchKernel,0,168,5528,5528,20,particlefilter_
1469681085,10222,cudaLaunchKernel,0,169,5528,5528,20,particlefilter_
1469691630,11155,cudaLaunchKernel,0,170,5528,5528,20,particlefilter_
1469703089,13123,cudaLaunchKernel,0,171,5528,5528,20,particlefilter_
1469716555,11856,cudaLaunchKernel,0,172,5528,5528,20,particlefilter_
1469728736,11555,cudaLaunchKernel,0,173,5528,5528,20,particlefilter_
1469741013,1812461,cudaThreadSynchronize,0,174,5528,5528,20,particlefilter_
1471554490,11673,cudaFree,0,175,5528,5528,20,particlefilter_
1471566377,5980,cudaFree,0,176,5528,5528,20,particlefilter_
1471572536,4206,cudaFree,0,177,5528,5528,20,particlefilter_
1471576916,3498,cudaFree,0,178,5528,5528,20,particlefilter_
1471580555,3259,cudaFree,0,179,5528,5528,20,particlefilter_
1471584113,3564,cudaFree,0,180,5528,5528,20,particlefilter_
1471587854,4115,cudaFree,0,181,5528,5528,20,particlefilter_
1471592150,4157,cudaFree,0,182,5528,5528,20,particlefilter_
1471596574,4177,cudaFree,0,183,5528,5528,20,particlefilter_
1471600891,5063,cudaFree,0,184,5528,5528,20,particlefilter_
1471606635,48280,cudaMemcpy,0,185,5528,5528,20,particlefilter_
1471655415,32089,cudaMemcpy,0,186,5528,5528,20,particlefilter_
1471687874,29085,cudaMemcpy,0,187,5528,5528,20,particlefilter_
1471754004,7176,cudaFree,0,188,5528,5528,20,particlefilter_
1471761420,4636,cudaFree,0,189,5528,5528,20,particlefilter_
1471766201,194388,cudaFree,0,190,5528,5528,20,particlefilter_
