Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
205821108,4260,cuModuleGetLoadingMode,0,1,2230,2230,20,particlefilter_
208505562,167420811,cudaMalloc,0,118,2230,2230,20,particlefilter_
375927774,5989,cudaMalloc,0,119,2230,2230,20,particlefilter_
375934055,4539,cudaMalloc,0,120,2230,2230,20,particlefilter_
375938815,6009,cudaMalloc,0,121,2230,2230,20,particlefilter_
375945042,3846,cudaMalloc,0,122,2230,2230,20,particlefilter_
375949100,3439,cudaMalloc,0,123,2230,2230,20,particlefilter_
375952713,2753,cudaMalloc,0,124,2230,2230,20,particlefilter_
375961557,34477,cudaMemset,0,125,2230,2230,20,particlefilter_
375996323,6121,cudaMalloc,0,126,2230,2230,20,particlefilter_
376002646,3694,cudaMalloc,0,127,2230,2230,20,particlefilter_
376006523,2954,cudaMalloc,0,128,2230,2230,20,particlefilter_
376009713,5234,cudaMalloc,0,129,2230,2230,20,particlefilter_
376015267,3591,cudaMalloc,0,130,2230,2230,20,particlefilter_
376019044,3121,cudaMalloc,0,131,2230,2230,20,particlefilter_
376030811,42373,cudaMemcpy,0,132,2230,2230,20,particlefilter_
376073580,10341,cudaMemcpy,0,133,2230,2230,20,particlefilter_
376084165,8460,cudaMemcpy,0,134,2230,2230,20,particlefilter_
376092852,8369,cudaMemcpy,0,135,2230,2230,20,particlefilter_
376101455,8658,cudaMemcpy,0,136,2230,2230,20,particlefilter_
376110316,7668,cudaMemcpy,0,137,2230,2230,20,particlefilter_
376131437,56641784,cudaLaunchKernel,0,138,2230,2230,20,particlefilter_
432775611,21283,cudaLaunchKernel,0,139,2230,2230,20,particlefilter_
432797696,20960,cudaLaunchKernel,0,140,2230,2230,20,particlefilter_
432819180,15983,cudaLaunchKernel,0,141,2230,2230,20,particlefilter_
432835568,5532,cudaLaunchKernel,0,142,2230,2230,20,particlefilter_
432841360,5578,cudaLaunchKernel,0,143,2230,2230,20,particlefilter_
432847168,4979,cudaLaunchKernel,0,144,2230,2230,20,particlefilter_
432852433,6433,cudaLaunchKernel,0,145,2230,2230,20,particlefilter_
432859135,4677,cudaLaunchKernel,0,146,2230,2230,20,particlefilter_
432864046,4829,cudaLaunchKernel,0,147,2230,2230,20,particlefilter_
432869098,5454,cudaLaunchKernel,0,148,2230,2230,20,particlefilter_
432874797,4612,cudaLaunchKernel,0,149,2230,2230,20,particlefilter_
432879654,5924,cudaLaunchKernel,0,150,2230,2230,20,particlefilter_
432885830,3871,cudaLaunchKernel,0,151,2230,2230,20,particlefilter_
432889960,5015,cudaLaunchKernel,0,152,2230,2230,20,particlefilter_
432895256,5432,cudaLaunchKernel,0,153,2230,2230,20,particlefilter_
432900907,4882,cudaLaunchKernel,0,154,2230,2230,20,particlefilter_
432906023,5090,cudaLaunchKernel,0,155,2230,2230,20,particlefilter_
432911331,7094,cudaLaunchKernel,0,156,2230,2230,20,particlefilter_
432918698,5396,cudaLaunchKernel,0,157,2230,2230,20,particlefilter_
432924371,4348,cudaLaunchKernel,0,158,2230,2230,20,particlefilter_
432928957,5500,cudaLaunchKernel,0,159,2230,2230,20,particlefilter_
432934679,5917,cudaLaunchKernel,0,160,2230,2230,20,particlefilter_
432940864,4154,cudaLaunchKernel,0,161,2230,2230,20,particlefilter_
432945242,6038,cudaLaunchKernel,0,162,2230,2230,20,particlefilter_
432951564,3804,cudaLaunchKernel,0,163,2230,2230,20,particlefilter_
432955639,4547,cudaLaunchKernel,0,164,2230,2230,20,particlefilter_
432960417,5854,cudaLaunchKernel,0,165,2230,2230,20,particlefilter_
432966498,4425,cudaLaunchKernel,0,166,2230,2230,20,particlefilter_
432971159,5707,cudaLaunchKernel,0,167,2230,2230,20,particlefilter_
432977092,4314,cudaLaunchKernel,0,168,2230,2230,20,particlefilter_
432981635,4900,cudaLaunchKernel,0,169,2230,2230,20,particlefilter_
432986756,4109,cudaLaunchKernel,0,170,2230,2230,20,particlefilter_
432991085,4977,cudaLaunchKernel,0,171,2230,2230,20,particlefilter_
432996289,4697,cudaLaunchKernel,0,172,2230,2230,20,particlefilter_
433001252,4357,cudaLaunchKernel,0,173,2230,2230,20,particlefilter_
433006324,2176782,cudaThreadSynchronize,0,174,2230,2230,20,particlefilter_
435183818,8320,cudaFree,0,175,2230,2230,20,particlefilter_
435192371,5542,cudaFree,0,176,2230,2230,20,particlefilter_
435198147,3803,cudaFree,0,177,2230,2230,20,particlefilter_
435202153,3065,cudaFree,0,178,2230,2230,20,particlefilter_
435205409,3180,cudaFree,0,179,2230,2230,20,particlefilter_
435208791,3137,cudaFree,0,180,2230,2230,20,particlefilter_
435212152,4210,cudaFree,0,181,2230,2230,20,particlefilter_
435216574,4009,cudaFree,0,182,2230,2230,20,particlefilter_
435220800,3492,cudaFree,0,183,2230,2230,20,particlefilter_
435224489,4721,cudaFree,0,184,2230,2230,20,particlefilter_
435229786,25416,cudaMemcpy,0,185,2230,2230,20,particlefilter_
435255566,13599,cudaMemcpy,0,186,2230,2230,20,particlefilter_
435269448,10090,cudaMemcpy,0,187,2230,2230,20,particlefilter_
435320158,6061,cudaFree,0,188,2230,2230,20,particlefilter_
435326410,3805,cudaFree,0,189,2230,2230,20,particlefilter_
435330407,87350,cudaFree,0,190,2230,2230,20,particlefilter_
