Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
375995516,1600,125,,,,,,,,,,0.008,5000.000,Device,,NVIDIA H100 NVL (0),1,,7,[CUDA memset]
376072894,5473,132,,,,,,,,,,0.164,29936.026,Pageable,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Host-to-Device]
376084927,832,133,,,,,,,,,,0.001,663.461,Pageable,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Host-to-Device]
376094047,1216,134,,,,,,,,,,0.008,6578.944,Pageable,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Host-to-Device]
376102815,1216,135,,,,,,,,,,0.008,6578.944,Pageable,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Host-to-Device]
376111456,1184,136,,,,,,,,,,0.008,6756.752,Pageable,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Host-to-Device]
376119392,960,137,,,,,,,,,,0.004,4166.664,Pageable,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Host-to-Device]
432770237,137637,138,2,1,1,512,1,1,42,0.004,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigned char *, double *, double *, int, int, int, int, int, int, int *, double *)"
432911810,2240,139,2,1,1,512,1,1,30,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"sum_kernel(double *, int)"
432918114,47650,140,2,1,1,512,1,1,27,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"normalize_weights_kernel(double *, int, double *, double *, double *, int *)"
432970308,75652,141,2,1,1,512,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)"
433047304,136868,142,2,1,1,512,1,1,42,0.004,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigned char *, double *, double *, int, int, int, int, int, int, int *, double *)"
433185580,2112,143,2,1,1,512,1,1,30,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"sum_kernel(double *, int)"
433189036,47682,144,2,1,1,512,1,1,27,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"normalize_weights_kernel(double *, int, double *, double *, double *, int *)"
433237870,89251,145,2,1,1,512,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)"
433328241,136774,146,2,1,1,512,1,1,42,0.004,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigned char *, double *, double *, int, int, int, int, int, int, int *, double *)"
433466167,1920,147,2,1,1,512,1,1,30,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"sum_kernel(double *, int)"
433469207,47489,148,2,1,1,512,1,1,27,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"normalize_weights_kernel(double *, int, double *, double *, double *, int *)"
433518073,74498,149,2,1,1,512,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)"
433593659,137158,150,2,1,1,512,1,1,42,0.004,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigned char *, double *, double *, int, int, int, int, int, int, int *, double *)"
433732257,1952,151,2,1,1,512,1,1,30,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"sum_kernel(double *, int)"
433735553,47489,152,2,1,1,512,1,1,27,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"normalize_weights_kernel(double *, int, double *, double *, double *, int *)"
433784386,49826,153,2,1,1,512,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)"
433835588,136805,154,2,1,1,512,1,1,42,0.004,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigned char *, double *, double *, int, int, int, int, int, int, int *, double *)"
433973769,1920,155,2,1,1,512,1,1,30,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"sum_kernel(double *, int)"
433977033,47523,156,2,1,1,512,1,1,27,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"normalize_weights_kernel(double *, int, double *, double *, double *, int *)"
434025612,79266,157,2,1,1,512,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)"
434106254,137189,158,2,1,1,512,1,1,42,0.004,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigned char *, double *, double *, int, int, int, int, int, int, int *, double *)"
434244595,1952,159,2,1,1,512,1,1,30,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"sum_kernel(double *, int)"
434247955,47490,160,2,1,1,512,1,1,27,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"normalize_weights_kernel(double *, int, double *, double *, double *, int *)"
434296565,64259,161,2,1,1,512,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)"
434362008,136677,162,2,1,1,512,1,1,42,0.004,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigned char *, double *, double *, int, int, int, int, int, int, int *, double *)"
434500061,1920,163,2,1,1,512,1,1,30,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"sum_kernel(double *, int)"
434503325,47521,164,2,1,1,512,1,1,27,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"normalize_weights_kernel(double *, int, double *, double *, double *, int *)"
434552222,72835,165,2,1,1,512,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)"
434626177,137637,166,2,1,1,512,1,1,42,0.004,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigned char *, double *, double *, int, int, int, int, int, int, int *, double *)"
434764966,1953,167,2,1,1,512,1,1,30,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"sum_kernel(double *, int)"
434768327,47489,168,2,1,1,512,1,1,27,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"normalize_weights_kernel(double *, int, double *, double *, double *, int *)"
434817160,81379,169,2,1,1,512,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)"
434899659,137670,170,2,1,1,512,1,1,42,0.004,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigned char *, double *, double *, int, int, int, int, int, int, int *, double *)"
435038705,1920,171,2,1,1,512,1,1,30,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"sum_kernel(double *, int)"
435042001,47489,172,2,1,1,512,1,1,27,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"normalize_weights_kernel(double *, int, double *, double *, double *, int *)"
435090866,88227,173,2,1,1,512,1,1,16,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)"
435244472,1600,185,,,,,,,,,,0.008,5000.000,Device,Pageable,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Host]
