Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
203293762,4543,cuModuleGetLoadingMode,0,1,4904,4904,20,particlefilter_
205950724,186777935,cudaMallocManaged,0,118,4904,4904,20,particlefilter_
393625543,31943,cudaMallocManaged,0,119,4904,4904,20,particlefilter_
407098179,24236,cudaMallocManaged,0,120,4904,4904,20,particlefilter_
407123469,14539,cudaMallocManaged,0,121,4904,4904,20,particlefilter_
407141240,7526,cudaMallocManaged,0,122,4904,4904,20,particlefilter_
407149103,6749,cudaMallocManaged,0,123,4904,4904,20,particlefilter_
407156059,12382,cudaMallocManaged,0,124,4904,4904,20,particlefilter_
407168921,6437,cudaMallocManaged,0,125,4904,4904,20,particlefilter_
407175585,4362,cudaMallocManaged,0,126,4904,4904,20,particlefilter_
407180130,10618,cudaMallocManaged,0,127,4904,4904,20,particlefilter_
407191842,6043,cudaMallocManaged,0,128,4904,4904,20,particlefilter_
407204273,318081,cudaMemset,0,129,4904,4904,20,particlefilter_
407522864,16252,cudaMallocManaged,0,130,4904,4904,20,particlefilter_
407539405,4715,cudaMallocManaged,0,131,4904,4904,20,particlefilter_
407850038,830635,cudaLaunchKernel,0,132,4904,4904,20,particlefilter_
408682229,20978,cudaLaunchKernel,0,133,4904,4904,20,particlefilter_
408703871,22193,cudaLaunchKernel,0,134,4904,4904,20,particlefilter_
408726463,17578,cudaLaunchKernel,0,135,4904,4904,20,particlefilter_
408744441,4596,cudaLaunchKernel,0,136,4904,4904,20,particlefilter_
408749364,4828,cudaLaunchKernel,0,137,4904,4904,20,particlefilter_
408754445,4543,cudaLaunchKernel,0,138,4904,4904,20,particlefilter_
408759236,5155,cudaLaunchKernel,0,139,4904,4904,20,particlefilter_
408764664,4804,cudaLaunchKernel,0,140,4904,4904,20,particlefilter_
408769745,3785,cudaLaunchKernel,0,141,4904,4904,20,particlefilter_
408773801,5007,cudaLaunchKernel,0,142,4904,4904,20,particlefilter_
408779023,4901,cudaLaunchKernel,0,143,4904,4904,20,particlefilter_
408784144,5218,cudaLaunchKernel,0,144,4904,4904,20,particlefilter_
408789602,4195,cudaLaunchKernel,0,145,4904,4904,20,particlefilter_
408794022,4730,cudaLaunchKernel,0,146,4904,4904,20,particlefilter_
408798990,4989,cudaLaunchKernel,0,147,4904,4904,20,particlefilter_
408804216,3848,cudaLaunchKernel,0,148,4904,4904,20,particlefilter_
408808340,5720,cudaLaunchKernel,0,149,4904,4904,20,particlefilter_
408814288,4935,cudaLaunchKernel,0,150,4904,4904,20,particlefilter_
408819450,4384,cudaLaunchKernel,0,151,4904,4904,20,particlefilter_
408824083,4909,cudaLaunchKernel,0,152,4904,4904,20,particlefilter_
408829224,3752,cudaLaunchKernel,0,153,4904,4904,20,particlefilter_
408833209,5307,cudaLaunchKernel,0,154,4904,4904,20,particlefilter_
408838745,5095,cudaLaunchKernel,0,155,4904,4904,20,particlefilter_
408844073,5122,cudaLaunchKernel,0,156,4904,4904,20,particlefilter_
408849477,4814,cudaLaunchKernel,0,157,4904,4904,20,particlefilter_
408854515,4182,cudaLaunchKernel,0,158,4904,4904,20,particlefilter_
408858974,4988,cudaLaunchKernel,0,159,4904,4904,20,particlefilter_
408864207,4605,cudaLaunchKernel,0,160,4904,4904,20,particlefilter_
408869079,14301,cudaLaunchKernel,0,161,4904,4904,20,particlefilter_
408883941,4754,cudaLaunchKernel,0,162,4904,4904,20,particlefilter_
408888917,4503,cudaLaunchKernel,0,163,4904,4904,20,particlefilter_
408893662,5500,cudaLaunchKernel,0,164,4904,4904,20,particlefilter_
408899434,4183,cudaLaunchKernel,0,165,4904,4904,20,particlefilter_
408903880,5220,cudaLaunchKernel,0,166,4904,4904,20,particlefilter_
408909331,5084,cudaLaunchKernel,0,167,4904,4904,20,particlefilter_
408914830,2637440,cudaDeviceSynchronize,0,168,4904,4904,20,particlefilter_
411553194,21972,cudaFree,0,169,4904,4904,20,particlefilter_
411575462,10098,cudaFree,0,170,4904,4904,20,particlefilter_
411585793,7836,cudaFree,0,171,4904,4904,20,particlefilter_
411593850,7405,cudaFree,0,172,4904,4904,20,particlefilter_
411601486,7704,cudaFree,0,173,4904,4904,20,particlefilter_
411609405,7315,cudaFree,0,174,4904,4904,20,particlefilter_
411616930,8510,cudaFree,0,175,4904,4904,20,particlefilter_
411625688,8544,cudaFree,0,176,4904,4904,20,particlefilter_
411893251,10349,cudaFree,0,177,4904,4904,20,particlefilter_
411903796,8038,cudaFree,0,178,4904,4904,20,particlefilter_
411912152,8276,cudaFree,0,179,4904,4904,20,particlefilter_
411923209,8762,cudaFree,0,180,4904,4904,20,particlefilter_
411932213,249861,cudaFree,0,181,4904,4904,20,particlefilter_
