Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
298356809,5397,cuModuleGetLoadingMode,0,1,5596,5596,20,pathfinder
309199014,1173350013,cudaMallocHost,0,119,5596,5596,20,pathfinder
1482551767,280770,cudaMallocHost,0,120,5596,5596,20,pathfinder
1482834179,283651,cudaMallocHost,0,121,5596,5596,20,pathfinder
2442584479,196071,cudaMalloc,0,122,5596,5596,20,pathfinder
2442781290,7437,cudaMalloc,0,123,5596,5596,20,pathfinder
2442799365,250204,cudaMemcpy,0,124,5596,5596,20,pathfinder
2443049906,173687,cudaMalloc,0,125,5596,5596,20,pathfinder
2443224285,15493800,cudaMemcpy,0,126,5596,5596,20,pathfinder
2458722326,15405763,cudaLaunchKernel,0,127,5596,5596,20,pathfinder
2474131550,20984,cudaLaunchKernel,0,128,5596,5596,20,pathfinder
2474153074,14950,cudaLaunchKernel,0,129,5596,5596,20,pathfinder
2474168513,12164,cudaLaunchKernel,0,130,5596,5596,20,pathfinder
2474181215,15449,cudaLaunchKernel,0,131,5596,5596,20,pathfinder
2474197285,267936,cudaMemcpy,0,132,5596,5596,20,pathfinder
2488884006,272113,cudaFree,0,133,5596,5596,20,pathfinder
2489156847,11098,cudaFree,0,134,5596,5596,20,pathfinder
2489168194,109053,cudaFree,0,135,5596,5596,20,pathfinder
2489277674,1982270,cudaFree,0,136,5596,5596,20,pathfinder
2491261032,34192,cudaFree,0,137,5596,5596,20,pathfinder
2491295504,75860,cudaFree,0,138,5596,5596,20,pathfinder
