Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
50.5,2420153416,6445,375508.7,207688.0,47231,26365706,477178.8,cudaMemcpy
25.0,1194864294,4,298716073.5,8067367.5,295012,1178434547,586524576.6,cudaMallocHost
11.6,557256515,22554,24707.7,22916.0,20429,314224,7292.0,cudaEventRecord
4.0,191992555,11277,17025.1,15399.0,2301,164060,5213.4,cudaEventSynchronize
2.5,118482491,1617,73273.0,19670.0,11856,3275741,111407.0,cudaFree
1.7,82384352,1611,51138.6,50462.0,9261,156677,5767.0,cudaDeviceSynchronize
1.3,63627993,3222,19748.0,18839.5,17011,437126,9793.3,cudaEventCreate
1.3,62711956,3222,19463.7,20611.5,10852,546236,12627.0,cudaMemset
1.1,53237950,1615,32964.7,4370.0,3640,1828588,61096.6,cudaMalloc
0.9,43348898,1611,26908.1,14317.0,12043,19119180,475992.8,cudaLaunchKernel
0.0,5518,1,5518.0,5518.0,5518,5518,0.0,cuModuleGetLoadingMode
