Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
333271420,5518,cuModuleGetLoadingMode,0,1,5732,5732,20,sc_gpu
344491772,1178434547,cudaMallocHost,0,118,5732,5732,20,sc_gpu
1665237081,315792,cudaMallocHost,0,119,5732,5732,20,sc_gpu
2022969322,64274,cudaEventCreate,0,120,5732,5732,20,sc_gpu
2023034369,21099,cudaEventCreate,0,121,5732,5732,20,sc_gpu
2023066477,89025,cudaEventRecord,0,122,5732,5732,20,sc_gpu
2023176509,15818943,cudaMallocHost,0,123,5732,5732,20,sc_gpu
2216377208,101260,cudaEventRecord,0,124,5732,5732,20,sc_gpu
2216479468,17424,cudaEventSynchronize,0,125,5732,5732,20,sc_gpu
2216505482,25930,cudaEventRecord,0,127,5732,5732,20,sc_gpu
2216532210,320738,cudaMalloc,0,128,5732,5732,20,sc_gpu
2216854055,99625,cudaMalloc,0,129,5732,5732,20,sc_gpu
2216954227,4491,cudaMalloc,0,130,5732,5732,20,sc_gpu
2216959053,70643,cudaMalloc,0,131,5732,5732,20,sc_gpu
2217029995,234685,cudaMalloc,0,132,5732,5732,20,sc_gpu
2217265437,38233,cudaEventRecord,0,133,5732,5732,20,sc_gpu
2217304237,20087,cudaEventSynchronize,0,134,5732,5732,20,sc_gpu
2217331070,30601,cudaEventRecord,0,136,5732,5732,20,sc_gpu
2217362944,26365706,cudaMemcpy,0,137,5732,5732,20,sc_gpu
2243731346,151350,cudaMemcpy,0,138,5732,5732,20,sc_gpu
2243883124,760154,cudaMemcpy,0,139,5732,5732,20,sc_gpu
2244645004,57755,cudaMemset,0,140,5732,5732,20,sc_gpu
2244703333,546236,cudaMemset,0,141,5732,5732,20,sc_gpu
2245250876,38323,cudaEventRecord,0,142,5732,5732,20,sc_gpu
2245290064,18561,cudaEventSynchronize,0,143,5732,5732,20,sc_gpu
2245316412,23943,cudaEventRecord,0,145,5732,5732,20,sc_gpu
2245344191,19119180,cudaLaunchKernel,0,146,5732,5732,20,sc_gpu
2264464504,53671,cudaDeviceSynchronize,0,147,5732,5732,20,sc_gpu
2264519872,28861,cudaEventRecord,0,149,5732,5732,20,sc_gpu
2264549360,19025,cudaEventSynchronize,0,150,5732,5732,20,sc_gpu
2264575345,28056,cudaEventRecord,0,152,5732,5732,20,sc_gpu
2264604065,2159937,cudaMemcpy,0,153,5732,5732,20,sc_gpu
2266766346,98248,cudaMemcpy,0,154,5732,5732,20,sc_gpu
2266865510,28550,cudaEventRecord,0,155,5732,5732,20,sc_gpu
2266894899,14030,cudaEventSynchronize,0,156,5732,5732,20,sc_gpu
2266916465,22066,cudaEventRecord,0,158,5732,5732,20,sc_gpu
2291808459,52888,cudaEventRecord,0,159,5732,5732,20,sc_gpu
2291862242,12641,cudaEventSynchronize,0,160,5732,5732,20,sc_gpu
2291881933,22232,cudaEventRecord,0,162,5732,5732,20,sc_gpu
2291905041,334421,cudaFree,0,163,5732,5732,20,sc_gpu
2292240039,23428,cudaEventRecord,0,164,5732,5732,20,sc_gpu
2292263811,15282,cudaEventSynchronize,0,165,5732,5732,20,sc_gpu
2292284765,22866,cudaEventCreate,0,167,5732,5732,20,sc_gpu
2292308010,18502,cudaEventCreate,0,168,5732,5732,20,sc_gpu
2292326739,21800,cudaEventRecord,0,169,5732,5732,20,sc_gpu
2292455997,26446,cudaEventRecord,0,170,5732,5732,20,sc_gpu
2292482770,15579,cudaEventSynchronize,0,171,5732,5732,20,sc_gpu
2292502552,20908,cudaEventRecord,0,173,5732,5732,20,sc_gpu
2292523955,15814,cudaMalloc,0,174,5732,5732,20,sc_gpu
2292540067,22972,cudaEventRecord,0,175,5732,5732,20,sc_gpu
2292563419,15207,cudaEventSynchronize,0,176,5732,5732,20,sc_gpu
2292582763,23453,cudaEventRecord,0,178,5732,5732,20,sc_gpu
2292607226,168146,cudaMemcpy,0,179,5732,5732,20,sc_gpu
2292775799,924748,cudaMemcpy,0,180,5732,5732,20,sc_gpu
2293702178,44171,cudaMemset,0,181,5732,5732,20,sc_gpu
2293746625,14553,cudaMemset,0,182,5732,5732,20,sc_gpu
2293762200,34257,cudaEventRecord,0,183,5732,5732,20,sc_gpu
2293797259,19060,cudaEventSynchronize,0,184,5732,5732,20,sc_gpu
2293823329,23771,cudaEventRecord,0,186,5732,5732,20,sc_gpu
2293850099,25386,cudaLaunchKernel,0,187,5732,5732,20,sc_gpu
2293876091,46533,cudaDeviceSynchronize,0,188,5732,5732,20,sc_gpu
2293924282,24985,cudaEventRecord,0,190,5732,5732,20,sc_gpu
2293949609,20255,cudaEventSynchronize,0,191,5732,5732,20,sc_gpu
2293975517,26232,cudaEventRecord,0,193,5732,5732,20,sc_gpu
