Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
2218028395,25680752,137,,,,,,,,,,67.109,2550.137,Managed,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Device]
2243859422,16576,138,,,,,,,,,,0.262,15814.623,Managed,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Device]
2244237860,397352,139,,,,,,,,,,2.097,5276.434,Managed,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Device]
2244706989,1920,140,,,,,,,,,,0.066,34133.311,Device,,NVIDIA H100 NVL (0),1,,7,[CUDA memset]
2245248439,2592,141,,,,,,,,,,3.146,1213646.672,Device,,NVIDIA H100 NVL (0),1,,7,[CUDA memset]
2264465201,35201,146,128,1,1,512,1,1,32,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"kernel_compute_cost(int, int, long, Point *, int, int, float *, float *, int *, bool *)"
2264638484,1743392,153,,,,,,,,,,3.146,1802.530,Device,Pageable,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Host]
2266792571,3264,154,,,,,,,,,,0.066,20078.395,Device,Pageable,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Host]
2292749872,16576,179,,,,,,,,,,0.262,15814.623,Managed,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Device]
2293173880,514024,180,,,,,,,,,,2.097,4078.961,Managed,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Device]
2293751426,1632,181,,,,,,,,,,0.066,40156.856,Device,,NVIDIA H100 NVL (0),1,,7,[CUDA memset]
2293769090,1696,182,,,,,,,,,,0.524,309136.456,Device,,NVIDIA H100 NVL (0),1,,7,[CUDA memset]
