Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
368211482,5344,cuModuleGetLoadingMode,0,1,8278,8278,20,sc_gpu
378994665,1159720619,cudaMallocManaged,0,118,8278,8278,20,sc_gpu
1676058887,72361,cudaMallocManaged,0,119,8278,8278,20,sc_gpu
2065254345,109987,cudaEventCreate,0,120,8278,8278,20,sc_gpu
2065365042,20578,cudaEventCreate,0,121,8278,8278,20,sc_gpu
2065394121,51054,cudaEventRecord,0,122,8278,8278,20,sc_gpu
2066446938,34879,cudaMallocManaged,0,123,8278,8278,20,sc_gpu
2066482272,100853,cudaMallocManaged,0,124,8278,8278,20,sc_gpu
2296602968,133868,cudaEventRecord,0,125,8278,8278,20,sc_gpu
2296737908,16635,cudaEventSynchronize,0,126,8278,8278,20,sc_gpu
2296762612,25011,cudaEventRecord,0,128,8278,8278,20,sc_gpu
2296788343,93646,cudaMallocManaged,0,129,8278,8278,20,sc_gpu
2296882443,25966,cudaEventRecord,0,130,8278,8278,20,sc_gpu
2296908767,19897,cudaEventSynchronize,0,131,8278,8278,20,sc_gpu
2296934837,27445,cudaEventRecord,0,133,8278,8278,20,sc_gpu
2298242868,6554056,cudaMemset,0,134,8278,8278,20,sc_gpu
2304797693,217507730,cudaMemset,0,135,8278,8278,20,sc_gpu
2522307569,37557,cudaEventRecord,0,136,8278,8278,20,sc_gpu
2522346246,18530,cudaEventSynchronize,0,137,8278,8278,20,sc_gpu
2522372235,23854,cudaEventRecord,0,139,8278,8278,20,sc_gpu
2522399371,370053,cudaLaunchKernel,0,140,8278,8278,20,sc_gpu
2522770054,14049575162,cudaDeviceSynchronize,0,141,8278,8278,20,sc_gpu
16572351430,60556,cudaEventRecord,0,143,8278,8278,20,sc_gpu
16572412828,16371,cudaEventSynchronize,0,144,8278,8278,20,sc_gpu
16572438395,36637,cudaEventRecord,0,146,8278,8278,20,sc_gpu
16572475439,34502,cudaEventRecord,0,147,8278,8278,20,sc_gpu
16572510333,19485,cudaEventSynchronize,0,148,8278,8278,20,sc_gpu
16572536834,26907,cudaEventRecord,0,150,8278,8278,20,sc_gpu
16619598535,82055,cudaEventRecord,0,151,8278,8278,20,sc_gpu
16619681644,16029,cudaEventSynchronize,0,152,8278,8278,20,sc_gpu
16619706218,28082,cudaEventRecord,0,154,8278,8278,20,sc_gpu
16619735153,585960,cudaFree,0,155,8278,8278,20,sc_gpu
16620322295,42086,cudaEventRecord,0,156,8278,8278,20,sc_gpu
16620364837,20472,cudaEventSynchronize,0,157,8278,8278,20,sc_gpu
16620394332,29643,cudaEventCreate,0,159,8278,8278,20,sc_gpu
16620424401,18815,cudaEventCreate,0,160,8278,8278,20,sc_gpu
16620443434,25010,cudaEventRecord,0,161,8278,8278,20,sc_gpu
16620535359,25448,cudaEventRecord,0,162,8278,8278,20,sc_gpu
16620561119,20484,cudaEventSynchronize,0,163,8278,8278,20,sc_gpu
16620588642,23871,cudaEventRecord,0,165,8278,8278,20,sc_gpu
16620613209,22041,cudaMallocManaged,0,166,8278,8278,20,sc_gpu
16620635493,25522,cudaEventRecord,0,167,8278,8278,20,sc_gpu
16620661249,20185,cudaEventSynchronize,0,168,8278,8278,20,sc_gpu
16620688434,28591,cudaEventRecord,0,170,8278,8278,20,sc_gpu
16620717931,1094231640,cudaMemset,0,171,8278,8278,20,sc_gpu
17714950872,63095130,cudaMemset,0,172,8278,8278,20,sc_gpu
17778046969,32011,cudaEventRecord,0,173,8278,8278,20,sc_gpu
17778079482,19367,cudaEventSynchronize,0,174,8278,8278,20,sc_gpu
17778106107,27359,cudaEventRecord,0,176,8278,8278,20,sc_gpu
17778137150,26717,cudaLaunchKernel,0,177,8278,8278,20,sc_gpu
17778164324,180929514,cudaDeviceSynchronize,0,178,8278,8278,20,sc_gpu
17959095631,29974,cudaEventRecord,0,180,8278,8278,20,sc_gpu
17959125882,19325,cudaEventSynchronize,0,181,8278,8278,20,sc_gpu
17959152055,31916,cudaEventRecord,0,183,8278,8278,20,sc_gpu
17959184278,34612,cudaEventRecord,0,184,8278,8278,20,sc_gpu
17959219179,20095,cudaEventSynchronize,0,185,8278,8278,20,sc_gpu
17959245994,26473,cudaEventRecord,0,187,8278,8278,20,sc_gpu
17992247998,74854,cudaEventRecord,0,188,8278,8278,20,sc_gpu
17992323731,16039,cudaEventSynchronize,0,189,8278,8278,20,sc_gpu
