Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
49.6,450754250,6445,69938.6,56890.0,15770,1734950,88668.7,cudaMemcpy
21.1,191650544,4,47912636.0,13515629.5,17180,164602105,78725057.3,cudaMallocHost
6.3,57709532,1611,35822.2,35319.0,3645,72849,3820.0,cudaDeviceSynchronize
5.6,50599825,11277,4487.0,4089.0,1826,42185,2172.2,cudaEventSynchronize
4.9,44888172,1617,27760.2,5587.0,856,159126,32427.2,cudaFree
3.9,35860312,1615,22204.5,3254.0,2025,183670,28240.3,cudaMalloc
3.9,35648231,22554,1580.6,1359.0,1171,40400,1282.9,cudaEventRecord
2.6,23268329,3222,7221.7,5823.0,3933,49282,3784.0,cudaMemset
1.5,14025430,1611,8706.0,5844.0,3487,3791319,94358.5,cudaLaunchKernel
0.5,4652458,3222,1444.0,951.0,462,792019,14007.0,cudaEventCreate
0.0,4396,1,4396.0,4396.0,4396,4396,0.0,cuModuleGetLoadingMode
