Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
274826916,4228,cuModuleGetLoadingMode,0,1,5117,5117,20,sc_gpu
278782670,185665902,cudaMallocManaged,0,118,5117,5117,20,sc_gpu
600689012,72031,cudaMallocManaged,0,119,5117,5117,20,sc_gpu
913412386,17753,cudaEventCreate,0,120,5117,5117,20,sc_gpu
913430408,1259,cudaEventCreate,0,121,5117,5117,20,sc_gpu
913436836,27352,cudaEventRecord,0,122,5117,5117,20,sc_gpu
914483358,27284,cudaMallocManaged,0,123,5117,5117,20,sc_gpu
914511014,67838,cudaMallocManaged,0,124,5117,5117,20,sc_gpu
1102736299,27302,cudaEventRecord,0,125,5117,5117,20,sc_gpu
1102764496,17642,cudaEventSynchronize,0,126,5117,5117,20,sc_gpu
1102785920,2415,cudaEventRecord,0,128,5117,5117,20,sc_gpu
1102789022,97295,cudaMallocManaged,0,129,5117,5117,20,sc_gpu
1102886695,1854,cudaEventRecord,0,130,5117,5117,20,sc_gpu
1102888881,4547,cudaEventSynchronize,0,131,5117,5117,20,sc_gpu
1102894961,1429,cudaEventRecord,0,133,5117,5117,20,sc_gpu
1104707574,324409,cudaMemset,0,134,5117,5117,20,sc_gpu
1105032476,756347,cudaMemset,0,135,5117,5117,20,sc_gpu
1105789489,6660,cudaEventRecord,0,136,5117,5117,20,sc_gpu
1105796565,3458,cudaEventSynchronize,0,137,5117,5117,20,sc_gpu
1105802386,1822,cudaEventRecord,0,139,5117,5117,20,sc_gpu
1105807022,252178,cudaLaunchKernel,0,140,5117,5117,20,sc_gpu
1106059836,25830685,cudaDeviceSynchronize,0,141,5117,5117,20,sc_gpu
1131892443,4011,cudaEventRecord,0,143,5117,5117,20,sc_gpu
1131896781,5297,cudaEventSynchronize,0,144,5117,5117,20,sc_gpu
1131903912,1602,cudaEventRecord,0,146,5117,5117,20,sc_gpu
1131905700,1488,cudaEventRecord,0,147,5117,5117,20,sc_gpu
1131907379,3874,cudaEventSynchronize,0,148,5117,5117,20,sc_gpu
1131912421,1442,cudaEventRecord,0,150,5117,5117,20,sc_gpu
1167134140,21456,cudaEventRecord,0,151,5117,5117,20,sc_gpu
1167156113,8102,cudaEventSynchronize,0,152,5117,5117,20,sc_gpu
1167167402,1750,cudaEventRecord,0,154,5117,5117,20,sc_gpu
1167169908,450949,cudaFree,0,155,5117,5117,20,sc_gpu
1167621587,3541,cudaEventRecord,0,156,5117,5117,20,sc_gpu
1167625425,5186,cudaEventSynchronize,0,157,5117,5117,20,sc_gpu
1167632965,4845,cudaEventCreate,0,159,5117,5117,20,sc_gpu
