App,nor-nor,cc-nor,nor-uvm,cc-uvm
BN,336003.195,339755.476,399810.652,31062878.740000002
CNN,4540563.779999999,4681413.707,4588028.363,682692298.4
kmeans,18274260.788000003,18265046.908,18274852.448999997,22371682.717
knn,4324659.145,4326972.045,4385269.365,11648661.451
log-reg,683509.5,675748.9700000001,698990.2969999999,4992331.831
backprop,15.296,15.265,3133.911,1060358.51
dwt2d,72.098,72.384,1315.7169999999999,335354.369
hotspot,6.816,6.944,1042.397,863735.803
hotspot3D,4249.665,4276.366,10446.883,2290716.719
nw,1309.234,1345.469,12579.577,74600.69799999999
partfil,2355.319,2347.69,2816.206,6377.3330000000005
pathfinder,52.706,53.409,13730.2,3496442.008
sc,51848.812,51478.155,294904.72,58020072.624
2DCONV,73.186,74.337,27931.941,12004747.541
2MM,18578.21,18582.288,48195.735,4120075.783
3DCONV,599.282,601.963,51734.673,12970572.699
3MM,543.6020000000001,566.155,3096.963,914870.2150000001
ATAX,2327.853,2323.178,12550.801,204127.811
BICG,2336.142,2343.242,22077.131,380327.98
CORR,1231662.665,1237664.059,1250317.477,1348721.7850000001
COVAR,1231875.222,1233004.1199999999,1250252.3139999998,1346738.425
FDTD-2D,30046.086,29827.654,44361.507,4636589.803
GEMM,187872.398,187838.473,263641.985,17522507.422
GESUMMV,1537.361,1528.127,18766.889,356649.287
GRAMSCHM,1612127.2700000003,1606622.779,1628190.665,1737967.373
MVT,2333.096,2322.639,12791.859,202256.88499999998
SYR2K,79989.956,80053.193,91623.051,3695937.668
SYRK,5255.555,5255.978,8004.517,1030842.166
