API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
318371767,800895684,1119267451,3988,1119271439,102402786,903302458,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119270074,14243,1119284317,102391252,1221675569,102402564,204808059,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119284751,9190,1119293941,204785568,1324079509,102402530,307197288,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119294194,32027,1119326221,307157002,1426483223,102402722,409591751,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119326596,9081,1119335677,409551676,1528887353,102402500,511963257,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119335956,9832,1119345788,511945345,1631291133,102402626,614357803,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119346063,9970,1119356033,614338942,1733694975,102402690,716751602,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119356279,9828,1119366107,716732903,1836099010,102402563,819145294,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119366342,9941,1119376283,819126698,1938502981,102402498,921539137,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119376526,9982,1119386508,921520411,2040906919,102402467,1023932860,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119386756,9884,1119396640,1023914218,2143310858,102402435,1126326537,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119396894,10013,1119406907,1126307890,2245714797,102402402,1228720305,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119407296,10065,1119417361,1228701214,2348118575,102402531,1331113810,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119417707,9833,1119427540,1331095102,2450522642,102402370,1433507305,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119427778,9692,1119437470,1433489079,2552926549,102402370,1535901141,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119437707,9893,1119447600,1535882695,2655330295,102402531,1638295119,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119447835,9889,1119457724,1638276510,2757734234,102402498,1740688897,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119457961,9890,1119467851,1740670321,2860138172,102402466,1843082677,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119468103,9866,1119477969,1843064174,2962542143,102402403,1945476443,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119478227,9899,1119488126,1945457924,3064946050,102402402,2047870225,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119488361,9802,1119498163,2047851857,3167350020,102402338,2150263997,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119498389,9909,1119508298,2150245500,3269753798,102402468,2252657877,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119508526,9902,1119518428,2252639342,3372157770,102402402,2355051646,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119518679,9827,1119528506,2355033042,3474561548,102402530,2457445399,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119528749,10391,1119539140,2457426378,3576965518,102402467,2559839236,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119539376,9835,1119549211,2559820374,3679369585,102402307,2662232516,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119549452,9829,1119559281,2662214147,3781773428,102402370,2764626346,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119559490,10021,1119569511,2764607759,3884177270,102402435,2867020215,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119569890,9742,1119579632,2867001577,3986581209,102402402,2969413721,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119579979,9789,1119589768,2969395411,4088985179,102402340,3071807540,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119589993,9718,1119599711,3071789312,4191389023,102402402,3174201432,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119599934,9891,1119609825,3174183008,4293792833,102402499,3276595398,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119610088,9775,1119619863,3276577005,4396196868,102402371,3378989151,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119620098,9916,1119630014,3378970761,4498600775,102402371,3481383048,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119630258,9791,1119640049,3481364473,4601004522,102402530,3583776794,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119640279,9945,1119650224,3583758301,4703408525,102402435,3686170681,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119650435,9822,1119660257,3686152143,4805812400,102402467,3788564432,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119660490,28214,1119688704,3788527699,4908216403,102402370,3890958283,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119689045,8869,1119697914,3890922363,5010620277,102402404,3993333636,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119698165,9890,1119708055,3993316130,5113024185,102402402,4095728422,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119708321,9734,1119718055,4095709972,5215428027,102402467,4198122173,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119718303,9836,1119728139,4198103891,5317832030,102402371,4300516098,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119728400,9815,1119738215,4300497722,5420235937,102402371,4402909908,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119738460,9947,1119748407,4402891373,5522639780,102402434,4505303754,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119748661,9863,1119758524,4505285258,5625043782,102402340,4607697461,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119758749,9652,1119768401,4607679129,5727447530,102402498,4710091279,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119768615,9887,1119778502,4710072934,5829851436,102402500,4812485321,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119778718,9872,1119788590,4812466913,5932255503,102402339,4914879124,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119788836,9823,1119798659,4914860783,6034659442,102402307,5017272913,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119798881,9893,1119808774,5017254479,6137063253,102402405,5119666777,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119809001,9867,1119818868,5119648326,6239467194,102402371,5222060564,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119819094,9870,1119828964,5222042105,6341871069,102402403,5324454378,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119829187,9880,1119839067,5324435973,6444275040,102402340,5426848193,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119839312,9829,1119849141,5426829775,6546678916,102402372,5529241976,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119849364,9877,1119859241,5529223487,6649082728,102402467,5631635831,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119859480,9853,1119869333,5631617238,6751486571,102402532,5734029623,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119869546,9850,1119879396,5734011147,6853890543,102402468,5836423465,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119879615,9858,1119889473,5836405074,6956294547,102402371,5938817303,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119889685,9834,1119899519,5938798967,7058698486,102402340,6041211141,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119899732,9897,1119909629,6041192637,7161102266,102402468,6143605002,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119909866,9934,1119919800,6143586310,7263506110,102402531,6245998775,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119920021,9759,1119929780,6245980429,7365910209,102402340,6348392528,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119930037,9815,1119939852,6348374169,7468314021,102402435,6450786419,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119940084,9791,1119949875,6450768053,7570717928,102402436,6553180280,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119950100,9832,1119959932,6553162032,7673121964,102402308,6655574172,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119960158,9860,1119970018,6655555662,7775525680,102402499,6757968021,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119970284,9829,1119980113,6757949538,7877929651,102402437,6860361804,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119980336,9866,1119990202,6860343358,7980333560,102402435,6962755659,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1119990433,9840,1120000273,6962737130,8082737403,102402499,7065149469,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1120000520,9885,1120010405,7065130905,8185141310,102402500,7167543290,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1120010635,9869,1120020504,7167524682,8287545186,102402532,7269937083,1944,1944,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
