API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
286486250,1100786194,,,1387271136,204804809,1305589695,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387275278,16383,1387291661,204785660,1592077321,204804264,409606307,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387292278,11612,1387303890,409578879,1796882769,204804455,614394946,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387304356,10095,1387314451,614374022,2001688473,204804395,819188512,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387314850,11803,1387326653,819167591,2206494244,204804269,1023983663,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387327098,10504,1387337602,1023962190,2411299792,204804365,1228777059,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387338004,11105,1387349109,1228756392,2616105501,204804301,1433571798,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387349507,9862,1387359369,1433551809,2820911178,204804268,1638365939,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387359791,10296,1387370087,1638346767,3025716854,204804237,1843161300,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387370510,9950,1387380460,1843142135,3230522595,204804141,2047956226,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387380852,46050,1387426902,2047901401,3435328303,204804077,2252751528,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387427490,16922,1387444412,2252689472,3640133884,204804141,2457510535,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387444969,10327,1387455296,2457484265,3844939561,204804108,2662298700,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387455832,10372,1387466204,2662278873,4049745077,204804236,2867093481,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387466613,10050,1387476663,2867074154,4254550817,204804140,3071888344,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387477071,9971,1387487042,3071869451,4459356493,204804108,3276683530,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387487471,10690,1387498161,3276663880,4664162041,204804203,3481478773,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387498600,9878,1387508478,3481459206,4868967684,204804204,3686273288,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387508899,10425,1387519324,3686253940,5073773264,204804268,3891068633,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387519741,10274,1387530015,3891049021,5278579036,204804140,4095863435,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387530435,9874,1387540309,4095844243,5483384552,204804268,4300658385,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387540728,10001,1387550729,4300639531,5688190260,204804203,4505453735,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387551145,11745,1387562890,4505433045,5892995935,204804173,4710248963,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387563329,10448,1387573777,4710227834,6097801611,204804142,4915042424,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387574166,9892,1387584058,4915023295,6302607353,204804046,5119837233,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387584484,9933,1387594417,5119818390,6507412807,204804238,5324632561,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387594836,9915,1387604751,5324613669,6712218420,204804270,5529427854,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387605150,9980,1387615130,5529409032,6917024162,204804174,5734223186,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
