API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
192441956,162098636,,,354537024,409608588,571703656,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354543245,8752,354551997,409594703,764146700,409608364,819211819,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354552549,4957,354557506,819198710,1173756216,409608300,1228811967,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354557796,5078,354562874,1228802762,1583365636,409608331,1638416171,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354563149,5199,354568348,1638406580,1992974928,409608496,2048020275,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354568613,4192,354572805,2048011579,2402584384,409608497,2457624268,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354573039,6316,354579355,2457614614,2812193969,409608369,2867229299,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354579589,3917,354583506,2867219952,3221803458,409608337,3276832206,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354583790,4545,354588335,3276824516,3631412851,409608400,3686437461,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354588595,5741,354594336,3686428067,4041022403,409608304,4096042112,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354594572,4856,354599428,4096032271,4450631699,409608463,4505645590,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354599665,5320,354604985,4505636329,4860241314,409608304,4915249953,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354605373,4453,354609826,4915240912,5269850738,409608335,5324853700,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354610192,4588,354614780,5324845414,5679460194,409608335,5734458337,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354615073,5575,354620648,5734449033,6089069681,409608308,6144062916,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354620926,4735,354625661,6144053384,6498679045,409608404,6553666523,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354625925,5833,354631758,6553656811,6908288569,409608340,6963270984,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354632036,3959,354635995,6963261938,7317897933,409608436,7372874333,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354636284,4518,354640802,7372866559,7727507361,409608466,7782479543,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354641036,5476,354646512,7782470434,8137116946,409608334,8192084244,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354646747,4780,354651527,8192074713,8546726240,409608493,8601687986,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354651761,4710,354656471,8601679222,8956335693,409608494,9011292426,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354656701,4379,354661080,9011284195,9365945275,409608365,9420896939,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354661364,4034,354665398,9420889362,9775554760,409608336,9830501732,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354665708,5090,354670798,9830493449,10185164247,409608307,10240106846,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354671093,5175,354676268,10240097374,10594773642,409608371,10649710920,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354676500,4837,354681337,10649701700,11004383037,409608435,11059314972,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354681573,4763,354686336,11059306128,11413992464,409608467,11468919358,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354686671,4257,354690928,11468910963,11823601891,409608496,11878523716,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354691257,5174,354696431,11878514979,12233211410,409608430,12288128583,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354696899,5029,354701928,12288119096,12642821024,409608269,12697732394,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
354702160,4863,354707023,12697723390,13052430413,409608334,13107336587,3984,3984,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
