API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
211990396,167610315,,,379598142,102399166,270006912,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379603549,8185,379611734,102386630,481998364,102399774,204794589,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379612207,5363,379617570,204781656,584399226,102399743,307186762,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379617845,5813,379623658,307176399,686800057,102399742,409581954,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379623928,5503,379629431,409571360,789200791,102399838,511976701,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379629746,4131,379633877,511967744,891601621,102399838,614371713,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379634147,6388,379640535,614361948,994002483,102399806,716768142,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379640787,3990,379644777,716758536,1096403313,102399806,819162332,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379645009,4579,379649588,819154683,1198804271,102399678,921558940,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379649854,5952,379655806,921549615,1301205421,102399358,1023954925,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379656070,5236,379661306,1023944561,1403605867,102399743,1126349540,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379661540,5335,379666875,1126339759,1506006634,102399806,1228744900,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379667292,4533,379671825,1228735639,1608407464,102399806,1331139978,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379672214,4724,379676938,1331131452,1710808390,102399710,1433535886,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379677168,5984,379683152,1433526100,1813209252,102399679,1535931763,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379683445,4924,379688369,1535921681,1915610050,102399710,1638326315,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379688603,5884,379694487,1638316425,2018010912,102399680,1740721989,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379694725,4123,379698848,1740712896,2120411744,102399680,1843116699,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379699082,4786,379703868,1843108548,2222812416,102399841,1945513175,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379704133,5453,379709586,1945503759,2325213345,102399745,2047908957,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379709816,4980,379714796,2047899414,2427614210,102399712,2150304106,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379715028,5709,379720737,2150294241,2530014978,102399776,2252699726,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379720967,3922,379724889,2252690953,2632415842,102399744,2355094619,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379725132,4063,379729195,2355087831,2734817026,102399393,2457491287,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379729428,5312,379734740,2457482767,2837217507,102399745,2559887824,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379734984,4985,379739969,2559878339,2939618308,102399776,2662283100,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379740204,4749,379744953,2662274123,3042019076,102399840,2764678712,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379745205,5001,379750206,2764669734,3144419940,102399809,2867074544,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379750561,4437,379754998,2867065870,3246820868,102399713,2969470020,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379755370,5510,379760880,2969460789,3349221669,102399745,3071866044,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379761254,7192,379768446,3071854024,3451622470,102399776,3174260992,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379768778,4700,379773478,3174249888,3554023366,102399712,3276654300,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379773768,5856,379779624,3276644574,3656424198,102399713,3379050143,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379779941,4055,379783996,3379041131,3758825127,102399616,3481444802,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379784237,5351,379789588,3481436147,3861225735,102399840,3583841338,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379789879,4939,379794818,3583831718,3963626536,102399872,3686236529,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379795060,4809,379799869,3686227531,4066027400,102399841,3788632181,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379800115,5775,379805890,3788622472,4168428362,102399712,3891027959,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379806212,3906,379810118,3891019108,4270829226,102399681,3993422695,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379810362,4507,379814869,3993415094,4373229963,102399776,4095819377,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379815115,4945,379820060,4095810736,4475630796,102399777,4198215458,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379820307,4826,379825133,4198206528,4578031661,102399745,4300611099,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379825376,5979,379831355,4300601395,4680432750,102399488,4403006862,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379831628,4554,379836182,4402997209,4782833391,102399680,4505401443,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379836414,4542,379840956,4505393203,4885234159,102399746,4607797491,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379841329,5889,379847218,4607788062,4987635280,102399457,4710193408,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379847579,5170,379852749,4710183141,5090035890,102399680,4812587991,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379852981,6103,379859084,4812577702,5192436786,102399617,4914983422,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379859327,4842,379864169,4914973450,5294837619,102399617,5017377909,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379864407,3837,379868244,5017370048,5397238292,102399777,5119773662,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379868481,5468,379873949,5119765240,5499639189,102399713,5222170421,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379874184,4961,379879145,5222160781,5602039926,102399809,5324565551,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379879376,5681,379885057,5324556086,5704441143,102399424,5426961191,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379885289,4917,379890206,5426951481,5806841687,102399714,5529356112,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379890440,4018,379894458,5529347967,5909242425,102399809,5631751794,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379894693,4683,379899376,5631744010,6011643386,102399680,5734148373,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379899630,4336,379903966,5734140220,6114044186,102399713,5836544269,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379904202,4776,379908978,5836536073,6216445051,102399682,5938940531,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379909215,5359,379914574,5938931151,6318845725,102399840,6041336350,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379914808,4596,379919404,6041327569,6421246973,102399425,6143731590,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379919636,4607,379924243,6143723531,6523647774,102399456,6246127594,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379924535,4398,379928933,6246119386,6626048319,102399745,6348523529,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379929166,4769,379933935,6348515568,6728449503,102399394,6450919731,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379934166,5295,379939461,6450910620,6830850081,102399648,6553315563,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379939709,5166,379944875,6553306007,6933250882,102399680,6655710853,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379945111,4462,379949573,6655702365,7035651938,102399457,6758106284,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379949864,4617,379954481,6758097938,7138052419,102399809,6860502364,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379954717,4871,379959588,6860493600,7240453188,102399873,6962898344,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
379959821,46761,380006582,6962847599,7342854181,102399713,7065294073,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380006992,4945,380011937,7065242949,7445254886,102399840,7167647734,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380012235,4694,380016929,7167638949,7547655878,102399682,7270043325,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380017168,4424,380021592,7270035120,7650056712,102399681,7372439225,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380021902,4384,380026286,7372431259,7752457545,102399680,7474835323,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380026521,5964,380032485,7474825828,7854858313,102399745,7577231537,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380032845,5379,380038224,7577221178,7957259402,102399490,7679626047,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380038584,4665,380043249,7679616730,8059659979,102399752,7782021147,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380043570,4903,380048473,7782012346,8162060819,102399750,7884416999,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380048704,4868,380053572,7884408405,8264461977,102399431,7986812704,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380053895,6255,380060150,7986802378,8366862528,102399718,8089208351,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380060379,5734,380066113,8089197189,8469263302,102399784,8191602707,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380066424,5237,380071661,8191592481,8571664142,102399782,8293997500,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380071893,4465,380076358,8293988622,8674064980,102399783,8396392870,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380076646,5016,380081662,8396384253,8776465915,102399686,8498788955,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380081893,6062,380087955,8498778734,8878866689,102399752,8601184548,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380088185,5117,380093302,8601174259,8981267561,102399718,8703579094,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380093533,4951,380098484,8703569947,9083668431,102399687,8805974585,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380098711,4782,380103493,8805965649,9186069142,102399814,8908370245,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
