size,time,stream,seq,pipe,mode
16,1,1,0.0127668,0.0122232,cc
16,1,2,0.0137706,0.0121862,cc
16,1,4,0.015782400000000002,0.0124112,cc
16,1,8,0.0198662,0.012560000000000002,cc
16,1,16,0.027983200000000003,0.014724199999999998,cc
16,1,32,0.0445896,0.0231338,cc
16,1,64,0.07728779999999999,0.0412862,cc
16,10,1,0.0218152,0.021388799999999996,cc
16,10,2,0.0320052,0.021420799999999997,cc
16,10,4,0.0525084,0.029033399999999997,cc
16,10,8,0.0935098,0.048144599999999996,cc
16,10,16,0.17548939999999996,0.0885248,cc
16,10,32,0.3393938,0.1704938,cc
16,10,64,0.6672790000000001,0.3343098,cc
16,100,1,0.1140672,0.11366079999999998,cc
16,100,2,0.21639219999999998,0.11360860000000002,cc
16,100,4,0.42123720000000003,0.21343779999999998,cc
16,100,8,0.8310286,0.41695460000000006,cc
16,100,16,1.6507026,0.8261726000000001,cc
16,100,32,3.2898588,1.645675,cc
16,100,64,6.567738800000001,3.284446,cc
512,1,1,0.4107214,0.41005400000000003,cc
512,1,2,0.410697,0.41110620000000003,cc
512,1,4,0.41445619999999994,0.41203579999999995,cc
512,1,8,0.4190728,0.41142219999999996,cc
512,1,16,0.426222,0.41216880000000006,cc
512,1,32,0.44362579999999996,0.41426240000000003,cc
512,1,64,0.4771612,0.4170756,cc
512,10,1,0.4202432,0.42196820000000007,cc
512,10,2,0.43036259999999993,0.42263459999999997,cc
512,10,4,0.45058679999999995,0.4213738,cc
512,10,8,0.494255,0.4235456,cc
512,10,16,0.5768106000000001,0.42426879999999995,cc
512,10,32,0.7404974,0.42488019999999993,cc
512,10,64,1.0681501999999998,0.5329542,cc
512,100,1,0.5191934,0.513819,cc
512,100,2,0.6211070000000001,0.5151582,cc
512,100,4,0.8210048000000001,0.5152441999999999,cc
512,100,8,1.2330616,0.6635669999999999,cc
512,100,16,2.0584726,1.0484184,cc
512,100,32,3.6915684,1.8533979999999999,cc
512,100,64,6.969083800000002,3.4827226000000002,cc
1024,1,1,0.8287204000000001,0.8290344000000001,cc
1024,1,2,0.8331162000000001,0.832073,cc
1024,1,4,0.8328514,0.8314220000000001,cc
1024,1,8,0.8422957999999999,0.8311738,cc
1024,1,16,0.8462555999999999,0.8307865999999999,cc
1024,1,32,0.8591580000000001,0.8311632,cc
1024,1,64,0.8937428000000001,0.8439624,cc
1024,10,1,0.8386442000000001,0.8358283999999999,cc
1024,10,2,0.8470077999999999,0.8355652000000001,cc
1024,10,4,0.8706303999999999,0.8403465999999999,cc
1024,10,8,0.916681,0.8410904,cc
1024,10,16,1.0012064,0.8439074,cc
1024,10,32,1.162479,0.8432804,cc
1024,10,64,1.5070008,0.8667952,cc
1024,100,1,0.9470262,0.9542938,cc
