Timestamps,Epoch,Thput (img/s),Epoch Loss,Bsize
1733218679.5773082,1,6539.654187445273,4.3984375,1024
1733218685.300852,2,10855.821943052322,3.97265625,1024
1733218690.6817656,3,10737.510599771174,3.71875,1024
1733218696.0873115,4,10716.061010386416,3.376953125,1024
1733218701.468861,5,10769.761850937784,3.25,1024
1733218706.8973453,6,10642.210606008399,3.001953125,1024
1733218712.288535,7,10724.011612592913,2.841796875,1024
1733218717.6531591,8,10780.130877855423,2.666015625,1024
1733218723.0663238,9,10663.777367043343,2.56640625,1024
1733218728.4835615,10,10683.453024843519,2.560546875,1024
1733218733.9235477,11,10691.041902889961,2.21875,1024
1733218739.3161604,12,10718.938173178602,2.259765625,1024
1733218744.7223024,13,10660.51624370563,2.173828125,1024
1733218750.101877,14,10746.05469801445,2.109375,1024
1733218755.4726946,15,10764.740080397592,2.119140625,1024
1733218760.877075,16,10696.182795276638,2.02734375,1024
1733218766.2590756,17,10754.604683334463,1.939453125,1024
1733218771.6528456,18,10706.793726385942,1.923828125,1024
1733218777.064245,19,10674.596276785403,1.82421875,1024
1733218782.4323819,20,10742.552114249442,1.666015625,1024
1733218787.8638613,21,10727.433522482934,1.75390625,1024
1733218793.2691433,22,10664.095671921545,1.591796875,1024
1733218798.640712,23,10772.41338145998,1.6982421875,1024
1733218803.9881618,24,10805.151081593483,1.583984375,1024
1733218809.3809521,25,10732.027293707337,1.662109375,1024
1733218814.7324483,26,10762.692693148874,1.455078125,1024
1733218820.1228645,27,10719.82359628666,1.544921875,1024
1733218825.5318055,28,10694.248109889128,1.4736328125,1024
1733218830.8969839,29,10766.631263086387,1.44140625,1024
1733218836.28741,30,10716.981556323059,1.34765625,1024
1733218841.7414327,31,10665.606116742034,1.45703125,1024
1733218847.131488,32,10718.097814029386,1.4091796875,1024
1733218852.5347235,33,10704.764494895264,1.306640625,1024
1733218857.9607127,34,10649.027697956764,1.392578125,1024
1733218863.3657997,35,10673.27449020868,1.369140625,1024
1733218868.7642424,36,10729.03826029257,1.251953125,1024
1733218874.1801414,37,10670.45979021575,1.2529296875,1024
1733218879.6010098,38,10641.70190343769,1.291015625,1024
1733218885.0206912,39,10645.369754610287,1.2333984375,1024
1733218890.3995883,40,10709.813584104908,1.306640625,1024
1733218895.8297148,41,10714.1760550259,1.216796875,1024
1733218901.252414,42,10639.47487723636,1.126953125,1024
1733218906.6142626,43,10746.817389293768,1.208984375,1024
1733218912.0237894,44,10689.505720357007,1.19921875,1024
1733218917.4360197,45,10645.34976094115,1.1533203125,1024
1733218922.8338695,46,10734.150936201435,1.072265625,1024
1733218928.2269022,47,10717.744508103448,1.0927734375,1024
1733218933.6721025,48,10599.891147968405,1.1328125,1024
1733218939.0327237,49,10771.505418593917,1.033203125,1024
1733218944.4255269,50,10726.617068652075,1.10546875,1024
1733218949.8519015,51,10739.799210525776,1.0556640625,1024
1733218955.265907,52,10641.551246087598,1.1162109375,1024
1733218960.7141013,53,10588.19228985047,1.1767578125,1024
1733218966.1294332,54,10652.141118195657,0.98486328125,1024
1733218971.5027602,55,10741.170534735795,1.013671875,1024
1733218976.8969526,56,10723.598147125182,1.091796875,1024
1733218982.28542,57,10741.651378721896,1.03515625,1024
1733218987.651663,58,10788.7018942754,1.017578125,1024
1733218993.0615733,59,10690.565034170371,0.9814453125,1024
1733218998.4755135,60,10687.16115504092,0.63232421875,1024
1733219003.9189632,61,10696.375374862422,0.56298828125,1024
1733219009.358236,62,10627.999297194032,0.488037109375,1024
1733219014.8124096,63,10618.629315834642,0.4658203125,1024
1733219020.219774,64,10688.208564890154,0.50634765625,1024
1733219025.581955,65,10765.557927080617,0.525390625,1024
1733219030.9908998,66,10673.747101323215,0.432861328125,1024
1733219036.391235,67,10715.001017774679,0.4638671875,1024
1733219041.8152645,68,10672.786169356646,0.40771484375,1024
1733219047.2480962,69,10641.370354905333,0.431396484375,1024
1733219052.6257381,70,10718.700405006666,0.4033203125,1024
1733219058.0380852,71,10749.924340780606,0.40869140625,1024
1733219063.4098513,72,10756.356035327324,0.360595703125,1024
1733219068.8596644,73,10597.656415023668,0.368408203125,1024
1733219074.4244142,74,10353.526826082638,0.351318359375,1024
1733219079.846265,75,10666.289075866862,0.324462890625,1024
1733219085.2436972,76,10719.049938820997,0.35498046875,1024
1733219090.6525328,77,10670.995679806627,0.28662109375,1024
1733219096.041894,78,10720.217590842276,0.296630859375,1024
1733219101.4447644,79,10698.236607436638,0.30322265625,1024
1733219106.871901,80,10623.587233693774,0.287841796875,1024
1733219112.4162693,81,10438.195231966973,0.288818359375,1024
1733219117.8252995,82,10679.619659953372,0.27734375,1024
1733219123.1755266,83,10815.86283777459,0.287353515625,1024
1733219128.5255816,84,10778.69308079132,0.270263671875,1024
1733219133.9383025,85,10699.430297906772,0.273193359375,1024
1733219139.373685,86,10691.428879060715,0.26220703125,1024
1733219144.7630012,87,10730.847733348193,0.2489013671875,1024
1733219150.1629214,88,10701.865990506087,0.239990234375,1024
1733219155.5681074,89,10687.621924722092,0.1971435546875,1024
1733219160.9747155,90,10681.252556795494,0.242431640625,1024
1733219166.406254,91,10704.603304261833,0.2305908203125,1024
1733219171.8211343,92,10670.288772952814,0.2030029296875,1024
1733219177.2182922,93,10752.217144385299,0.2305908203125,1024
1733219182.630643,94,10716.905979073756,0.2166748046875,1024
1733219188.008064,95,10757.394428853251,0.2327880859375,1024
1733219193.4457452,96,10644.591137743613,0.2379150390625,1024
1733219198.839884,97,10697.76673651933,0.2166748046875,1024
1733219204.2433143,98,10684.204133901432,0.1986083984375,1024
1733219209.7103834,99,10558.678763474492,0.193359375,1024
1733219215.1371543,100,10660.996396925728,0.1817626953125,1024
1733219220.5842068,101,10662.10210604723,0.18603515625,1024
1733219225.9986665,102,10685.665289095337,0.1953125,1024
1733219231.470638,103,10602.765761282051,0.1839599609375,1024
1733219236.9405444,104,10735.391672878188,0.2255859375,1024
1733219242.3211045,105,10821.696294825833,0.21142578125,1024
1733219247.725308,106,10682.49034455895,0.2041015625,1024
1733219253.1192937,107,10704.669419154774,0.1796875,1024
1733219258.513008,108,10706.308345980955,0.1861572265625,1024
1733219263.9361916,109,10662.21811039431,0.19287109375,1024
1733219269.3342743,110,10688.33330912451,0.14990234375,1024
1733219274.7864199,111,10666.480580503381,0.1556396484375,1024
1733219280.2203395,112,10657.300440759487,0.1685791015625,1024
1733219285.654539,113,10644.46525133456,0.146484375,1024
1733219291.121704,114,10654.528801671355,0.1888427734375,1024
1733219296.5425837,115,10624.15771531003,0.1593017578125,1024
1733219302.0309012,116,10633.079724622688,0.1787109375,1024
1733219307.3705056,117,10816.918332202635,0.1593017578125,1024
1733219312.7642426,118,10689.319926149645,0.1513671875,1024
1733219318.132977,119,10744.630930233667,0.15966796875,1024
1733219323.5297985,120,10726.936941333073,0.08477783203125,1024
1733219328.9353132,121,10786.830692105832,0.0701904296875,1024
1733219334.438092,122,10568.872024268041,0.0638427734375,1024
1733219339.866056,123,10791.127876197017,0.06256103515625,1024
1733219345.2741177,124,10789.920300321863,0.06610107421875,1024
1733219350.6178005,125,10755.816502965636,0.06573486328125,1024
1733219355.9998634,126,10677.944311199039,0.048248291015625,1024
1733219361.3843873,127,10786.713624817869,0.05078125,1024
1733219366.7825534,128,10756.98721344927,0.04302978515625,1024
1733219372.1708076,129,10801.405698227301,0.045623779296875,1024
1733219377.4898174,130,10854.01670693541,0.04827880859375,1024
1733219382.87901,131,10785.126531941383,0.044921875,1024
1733219388.285302,132,10652.530153186706,0.049346923828125,1024
