Timestamps,Epoch,Thput (img/s),Epoch Loss,Bsize
1733112851.7193005,1,9258.122740654233,4.28125,1024
1733112856.5015864,2,12394.203313793636,3.693359375,1024
1733112861.133687,3,12470.652681043568,3.431640625,1024
1733112865.7817278,4,12410.54712343244,3.166015625,1024
1733112870.4326456,5,12393.043143219984,2.943359375,1024
1733112875.0733037,6,12396.026040525743,2.779296875,1024
1733112879.715981,7,12404.100686552996,2.69921875,1024
1733112884.353361,8,12428.61546191421,2.423828125,1024
1733112888.9920998,9,12402.06582033187,2.32421875,1024
1733112893.6443977,10,12339.560564610776,2.24609375,1024
1733112898.296678,11,12394.405486948992,2.140625,1024
1733112902.9116821,12,12464.460733910362,2.138671875,1024
1733112907.5650342,13,12327.224167931532,1.8994140625,1024
1733112912.192263,14,12428.587472216239,1.8828125,1024
1733112916.8671186,15,12282.946718951407,1.9375,1024
1733112921.521899,16,12382.968175421289,1.7822265625,1024
1733112926.151271,17,12417.109809504434,1.720703125,1024
1733112930.7838163,18,12419.116520592239,1.6552734375,1024
1733112935.4185247,19,12386.058148357684,1.658203125,1024
1733112940.0630946,20,12412.229936673215,1.62890625,1024
1733112944.7027283,21,12428.465939463475,1.5703125,1024
1733112949.3420012,22,12416.23570689648,1.54296875,1024
1733112954.0110557,23,12340.518305393627,1.5869140625,1024
1733112958.6519167,24,12406.953850955897,1.5107421875,1024
1733112963.3051586,25,12323.150342232037,1.4638671875,1024
1733112967.9585865,26,12356.131758784075,1.43359375,1024
1733112972.6260328,27,12338.838182247258,1.3779296875,1024
1733112977.285346,28,12377.497039531463,1.4296875,1024
1733112981.93124,29,12405.12057145781,1.3310546875,1024
1733112986.5784676,30,12364.157413971276,1.4140625,1024
1733112991.2154539,31,12444.604901157418,1.32421875,1024
1733112995.8656259,32,12377.028789998527,1.19921875,1024
1733113000.5162237,33,12398.116095892152,1.3046875,1024
1733113005.159647,34,12366.474458683108,1.302734375,1024
1733113009.797597,35,12374.433240995008,1.2666015625,1024
1733113014.46534,36,12346.546988217231,1.2587890625,1024
1733113019.1174564,37,12379.032065272024,1.244140625,1024
1733113023.7816591,38,12353.134555939945,1.2021484375,1024
1733113028.427843,39,12406.018062137045,1.2216796875,1024
1733113033.070721,40,12387.359689503239,1.1474609375,1024
1733113037.720049,41,12422.15907539396,1.2353515625,1024
1733113042.360431,42,12342.992128190192,1.0986328125,1024
1733113046.9900362,43,12401.91620259442,1.279296875,1024
1733113051.645604,44,12334.16760842415,1.1494140625,1024
1733113056.2980278,45,12390.606320535519,1.130859375,1024
1733113060.953731,46,12384.056986390158,1.1103515625,1024
1733113065.6076279,47,12387.557980881069,1.099609375,1024
