Timestamps,Epoch,Thput (img/s),Epoch Loss,Bsize
1733209743.4752488,1,8314.779740320932,4.5,2048
1733209748.6466959,2,11917.270248472134,4.1171875,2048
1733209753.706315,3,11805.369517029883,3.666015625,2048
1733209758.7149262,4,11867.594184632573,3.564453125,2048
1733209763.7536094,5,11804.99206330845,3.3046875,2048
1733209768.8450449,6,11689.750531937072,2.943359375,2048
1733209773.907009,7,11771.156123274193,2.8515625,2048
1733209778.981912,8,11743.60917055082,2.611328125,2048
1733209784.0640013,9,11728.628710049492,2.44921875,2048
1733209789.0855582,10,11906.86655050601,2.376953125,2048
1733209794.2712092,11,11768.658523479915,2.236328125,2048
1733209799.4802861,12,11389.40013167734,2.162109375,2048
1733209804.5738132,13,11702.649473072966,2.068359375,2048
1733209809.8035944,14,11658.427603910366,1.9462890625,2048
1733209814.873448,15,11768.72060383022,1.8466796875,2048
1733209820.051022,16,11630.67943090668,1.7041015625,2048
1733209825.1479826,17,11689.22080575088,1.7490234375,2048
1733209830.2520819,18,11663.459772127975,1.7470703125,2048
1733209835.4210167,19,11514.716822462799,1.708984375,2048
1733209840.6162205,20,11442.721679706896,1.6171875,2048
1733209846.088094,21,11072.207789739388,1.5166015625,2048
1733209851.1308377,22,11812.44658874284,1.39453125,2048
1733209856.140542,23,11897.222032648218,1.4384765625,2048
1733209861.247339,24,11648.045030955338,1.3818359375,2048
1733209866.3207014,25,11776.123425043612,1.3388671875,2048
1733209871.3737082,26,11812.882408716048,1.40625,2048
1733209876.4206595,27,11843.289342777836,1.3681640625,2048
1733209881.4538965,28,11910.62307410608,1.3359375,2048
1733209886.4896715,29,11821.339686293291,1.2392578125,2048
1733209891.5708737,30,11694.030499077538,1.2216796875,2048
1733209896.9567695,31,11322.152299067147,1.1318359375,2048
1733209902.0783439,32,11581.598069586387,1.267578125,2048
1733209907.1671321,33,11733.903532482653,1.189453125,2048
1733209912.2028654,34,11856.148810623878,1.181640625,2048
1733209917.262593,35,11729.974854815027,1.1142578125,2048
1733209922.3382678,36,11783.46670760146,1.0068359375,2048
1733209927.398973,37,11774.432155019123,0.98779296875,2048
1733209932.556992,38,11686.665372329007,1.0595703125,2048
1733209937.6321309,39,11720.898300101098,0.99267578125,2048
1733209942.7268593,40,11706.938892533513,1.02734375,2048
1733209947.9115655,41,11740.261537497789,0.90625,2048
1733209953.0459814,42,11545.092042727067,0.962890625,2048
1733209958.1447988,43,11778.095644122188,0.830078125,2048
1733209963.2658267,44,11690.950901007624,0.94189453125,2048
1733209968.3856375,45,11714.587419456178,0.82177734375,2048
1733209973.4534898,46,11763.651325292149,0.8515625,2048
1733209978.5098116,47,11746.07246414963,0.802734375,2048
1733209983.6052375,48,11656.673428751788,0.79931640625,2048
1733209988.7137663,49,11650.542824835757,0.8623046875,2048
1733209993.7778566,50,11742.285536008521,0.85888671875,2048
1733209999.3105984,51,11189.481603867385,0.763671875,2048
1733210004.3938057,52,11745.924440029696,0.67236328125,2048
1733210009.4774344,53,11668.19764727876,0.697265625,2048
1733210014.532258,54,11810.266640949145,0.65625,2048
1733210019.6516266,55,11618.548751764125,0.68115234375,2048
1733210024.729033,56,11713.297796076828,0.79296875,2048
1733210029.8204703,57,11753.237342254908,0.6318359375,2048
1733210034.9714184,58,11650.218568813552,0.681640625,2048
1733210040.0746317,59,11676.365086401624,0.5654296875,2048
1733210045.156215,60,11702.098987894813,0.363525390625,2048
1733210050.6425834,61,11127.807213066251,0.327392578125,2048
1733210055.7155643,62,11715.847873730527,0.2354736328125,2048
1733210060.8167484,63,11702.738939969413,0.23974609375,2048
1733210065.8587205,64,11852.441971468148,0.2509765625,2048
1733210070.8830557,65,11873.531202873084,0.265625,2048
1733210075.9092634,66,11875.370087459696,0.167236328125,2048
1733210080.9660118,67,11796.202494336321,0.2257080078125,2048
1733210086.063054,68,11779.110450110826,0.2354736328125,2048
1733210091.1765363,69,11753.56472334411,0.16015625,2048
1733210096.2356775,70,11780.77526937793,0.1331787109375,2048
1733210101.523096,71,11726.92744672687,0.1583251953125,2048
1733210106.8435183,72,11134.012255338921,0.1339111328125,2048
1733210111.9061887,73,11787.352463619796,0.148193359375,2048
1733210116.9250739,74,11855.038257850609,0.12042236328125,2048
1733210122.0241337,75,11802.138018729542,0.1429443359375,2048
1733210127.1090882,76,11743.365199578502,0.1412353515625,2048
1733210132.1947303,77,11722.321298562429,0.1336669921875,2048
1733210137.319881,78,11670.18778069094,0.118896484375,2048
1733210142.4665349,79,11597.196457918804,0.11822509765625,2048
1733210147.4970381,80,11856.197071104041,0.1258544921875,2048
1733210153.0262575,81,11106.600062260242,0.1156005859375,2048
1733210158.107915,82,11720.470550889255,0.10076904296875,2048
1733210163.2121942,83,11705.838473593387,0.107666015625,2048
1733210168.3587568,84,11655.583734297295,0.08001708984375,2048
1733210173.4755795,85,11692.922074135002,0.1124267578125,2048
1733210178.6402872,86,11626.815692014281,0.0787353515625,2048
1733210183.7950487,87,11613.89290850721,0.09136962890625,2048
1733210188.9539542,88,11621.203274248664,0.08056640625,2048
1733210194.1341906,89,11559.4152495283,0.06597900390625,2048
1733210199.3624177,90,11536.14948269868,0.088134765625,2048
1733210204.7698002,91,11277.097015636065,0.07403564453125,2048
1733210209.9253175,92,11583.509503699439,0.0863037109375,2048
1733210215.0893261,93,11642.763073231281,0.10107421875,2048
1733210220.2763028,94,11565.533216263546,0.0628662109375,2048
1733210225.4320188,95,11617.010546616897,0.07647705078125,2048
1733210230.6649601,96,11524.149861558119,0.07122802734375,2048
1733210235.9004104,97,11459.08117725247,0.06549072265625,2048
1733210241.0310802,98,11673.93483900406,0.0552978515625,2048
1733210246.1899729,99,11612.146964684633,0.05792236328125,2048
1733210251.303521,100,11769.505250238755,0.069091796875,2048
1733210256.8018565,101,11066.9035807994,0.06494140625,2048
1733210261.9375422,102,11636.004659834935,0.0496826171875,2048
1733210267.0501785,103,11720.742394015868,0.07080078125,2048
1733210272.1880038,104,11638.546380435784,0.06890869140625,2048
1733210277.3596027,105,11617.563996116902,0.07257080078125,2048
1733210282.5022228,106,11752.003733918727,0.058624267578125,2048
1733210287.6834424,107,11566.89959842547,0.048858642578125,2048
