model,mode,batch_size,fp32,amp,fp16
vgg16,Base,64,6631.350597526852,5687.251795346259,0
vgg16,Base,512,12920.900456821008,12720.145588077225,0
vgg16,Base,1024,12771.42069889946,12662.804532444501,12574.836818737247
vgg16,CC,64,5474.24507360488,4629.702554426854,0
vgg16,CC,512,11920.399839823298,11920.597906689212,0
vgg16,CC,1024,11821.824964375453,11845.596880297378,11538.40604546297
resnet50,Base,64,3160.473216904884,2981.281481910327,0
resnet50,Base,512,5240.230555952904,7568.646876081351,0
resnet50,Base,1024,5295.326895675152,7753.670440265076,7830.654234567617
resnet50,CC,64,2403.991678500969,2129.6225968879726,0
resnet50,CC,512,5038.957877118543,7398.349934999165,0
resnet50,CC,1024,4943.780786473685,7455.526790528546,7403.949419592816
mobilenetv2,Base,64,3311.0459583777415,2866.4503689126823,0
mobilenetv2,Base,512,10564.037900793015,11283.895066558958,0
mobilenetv2,Base,1024,10929.59496235323,12022.872729571933,11617.258961708709
mobilenetv2,CC,64,2530.592343406399,2064.020327556508,0
mobilenetv2,CC,512,10244.593028373254,10394.33002266392,0
mobilenetv2,CC,1024,10401.842568929998,11435.75263334038,10688.36703775137
squeezenet,Base,64,5225.401311399435,4326.134863173262,0
squeezenet,Base,512,12673.997682297542,12613.125127888716,0
squeezenet,Base,1024,12749.013202276514,12600.294887219367,12365.14900498501
squeezenet,CC,64,4051.7873853586657,3327.995505939065,0
squeezenet,CC,512,12014.386862858611,12044.476580858585,0
squeezenet,CC,1024,11712.156080466493,11669.749711512057,11756.850746705039
attention92,Base,64,821.3425665953145,658.7305804779072,0
attention92,Base,512,3826.770467270983,4242.91622159341,0
attention92,Base,1024,3965.9502976284384,5060.008338562771,5473.064018669235
attention92,CC,64,526.6785110171035,412.60553721133414,0
attention92,CC,512,3313.715052801762,2959.4857364604395,0
attention92,CC,1024,3676.1122554275853,4536.965653456008,5112.417762523846
inceptionv4,Base,64,951.1777052197457,1025.1389488791583,0
inceptionv4,Base,512,1116.9900320679776,1540.875779047911,0
inceptionv4,Base,1024,1113.6940380558433,1541.3622068396303,1519.3257612324385
inceptionv4,CC,64,764.4414251240066,763.820323379798,0
inceptionv4,CC,512,1069.841286671296,1505.7616430419916,0
inceptionv4,CC,1024,1075.4542327065496,1520.918277615014,1507.710914339484
