Backend	Model	batch_size	input_length	CC_mode	load_time	gen_time	ttft	thruput	real
hf	nonquant	1	128	off	2.453452987	7.256574057	0.940740165	0.137806077	20.67091148
hf	nonquant	1	128	on	2.803589808	10.43805957	1.079432325	0.095803247	14.37048706
hf	nonquant	1	256	off	2.385159681	7.278275779	0.906599873	0.137395179	20.60927678
hf	nonquant	1	256	on	2.821592573	9.970280726	1.077649174	0.100298079	15.04471179
hf	nonquant	1	512	off	2.387609224	7.245144639	0.930304649	0.138023469	20.70352042
hf	nonquant	1	512	on	2.598906556	4.538814318	1.074611206	0.220321857	33.04827858
hf	nonquant	1	1024	off	2.374137763	7.172139012	0.898060968	0.139428419	20.91426278
hf	nonquant	1	1024	on	2.59021069	9.822881185	1.025733377	0.101803125	15.27046873
hf	nonquant	2	128	off	2.368495716	7.516598658	0.472298231	0.532155591	39.91166931
hf	nonquant	2	128	on	2.575152698	10.54487922	0.544086569	0.37933104	28.44982799
hf	nonquant	2	256	off	2.356948988	7.451586371	0.471094179	0.536798448	40.25988361
hf	nonquant	2	256	on	2.558081992	10.33078347	0.545071229	0.387192318	29.03942386
hf	nonquant	2	512	off	2.379345575	7.431220593	0.461172511	0.538269582	40.37021863
hf	nonquant	2	512	on	2.556074536	10.3448532	0.528846522	0.386665709	28.9999282
hf	nonquant	2	1024	off	2.371466889	7.463086181	0.47834507	0.5359713	40.19784748
hf	nonquant	2	1024	on	2.539211653	10.13119312	0.539966758	0.39482023	29.61151727
hf	nonquant	4	128	off	2.352167098	7.523643469	0.235413402	2.126629214	79.74859554
hf	nonquant	4	128	on	2.558708106	10.17142658	0.272338544	1.573034016	58.98877559
hf	nonquant	4	256	off	2.390663266	7.537930636	0.233768539	2.122598465	79.59744245
hf	nonquant	4	256	on	2.538622465	10.2586634	0.269061179	1.559657373	58.48715145
hf	nonquant	4	512	off	2.374314291	7.52601393	0.240163446	2.125959392	79.72347721
hf	nonquant	4	512	on	2.571536168	10.34413178	0.264901557	1.546770704	58.00390142
hf	nonquant	4	1024	off	2.382093897	7.666039068	0.260785968	2.087127375	78.26727658
hf	nonquant	4	1024	on	2.541260921	10.37908182	0.28856026	1.541562181	57.80858176
hf	nonquant	8	128	off	2.373168644	7.396441181	0.115645654	8.652809971	162.240187
hf	nonquant	8	128	on	2.548891464	9.98319749	0.13143897	6.410771706	120.2019695
hf	nonquant	8	256	off	2.390181205	7.416614283	0.122072655	8.629274431	161.7988956
hf	nonquant	8	256	on	2.531324862	10.10022679	0.132784238	6.33649138	118.8092134
hf	nonquant	8	512	off	2.364635498	7.485940475	0.133259829	8.549359992	160.3004999
hf	nonquant	8	512	on	2.612088149	10.21746302	0.144960221	6.263785822	117.4459842
hf	nonquant	8	1024	off	2.366815361	7.737363852	0.154212463	8.271551038	155.091582
hf	nonquant	8	1024	on	2.565381053	10.43083719	0.169566378	6.135653238	115.0434982
hf	nonquant	16	128	off	2.372781956	7.445406619	0.060306246	34.38361571	322.3463973
hf	nonquant	16	128	on	2.55937743	10.10983698	0.066739529	25.3218722	237.3925519
hf	nonquant	16	256	off	2.380145817	7.512169685	0.065859525	34.07803747	319.4816013
hf	nonquant	16	256	on	2.557137079	10.20060466	0.072322731	25.09655149	235.2801701
hf	nonquant	16	512	off	2.378012133	7.704779955	0.075333514	33.22612735	311.4949439
hf	nonquant	16	512	on	2.585508277	10.32833027	0.082412198	24.78619422	232.3705708
hf	nonquant	16	1024	off	2.39238555	8.050437833	0.096438614	31.79951269	298.1204314
hf	nonquant	16	1024	on	2.577654559	10.75026877	0.105390403	23.81335811	223.2502323
hf	nonquant	32	128	off	2.377580217	7.419061379	0.032447595	138.0228506	646.982112
hf	nonquant	32	128	on	2.570029143	10.15425262	0.036134272	100.844448	472.7083499
hf	nonquant	32	256	off	2.3875454	7.717036418	0.037500844	132.6934259	622.0004338
hf	nonquant	32	256	on	2.553502896	10.35825013	0.042214416	98.85839666	463.3987343
hf	nonquant	32	512	off	2.375800922	8.007433846	0.047781891	127.8811689	599.4429792
hf	nonquant	32	512	on	2.570317911	10.64454095	0.051229539	96.1995454	450.9353689
