type,bw,lat,size,id
D2D,0.00867,0.00001,64,1
D2D,0.01796,0.00001,128,1
D2D,0.03408,0.00001,256,1
D2D,0.06806,0.00001,512,1
D2D,0.12414,0.00001,1024,1
D2D,0.19400,0.00001,2048,1
D2D,0.44918,0.00001,4096,1
D2D,1.02224,0.00001,8192,1
D2D,2.17271,0.00001,16384,1
D2D,3.02069,0.00001,32768,1
D2D,9.76052,0.00001,65536,1
D2D,19.47694,0.00001,131072,1
D2D,35.75419,0.00001,262144,1
D2D,70.09498,0.00001,524288,1
D2D,136.73560,0.00001,1048576,1
D2D,284.83389,0.00001,2097152,1
D2D,529.93713,0.00001,4194304,1
D2D,1161.08521,0.00001,8388608,1
D2D,2073.30908,0.00001,16777216,1
D2D,2443.80591,0.00001,33554432,1
D2D,2647.03345,0.00003,67108864,1
D2D,2764.20239,0.00005,134217728,1
D2D,2829.25806,0.00009,268435456,1
D2D,2834.22632,0.00019,536870912,1
D2D,2862.74219,0.00038,1073741824,1
D2D,0.00643,0.00001,64,1
D2D,0.01598,0.00001,128,1
D2D,0.02901,0.00001,256,1
D2D,0.07245,0.00001,512,1
D2D,0.10911,0.00001,1024,1
D2D,0.26211,0.00001,2048,1
D2D,0.62433,0.00001,4096,1
D2D,1.12456,0.00001,8192,1
D2D,2.27844,0.00001,16384,1
D2D,4.40042,0.00001,32768,1
D2D,9.33263,0.00001,65536,1
D2D,18.72200,0.00001,131072,1
D2D,36.31045,0.00001,262144,1
D2D,53.16373,0.00001,524288,1
D2D,140.78928,0.00001,1048576,1
D2D,259.12262,0.00001,2097152,1
D2D,514.79517,0.00001,4194304,1
D2D,1026.94849,0.00001,8388608,1
D2D,2236.67578,0.00001,16777216,1
D2D,2439.88232,0.00001,33554432,1
D2D,2663.13452,0.00003,67108864,1
D2D,2764.30273,0.00005,134217728,1
D2D,2829.77344,0.00009,268435456,1
D2D,2833.82178,0.00019,536870912,1
D2D,2862.72534,0.00038,1073741824,1
D2D,0.00861,0.00001,64,1
D2D,0.01669,0.00001,128,1
D2D,0.03499,0.00001,256,1
D2D,0.06833,0.00001,512,1
D2D,0.13740,0.00001,1024,1
D2D,0.27053,0.00001,2048,1
D2D,0.53643,0.00001,4096,1
D2D,0.96854,0.00001,8192,1
D2D,2.17840,0.00001,16384,1
D2D,4.34082,0.00001,32768,1
D2D,7.21559,0.00001,65536,1
D2D,18.02064,0.00001,131072,1
D2D,34.72879,0.00001,262144,1
D2D,69.26671,0.00001,524288,1
D2D,128.17775,0.00001,1048576,1
D2D,258.32593,0.00001,2097152,1
D2D,538.13971,0.00001,4194304,1
D2D,1068.40564,0.00001,8388608,1
D2D,2257.62402,0.00001,16777216,1
D2D,2449.54321,0.00001,33554432,1
D2D,2654.05176,0.00003,67108864,1
D2D,2762.53638,0.00005,134217728,1
D2D,2829.53467,0.00009,268435456,1
D2D,2833.32886,0.00019,536870912,1
D2D,2862.61426,0.00038,1073741824,1
D2D,0.00616,0.00001,64,1
D2D,0.01361,0.00001,128,1
D2D,0.03633,0.00001,256,1
