type,bw,lat,size,id
D2H-Paged,0.00142,0.00005,64,1
D2H-Paged,0.00276,0.00005,128,1
D2H-Paged,0.00575,0.00004,256,1
D2H-Paged,0.01128,0.00005,512,1
D2H-Paged,0.02198,0.00005,1024,1
D2H-Paged,0.04424,0.00005,2048,1
D2H-Paged,0.08544,0.00005,4096,1
D2H-Paged,0.15932,0.00005,8192,1
D2H-Paged,0.31938,0.00005,16384,1
D2H-Paged,0.54405,0.00006,32768,1
D2H-Paged,0.80570,0.00008,65536,1
D2H-Paged,1.23304,0.00011,131072,1
D2H-Paged,1.62691,0.00016,262144,1
D2H-Paged,2.08340,0.00025,524288,1
D2H-Paged,2.18472,0.00048,1048576,1
D2H-Paged,2.24083,0.00094,2097152,1
D2H-Paged,2.76815,0.00152,4194304,1
D2H-Paged,2.81179,0.00298,8388608,1
D2H-Paged,2.82078,0.00595,16777216,1
D2H-Paged,2.49881,0.01343,33554432,1
D2H-Paged,2.62697,0.02555,67108864,1
D2H-Paged,2.40752,0.05575,134217728,1
D2H-Paged,2.47301,0.10855,268435456,1
D2H-Paged,2.35891,0.22759,536870912,1
D2H-Paged,2.40554,0.44636,1073741824,1
D2H-Paged,0.00137,0.00005,64,1
D2H-Paged,0.00280,0.00005,128,1
D2H-Paged,0.00529,0.00005,256,1
D2H-Paged,0.01127,0.00005,512,1
D2H-Paged,0.02166,0.00005,1024,1
D2H-Paged,0.04386,0.00005,2048,1
D2H-Paged,0.08399,0.00005,4096,1
D2H-Paged,0.16101,0.00005,8192,1
D2H-Paged,0.31417,0.00005,16384,1
D2H-Paged,0.51652,0.00006,32768,1
D2H-Paged,0.91048,0.00007,65536,1
D2H-Paged,1.15635,0.00011,131072,1
D2H-Paged,1.59883,0.00016,262144,1
D2H-Paged,1.90845,0.00027,524288,1
D2H-Paged,2.25573,0.00046,1048576,1
D2H-Paged,2.53601,0.00083,2097152,1
D2H-Paged,2.61096,0.00161,4194304,1
D2H-Paged,2.55931,0.00328,8388608,1
D2H-Paged,2.68450,0.00625,16777216,1
D2H-Paged,2.70275,0.01241,33554432,1
D2H-Paged,2.45143,0.02738,67108864,1
D2H-Paged,2.54967,0.05264,134217728,1
D2H-Paged,2.38886,0.11237,268435456,1
D2H-Paged,2.47481,0.21693,536870912,1
D2H-Paged,2.33006,0.46082,1073741824,1
D2H-Paged,0.00140,0.00005,64,1
D2H-Paged,0.00293,0.00004,128,1
D2H-Paged,0.00560,0.00005,256,1
D2H-Paged,0.01098,0.00005,512,1
D2H-Paged,0.02181,0.00005,1024,1
D2H-Paged,0.04174,0.00005,2048,1
D2H-Paged,0.08125,0.00005,4096,1
D2H-Paged,0.15583,0.00005,8192,1
D2H-Paged,0.28356,0.00006,16384,1
D2H-Paged,0.45714,0.00007,32768,1
D2H-Paged,0.74397,0.00009,65536,1
D2H-Paged,1.01480,0.00013,131072,1
D2H-Paged,1.37645,0.00019,262144,1
D2H-Paged,1.87272,0.00028,524288,1
D2H-Paged,2.15863,0.00049,1048576,1
D2H-Paged,2.13696,0.00098,2097152,1
D2H-Paged,2.53770,0.00165,4194304,1
D2H-Paged,2.60412,0.00322,8388608,1
D2H-Paged,2.75734,0.00608,16777216,1
D2H-Paged,2.73312,0.01228,33554432,1
D2H-Paged,2.66620,0.02517,67108864,1
D2H-Paged,2.51662,0.05333,134217728,1
D2H-Paged,2.54906,0.10531,268435456,1
D2H-Paged,2.45910,0.21832,536870912,1
D2H-Paged,2.45723,0.43697,1073741824,1
D2H-Paged,0.00134,0.00005,64,1
D2H-Paged,0.00258,0.00005,128,1
D2H-Paged,0.00516,0.00005,256,1
D2H-Paged,0.00934,0.00005,512,1
D2H-Paged,0.02070,0.00005,1024,1
D2H-Paged,0.04221,0.00005,2048,1
D2H-Paged,0.08030,0.00005,4096,1
D2H-Paged,0.15255,0.00005,8192,1
D2H-Paged,0.26490,0.00006,16384,1
D2H-Paged,0.46539,0.00007,32768,1
D2H-Paged,0.69816,0.00009,65536,1
D2H-Paged,1.09018,0.00012,131072,1
D2H-Paged,1.35854,0.00019,262144,1
D2H-Paged,1.74223,0.00030,524288,1
D2H-Paged,2.12065,0.00049,1048576,1
D2H-Paged,2.34872,0.00089,2097152,1
D2H-Paged,2.37693,0.00176,4194304,1
D2H-Paged,2.72002,0.00308,8388608,1
D2H-Paged,2.68003,0.00626,16777216,1
D2H-Paged,2.68235,0.01251,33554432,1
D2H-Paged,2.56215,0.02619,67108864,1
D2H-Paged,2.53799,0.05288,134217728,1
D2H-Paged,2.42563,0.11067,268435456,1
D2H-Paged,2.30004,0.23342,536870912,1
D2H-Paged,2.30680,0.46547,1073741824,1
D2H-Paged,0.00135,0.00005,64,1
D2H-Paged,0.00279,0.00005,128,1
D2H-Paged,0.00545,0.00005,256,1
D2H-Paged,0.01060,0.00005,512,1
D2H-Paged,0.02205,0.00005,1024,1
D2H-Paged,0.04281,0.00005,2048,1
D2H-Paged,0.07953,0.00005,4096,1
D2H-Paged,0.15292,0.00005,8192,1
D2H-Paged,0.28860,0.00006,16384,1
D2H-Paged,0.49890,0.00007,32768,1
D2H-Paged,0.83999,0.00008,65536,1
D2H-Paged,1.22337,0.00011,131072,1
D2H-Paged,1.53940,0.00017,262144,1
D2H-Paged,2.01610,0.00026,524288,1
D2H-Paged,2.04102,0.00051,1048576,1
D2H-Paged,2.56925,0.00082,2097152,1
D2H-Paged,2.69261,0.00156,4194304,1
D2H-Paged,2.69386,0.00311,8388608,1
D2H-Paged,2.71149,0.00619,16777216,1
D2H-Paged,2.69991,0.01243,33554432,1
D2H-Paged,2.61033,0.02571,67108864,1
D2H-Paged,2.57076,0.05221,134217728,1
D2H-Paged,2.41622,0.11110,268435456,1
D2H-Paged,2.36523,0.22698,536870912,1
D2H-Paged,2.43242,0.44143,1073741824,1
D2H-Paged,0.00141,0.00005,64,1
D2H-Paged,0.00260,0.00005,128,1
D2H-Paged,0.00550,0.00005,256,1
D2H-Paged,0.01064,0.00005,512,1
D2H-Paged,0.02194,0.00005,1024,1
D2H-Paged,0.04183,0.00005,2048,1
D2H-Paged,0.07678,0.00005,4096,1
D2H-Paged,0.16312,0.00005,8192,1
D2H-Paged,0.28942,0.00006,16384,1
D2H-Paged,0.51144,0.00006,32768,1
D2H-Paged,0.78364,0.00008,65536,1
D2H-Paged,1.06788,0.00012,131072,1
D2H-Paged,1.33136,0.00020,262144,1
D2H-Paged,2.05773,0.00025,524288,1
D2H-Paged,2.14358,0.00049,1048576,1
D2H-Paged,2.35593,0.00089,2097152,1
D2H-Paged,2.63647,0.00159,4194304,1
D2H-Paged,2.58334,0.00325,8388608,1
D2H-Paged,2.71425,0.00618,16777216,1
D2H-Paged,2.57495,0.01303,33554432,1
D2H-Paged,2.57601,0.02605,67108864,1
D2H-Paged,2.50419,0.05360,134217728,1
D2H-Paged,2.42874,0.11052,268435456,1
D2H-Paged,2.30166,0.23325,536870912,1
D2H-Paged,2.30956,0.46491,1073741824,1
D2H-Paged,0.00136,0.00005,64,1
D2H-Paged,0.00290,0.00004,128,1
D2H-Paged,0.00575,0.00004,256,1
D2H-Paged,0.01140,0.00004,512,1
D2H-Paged,0.02189,0.00005,1024,1
D2H-Paged,0.04316,0.00005,2048,1
D2H-Paged,0.08140,0.00005,4096,1
D2H-Paged,0.15935,0.00005,8192,1
