type,bw,lat,size,id
H2D-Paged,0.00169,0.00004,64,1
H2D-Paged,0.00314,0.00004,128,1
H2D-Paged,0.00638,0.00004,256,1
H2D-Paged,0.01279,0.00004,512,1
H2D-Paged,0.02750,0.00004,1024,1
H2D-Paged,0.04192,0.00005,2048,1
H2D-Paged,0.08320,0.00005,4096,1
H2D-Paged,0.16640,0.00005,8192,1
H2D-Paged,0.32463,0.00005,16384,1
H2D-Paged,0.42722,0.00008,32768,1
H2D-Paged,0.77484,0.00008,65536,1
H2D-Paged,1.30290,0.00010,131072,1
H2D-Paged,1.78366,0.00015,262144,1
H2D-Paged,2.21443,0.00024,524288,1
H2D-Paged,2.44412,0.00043,1048576,1
H2D-Paged,2.54438,0.00082,2097152,1
H2D-Paged,2.66691,0.00157,4194304,1
H2D-Paged,2.61381,0.00321,8388608,1
H2D-Paged,2.75426,0.00609,16777216,1
H2D-Paged,2.59949,0.01291,33554432,1
H2D-Paged,2.78977,0.02406,67108864,1
H2D-Paged,2.58161,0.05199,134217728,1
H2D-Paged,2.65073,0.10127,268435456,1
H2D-Paged,2.64668,0.20285,536870912,1
H2D-Paged,2.60863,0.41161,1073741824,1
H2D-Paged,0.00178,0.00004,64,1
H2D-Paged,0.00345,0.00004,128,1
H2D-Paged,0.00691,0.00004,256,1
H2D-Paged,0.01242,0.00004,512,1
H2D-Paged,0.02521,0.00004,1024,1
H2D-Paged,0.04298,0.00005,2048,1
H2D-Paged,0.10589,0.00004,4096,1
H2D-Paged,0.19570,0.00004,8192,1
H2D-Paged,0.30826,0.00005,16384,1
H2D-Paged,0.46486,0.00007,32768,1
H2D-Paged,0.68761,0.00010,65536,1
H2D-Paged,1.32731,0.00010,131072,1
H2D-Paged,1.75582,0.00015,262144,1
H2D-Paged,2.18326,0.00024,524288,1
H2D-Paged,2.44292,0.00043,1048576,1
H2D-Paged,2.49068,0.00084,2097152,1
H2D-Paged,2.60123,0.00161,4194304,1
H2D-Paged,2.72858,0.00307,8388608,1
H2D-Paged,2.60383,0.00644,16777216,1
H2D-Paged,2.63374,0.01274,33554432,1
H2D-Paged,2.63189,0.02550,67108864,1
H2D-Paged,2.71008,0.04953,134217728,1
H2D-Paged,2.55467,0.10508,268435456,1
H2D-Paged,2.64479,0.20299,536870912,1
H2D-Paged,2.51061,0.42768,1073741824,1
H2D-Paged,0.00170,0.00004,64,1
H2D-Paged,0.00323,0.00004,128,1
H2D-Paged,0.00639,0.00004,256,1
