type,bw,lat,size,id
D2H-Pinned,0.00301,0.00002,64,1
D2H-Pinned,0.00579,0.00002,128,1
D2H-Pinned,0.01166,0.00002,256,1
D2H-Pinned,0.02309,0.00002,512,1
D2H-Pinned,0.04716,0.00002,1024,1
D2H-Pinned,0.09124,0.00002,2048,1
D2H-Pinned,0.17991,0.00002,4096,1
D2H-Pinned,0.33075,0.00002,8192,1
D2H-Pinned,0.60159,0.00003,16384,1
D2H-Pinned,0.97989,0.00003,32768,1
D2H-Pinned,1.44973,0.00005,65536,1
D2H-Pinned,1.96912,0.00007,131072,1
D2H-Pinned,2.32094,0.00011,262144,1
D2H-Pinned,2.66205,0.00020,524288,1
D2H-Pinned,2.72326,0.00039,1048576,1
D2H-Pinned,2.86713,0.00073,2097152,1
D2H-Pinned,2.90999,0.00144,4194304,1
D2H-Pinned,2.85599,0.00294,8388608,1
D2H-Pinned,2.94684,0.00569,16777216,1
D2H-Pinned,2.97675,0.01127,33554432,1
D2H-Pinned,2.85791,0.02348,67108864,1
D2H-Pinned,2.77934,0.04829,134217728,1
D2H-Pinned,2.58483,0.10385,268435456,1
D2H-Pinned,2.29581,0.23385,536870912,1
D2H-Pinned,2.39585,0.44817,1073741824,1
D2H-Pinned,0.00299,0.00002,64,1
D2H-Pinned,0.00601,0.00002,128,1
D2H-Pinned,0.01193,0.00002,256,1
D2H-Pinned,0.02388,0.00002,512,1
D2H-Pinned,0.04755,0.00002,1024,1
D2H-Pinned,0.08993,0.00002,2048,1
D2H-Pinned,0.17794,0.00002,4096,1
D2H-Pinned,0.33119,0.00002,8192,1
D2H-Pinned,0.59105,0.00003,16384,1
D2H-Pinned,0.97731,0.00003,32768,1
D2H-Pinned,1.44366,0.00005,65536,1
D2H-Pinned,1.97112,0.00007,131072,1
D2H-Pinned,2.30267,0.00011,262144,1
D2H-Pinned,2.53199,0.00021,524288,1
D2H-Pinned,2.68842,0.00039,1048576,1
D2H-Pinned,2.85237,0.00074,2097152,1
D2H-Pinned,2.96699,0.00141,4194304,1
D2H-Pinned,2.91044,0.00288,8388608,1
D2H-Pinned,2.92446,0.00574,16777216,1
D2H-Pinned,2.98306,0.01125,33554432,1
D2H-Pinned,3.01972,0.02222,67108864,1
D2H-Pinned,2.87829,0.04663,134217728,1
D2H-Pinned,2.48668,0.10795,268435456,1
D2H-Pinned,2.36769,0.22675,536870912,1
D2H-Pinned,2.33277,0.46029,1073741824,1
D2H-Pinned,0.00300,0.00002,64,1
D2H-Pinned,0.00593,0.00002,128,1
D2H-Pinned,0.01165,0.00002,256,1
D2H-Pinned,0.02400,0.00002,512,1
D2H-Pinned,0.04714,0.00002,1024,1
D2H-Pinned,0.09065,0.00002,2048,1
D2H-Pinned,0.17499,0.00002,4096,1
D2H-Pinned,0.32719,0.00003,8192,1
D2H-Pinned,0.60496,0.00003,16384,1
D2H-Pinned,0.97913,0.00003,32768,1
D2H-Pinned,1.43609,0.00005,65536,1
D2H-Pinned,1.97545,0.00007,131072,1
