type,bw,lat,size,id
H2D-Pinned,0.00280,0.00002,64,1
H2D-Pinned,0.00584,0.00002,128,1
H2D-Pinned,0.01122,0.00002,256,1
H2D-Pinned,0.02243,0.00002,512,1
H2D-Pinned,0.04579,0.00002,1024,1
H2D-Pinned,0.09076,0.00002,2048,1
H2D-Pinned,0.17059,0.00002,4096,1
H2D-Pinned,0.31615,0.00003,8192,1
H2D-Pinned,0.56517,0.00003,16384,1
H2D-Pinned,0.87816,0.00004,32768,1
H2D-Pinned,1.28085,0.00005,65536,1
H2D-Pinned,1.84229,0.00007,131072,1
H2D-Pinned,2.19370,0.00012,262144,1
H2D-Pinned,2.48730,0.00021,524288,1
H2D-Pinned,2.64491,0.00040,1048576,1
H2D-Pinned,2.85992,0.00073,2097152,1
H2D-Pinned,2.95002,0.00142,4194304,1
H2D-Pinned,2.98552,0.00281,8388608,1
H2D-Pinned,3.02353,0.00555,16777216,1
H2D-Pinned,3.03224,0.01107,33554432,1
H2D-Pinned,3.04928,0.02201,67108864,1
H2D-Pinned,2.85686,0.04698,134217728,1
H2D-Pinned,2.62964,0.10208,268435456,1
H2D-Pinned,2.53505,0.21178,536870912,1
H2D-Pinned,2.49854,0.42975,1073741824,1
H2D-Pinned,0.00295,0.00002,64,1
H2D-Pinned,0.00559,0.00002,128,1
H2D-Pinned,0.01162,0.00002,256,1
H2D-Pinned,0.02207,0.00002,512,1
H2D-Pinned,0.04508,0.00002,1024,1
H2D-Pinned,0.08662,0.00002,2048,1
H2D-Pinned,0.16515,0.00002,4096,1
H2D-Pinned,0.30881,0.00003,8192,1
H2D-Pinned,0.53685,0.00003,16384,1
H2D-Pinned,0.86184,0.00004,32768,1
H2D-Pinned,1.21117,0.00005,65536,1
H2D-Pinned,1.83132,0.00007,131072,1
H2D-Pinned,2.20088,0.00012,262144,1
H2D-Pinned,2.28943,0.00023,524288,1
H2D-Pinned,2.64164,0.00040,1048576,1
H2D-Pinned,2.73223,0.00077,2097152,1
H2D-Pinned,2.88302,0.00145,4194304,1
H2D-Pinned,2.96875,0.00283,8388608,1
H2D-Pinned,2.97195,0.00565,16777216,1
H2D-Pinned,2.99650,0.01120,33554432,1
H2D-Pinned,3.01135,0.02229,67108864,1
H2D-Pinned,2.92654,0.04586,134217728,1
H2D-Pinned,2.68152,0.10011,268435456,1
H2D-Pinned,2.51141,0.21377,536870912,1
H2D-Pinned,2.60945,0.41148,1073741824,1
H2D-Pinned,0.00301,0.00002,64,1
H2D-Pinned,0.00571,0.00002,128,1
H2D-Pinned,0.01149,0.00002,256,1
H2D-Pinned,0.02196,0.00002,512,1
H2D-Pinned,0.04635,0.00002,1024,1
H2D-Pinned,0.09041,0.00002,2048,1
H2D-Pinned,0.16974,0.00002,4096,1
H2D-Pinned,0.32144,0.00003,8192,1
H2D-Pinned,0.54835,0.00003,16384,1
H2D-Pinned,0.85009,0.00004,32768,1
H2D-Pinned,1.24992,0.00005,65536,1
H2D-Pinned,1.87004,0.00007,131072,1
H2D-Pinned,2.21904,0.00012,262144,1
H2D-Pinned,2.45802,0.00021,524288,1
H2D-Pinned,2.65508,0.00039,1048576,1
H2D-Pinned,2.79199,0.00075,2097152,1
H2D-Pinned,2.86638,0.00146,4194304,1
H2D-Pinned,3.01199,0.00279,8388608,1
H2D-Pinned,2.99265,0.00561,16777216,1
H2D-Pinned,3.03053,0.01107,33554432,1
H2D-Pinned,3.02439,0.02219,67108864,1
H2D-Pinned,2.94071,0.04564,134217728,1
H2D-Pinned,2.70823,0.09912,268435456,1
H2D-Pinned,2.50514,0.21431,536870912,1
H2D-Pinned,2.60255,0.41257,1073741824,1
H2D-Pinned,0.00297,0.00002,64,1
H2D-Pinned,0.00563,0.00002,128,1
H2D-Pinned,0.01162,0.00002,256,1
H2D-Pinned,0.02381,0.00002,512,1
H2D-Pinned,0.04550,0.00002,1024,1
H2D-Pinned,0.08957,0.00002,2048,1
H2D-Pinned,0.17190,0.00002,4096,1
H2D-Pinned,0.32085,0.00003,8192,1
H2D-Pinned,0.55359,0.00003,16384,1
H2D-Pinned,0.88309,0.00004,32768,1
H2D-Pinned,1.24674,0.00005,65536,1
H2D-Pinned,1.86553,0.00007,131072,1
H2D-Pinned,2.22544,0.00012,262144,1
H2D-Pinned,2.32506,0.00023,524288,1
H2D-Pinned,2.64827,0.00040,1048576,1
H2D-Pinned,2.83926,0.00074,2097152,1
H2D-Pinned,2.95342,0.00142,4194304,1
H2D-Pinned,2.96726,0.00283,8388608,1
H2D-Pinned,2.98759,0.00562,16777216,1
H2D-Pinned,3.03290,0.01106,33554432,1
H2D-Pinned,3.01995,0.02222,67108864,1
H2D-Pinned,2.82848,0.04745,134217728,1
H2D-Pinned,2.57671,0.10418,268435456,1
H2D-Pinned,2.53551,0.21174,536870912,1
H2D-Pinned,2.54368,0.42212,1073741824,1
H2D-Pinned,0.00282,0.00002,64,1
H2D-Pinned,0.00589,0.00002,128,1
H2D-Pinned,0.01101,0.00002,256,1
H2D-Pinned,0.02233,0.00002,512,1
H2D-Pinned,0.04453,0.00002,1024,1
H2D-Pinned,0.08607,0.00002,2048,1
H2D-Pinned,0.17560,0.00002,4096,1
H2D-Pinned,0.30404,0.00003,8192,1
H2D-Pinned,0.58568,0.00003,16384,1
H2D-Pinned,0.84862,0.00004,32768,1
H2D-Pinned,1.37035,0.00005,65536,1
H2D-Pinned,1.55516,0.00008,131072,1
H2D-Pinned,2.27904,0.00012,262144,1
H2D-Pinned,2.34749,0.00022,524288,1
H2D-Pinned,2.55507,0.00041,1048576,1
H2D-Pinned,2.78654,0.00075,2097152,1
H2D-Pinned,2.88531,0.00145,4194304,1
H2D-Pinned,2.95738,0.00284,8388608,1
H2D-Pinned,2.96553,0.00566,16777216,1
H2D-Pinned,3.01579,0.01113,33554432,1
H2D-Pinned,3.01119,0.02229,67108864,1
H2D-Pinned,2.89535,0.04636,134217728,1
H2D-Pinned,2.73267,0.09823,268435456,1
H2D-Pinned,2.52398,0.21271,536870912,1
H2D-Pinned,2.60980,0.41143,1073741824,1
H2D-Pinned,0.00282,0.00002,64,1
H2D-Pinned,0.00601,0.00002,128,1
H2D-Pinned,0.01111,0.00002,256,1
H2D-Pinned,0.02393,0.00002,512,1
H2D-Pinned,0.04437,0.00002,1024,1
H2D-Pinned,0.08498,0.00002,2048,1
H2D-Pinned,0.16398,0.00002,4096,1
H2D-Pinned,0.29998,0.00003,8192,1
H2D-Pinned,0.55853,0.00003,16384,1
H2D-Pinned,0.83886,0.00004,32768,1
H2D-Pinned,1.20629,0.00005,65536,1
H2D-Pinned,1.82112,0.00007,131072,1
H2D-Pinned,2.21122,0.00012,262144,1
H2D-Pinned,2.43667,0.00022,524288,1
H2D-Pinned,2.63114,0.00040,1048576,1
H2D-Pinned,2.73006,0.00077,2097152,1
H2D-Pinned,2.91777,0.00144,4194304,1
H2D-Pinned,2.97215,0.00282,8388608,1
H2D-Pinned,3.01644,0.00556,16777216,1
H2D-Pinned,3.03536,0.01105,33554432,1
H2D-Pinned,3.06650,0.02188,67108864,1
H2D-Pinned,2.84945,0.04710,134217728,1
H2D-Pinned,2.61900,0.10250,268435456,1
H2D-Pinned,2.52986,0.21221,536870912,1
H2D-Pinned,2.49793,0.42985,1073741824,1
H2D-Pinned,0.00300,0.00002,64,1
H2D-Pinned,0.00554,0.00002,128,1
H2D-Pinned,0.01174,0.00002,256,1
H2D-Pinned,0.02306,0.00002,512,1
H2D-Pinned,0.04594,0.00002,1024,1
H2D-Pinned,0.09228,0.00002,2048,1
H2D-Pinned,0.16863,0.00002,4096,1
H2D-Pinned,0.32672,0.00003,8192,1
H2D-Pinned,0.54723,0.00003,16384,1
H2D-Pinned,0.87668,0.00004,32768,1
H2D-Pinned,1.24770,0.00005,65536,1
H2D-Pinned,1.85612,0.00007,131072,1
H2D-Pinned,2.18751,0.00012,262144,1
H2D-Pinned,2.41374,0.00022,524288,1
H2D-Pinned,2.67344,0.00039,1048576,1
H2D-Pinned,2.70804,0.00077,2097152,1
H2D-Pinned,2.95015,0.00142,4194304,1
H2D-Pinned,2.98655,0.00281,8388608,1
H2D-Pinned,3.01838,0.00556,16777216,1
H2D-Pinned,3.03791,0.01105,33554432,1
H2D-Pinned,3.03607,0.02210,67108864,1
H2D-Pinned,2.92958,0.04581,134217728,1
H2D-Pinned,2.60855,0.10291,268435456,1
H2D-Pinned,2.61035,0.20567,536870912,1
H2D-Pinned,2.50368,0.42887,1073741824,1
H2D-Pinned,0.00296,0.00002,64,1
H2D-Pinned,0.00604,0.00002,128,1
H2D-Pinned,0.01139,0.00002,256,1
H2D-Pinned,0.02284,0.00002,512,1
H2D-Pinned,0.04617,0.00002,1024,1
H2D-Pinned,0.08951,0.00002,2048,1
H2D-Pinned,0.17775,0.00002,4096,1
H2D-Pinned,0.31062,0.00003,8192,1
H2D-Pinned,0.55716,0.00003,16384,1
H2D-Pinned,0.86913,0.00004,32768,1
H2D-Pinned,1.20110,0.00005,65536,1
H2D-Pinned,1.84829,0.00007,131072,1
H2D-Pinned,2.22183,0.00012,262144,1
H2D-Pinned,2.43144,0.00022,524288,1
H2D-Pinned,2.64664,0.00040,1048576,1
H2D-Pinned,2.80512,0.00075,2097152,1
H2D-Pinned,2.95081,0.00142,4194304,1
H2D-Pinned,2.97073,0.00282,8388608,1
H2D-Pinned,3.00827,0.00558,16777216,1
H2D-Pinned,3.04051,0.01104,33554432,1
H2D-Pinned,3.03988,0.02208,67108864,1
H2D-Pinned,2.80220,0.04790,134217728,1
H2D-Pinned,2.58265,0.10394,268435456,1
H2D-Pinned,2.58221,0.20791,536870912,1
H2D-Pinned,2.51456,0.42701,1073741824,1
H2D-Pinned,0.00290,0.00002,64,1
H2D-Pinned,0.00568,0.00002,128,1
H2D-Pinned,0.01144,0.00002,256,1
H2D-Pinned,0.02344,0.00002,512,1
H2D-Pinned,0.04452,0.00002,1024,1
H2D-Pinned,0.08890,0.00002,2048,1
H2D-Pinned,0.17172,0.00002,4096,1
H2D-Pinned,0.31683,0.00003,8192,1
H2D-Pinned,0.55801,0.00003,16384,1
H2D-Pinned,0.86275,0.00004,32768,1
H2D-Pinned,1.25460,0.00005,65536,1
H2D-Pinned,1.59387,0.00008,131072,1
H2D-Pinned,2.22735,0.00012,262144,1
H2D-Pinned,2.31224,0.00023,524288,1
H2D-Pinned,2.61695,0.00040,1048576,1
H2D-Pinned,2.83790,0.00074,2097152,1
H2D-Pinned,2.90505,0.00144,4194304,1
H2D-Pinned,2.94508,0.00285,8388608,1
H2D-Pinned,3.01137,0.00557,16777216,1
H2D-Pinned,3.02480,0.01109,33554432,1
H2D-Pinned,3.04278,0.02206,67108864,1
H2D-Pinned,2.90955,0.04613,134217728,1
H2D-Pinned,2.73861,0.09802,268435456,1
H2D-Pinned,2.53788,0.21154,536870912,1
H2D-Pinned,2.50217,0.42912,1073741824,1
H2D-Pinned,0.00293,0.00002,64,1
H2D-Pinned,0.00428,0.00003,128,1
H2D-Pinned,0.01187,0.00002,256,1
H2D-Pinned,0.02370,0.00002,512,1
H2D-Pinned,0.04579,0.00002,1024,1
H2D-Pinned,0.09057,0.00002,2048,1
H2D-Pinned,0.17094,0.00002,4096,1
H2D-Pinned,0.32238,0.00003,8192,1
H2D-Pinned,0.56261,0.00003,16384,1
H2D-Pinned,0.90257,0.00004,32768,1
H2D-Pinned,1.25758,0.00005,65536,1
H2D-Pinned,1.84930,0.00007,131072,1
H2D-Pinned,2.22407,0.00012,262144,1
H2D-Pinned,2.45726,0.00021,524288,1
H2D-Pinned,2.58632,0.00041,1048576,1
H2D-Pinned,2.83945,0.00074,2097152,1
H2D-Pinned,2.91931,0.00144,4194304,1
H2D-Pinned,3.00265,0.00279,8388608,1
H2D-Pinned,3.02644,0.00554,16777216,1
H2D-Pinned,3.04040,0.01104,33554432,1
H2D-Pinned,3.04808,0.02202,67108864,1
H2D-Pinned,2.95124,0.04548,134217728,1
H2D-Pinned,2.69880,0.09946,268435456,1
H2D-Pinned,2.54411,0.21102,536870912,1
H2D-Pinned,2.51274,0.42732,1073741824,1
